非晶态装甲云	Nimboarmadura amorfa
人类科技树	Árbol de tecnología terran
异虫科技树	Árbol de tecnología zerg
选中英雄1	Seleccionar Héroe 1
选中英雄2	Seleccionar Héroe 2
选中英雄3	Seleccionar Héroe 3
选中英雄4	Seleccionar Héroe 4
选中英雄5	Seleccionar Héroe 5
选中英雄6	Seleccionar Héroe 6
AI沟通	IA - Comunicación
创建编组1	Crear Grupo de control 1
AI部队	IA - Ejército
创建编组2	Crear Grupo de control 2
空闲的工人	Trabajador inactivo
AI侦察	IA - Explorar
创建编组3	Crear Grupo de control 3
AI侦测	IA - Detectar
创建编组4	Crear Grupo de control 4
提高游戏速度	Aumentar velocidad del juego
AI扩张	IA - Expandir
创建编组5	Crear Grupo de control 5
降低游戏速度	Disminuir velocidad del juego
显示游戏提示信息	Mostrar descripciones emergentes del juego
AI建造	IA - Construir
创建编组6	Crear Grupo de control 6
AI清除所有	IA - Borrar todo
创建编组7	Crear Grupo de control 7
AI删除	IA - Eliminar
创建编组8	Crear Grupo de control 8
AI取消	IA - Cancelar
创建编组9	Crear Grupo de control 9
AI指令退出	IA - Salir de comunicación
创建编组10	Crear Grupo de control 10
选择编组1	Seleccionar Grupo de control 1
选择编组2	Seleccionar Grupo de control 2
选择编组3	Seleccionar Grupo de control 3
选择编组4	Seleccionar Grupo de control 4
选择所有部队	Seleccionar unidades de ejército
选择编组5	Seleccionar Grupo de control 5
选择编组6	Seleccionar Grupo de control 6
选择编组7	Seleccionar Grupo de control 7
选择编组8	Seleccionar Grupo de control 8
选择编组9	Seleccionar Grupo de control 9
选择编组10	Seleccionar Grupo de control 10
添加至编组1	Agregar a Grupo de control 1
添加至编组2	Agregar a Grupo de control 2
添加至编组3	Agregar a Grupo de control 3
添加至编组4	Agregar a Grupo de control 4
添加至编组5	Agregar a Grupo de control 5
添加至编组6	Agregar a Grupo de control 6
添加至编组7	Agregar a Grupo de control 7
添加至编组8	Agregar a Grupo de control 8
添加至编组9	Agregar a Grupo de control 9
添加至编组10	Agregar a Grupo de control 10
创建编组1并转移控制权	Crear grupo de control 1 y tomar las unidades
创建编组2并转移控制权	Crear grupo de control 2 y tomar las unidades
创建编组3并转移控制权	Crear grupo de control 3 y tomar las unidades
创建编组4并转移控制权	Crear grupo de control 4 y tomar las unidades
创建编组5并转移控制权	Crear grupo de control 5 y tomar las unidades
创建编组6并转移控制权	Crear grupo de control 6 y tomar las unidades
创建编组7并转移控制权	Crear grupo de control 7 y tomar las unidades
创建编组8并转移控制权	Crear grupo de control 8 y tomar las unidades
创建编组9并转移控制权	Crear grupo de control 9 y tomar las unidades
创建编组10并转移控制权	Crear grupo de control 10 y tomar las unidades
添加至编组1并转移控制权	Agregar al grupo de control 1 y tomar las unidades
添加至编组2并转移控制权	Agregar al grupo de control 2 y tomar las unidades
添加至编组3并转移控制权	Agregar al grupo de control 3 y tomar las unidades
添加至编组4并转移控制权	Agregar al grupo de control 4 y tomar las unidades
添加至编组5并转移控制权	Agregar al grupo de control 5 y tomar las unidades
添加至编组6并转移控制权	Agregar al grupo de control 6 y tomar las unidades
添加至编组7并转移控制权	Agregar al grupo de control 7 y tomar las unidades
添加至编组8并转移控制权	Agregar al grupo de control 8 y tomar las unidades
添加至编组9并转移控制权	Agregar al grupo de control 9 y tomar las unidades
添加至编组10并转移控制权	Agregar al grupo de control 10 y tomar las unidades
命令AI部队攻击/防御指定位置。	Ordena al ejército de IA que ataque o defienda una ubicación.
前往AI沟通自定义建造菜单。	Ir al menú de construcción personalizada de la comunicación de IA.
前往上一级的AI沟通菜单。	Ir al menú de comunicación de IA anterior.
清除所有信标，AI返回全自动模式。	Borra todos los faros y devuelve el control total a la IA.
前往AI沟通主菜单。	Ir al menú de comunicación de IA principal.
删除当前的AI信标。	Borra el faro actual de IA.
命令AI向指定位置派遣侦测单位。	Ordena a la IA que envíe un detector a la ubicación.
离开AI沟通菜单。	Sale de los menús de comunicación de IA.
命令AI向指定位置扩张。	Ordena a la IA que se expanda a una ubicación.
命令AI侦察指定位置。	Ordena a la IA que explore una ubicación.
使镜头聚焦一个警告信息。重复按下该键可在不同的提示信息之间切换。	Enfoca la cámara en una alerta. Oprime varias veces para alternar.
选中所有战斗单位。	Selecciona todas las unidades de combate que están bajo tu control.
向左旋转镜头。	Rota la cámara hacia la izquierda.
向右旋转镜头。	Rota la cámara hacia la derecha.
将所有当前选中的单位添加至编组10。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 10.
将所有当前选中的单位添加至编组1。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 1.
将所有当前选中的单位添加至编组2。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 2.
将所有当前选中的单位添加至编组3。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 3.
将所有当前选中的单位添加至编组4。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 4.
将所有当前选中的单位添加至编组5。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 5.
将所有当前选中的单位添加至编组6。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 6.
将所有当前选中的单位添加至编组7。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 7.
将所有当前选中的单位添加至编组8。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 8.
将所有当前选中的单位添加至编组9。	Agrega todas las unidades seleccionadas actualmente al Grupo de control 9.
将所有当前选中的单位组添加至编组10，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 10 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位组添加至编组1，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 1 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位组添加至编组2，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 2 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位组添加至编组3，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 3 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位组添加至编组4，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 4 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位组添加至编组5，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 5 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位组添加至编组6，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 6 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位组添加至编组7，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 7 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位组添加至编组8，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 8 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位组添加至编组9，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Agrega todas las unidades seleccionadas al grupo de control 9 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组10。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 10.
将所有当前选中的单位设置为编组1。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 1.
将所有当前选中的单位设置为编组2。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 2.
将所有当前选中的单位设置为编组3。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 3.
将所有当前选中的单位设置为编组4。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 4.
将所有当前选中的单位设置为编组5。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 5.
将所有当前选中的单位设置为编组6。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 6.
将所有当前选中的单位设置为编组7。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 7.
将所有当前选中的单位设置为编组8。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 8.
将所有当前选中的单位设置为编组9。	Asigna todas las unidades seleccionadas actualmente al Grupo de control 9.
将所有当前选中的单位设置为编组10，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 10 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组1，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 1 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组2，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 2 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组3，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 3 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组4，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 4 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组5，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 5 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组6，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 6 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组7，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 7 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组8，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 8 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
将所有当前选中的单位设置为编组9，并将它们从你的其它编组中移除。此外，还会将它们从你的盟友的编组和当前选中的单位组中移除。	Asigna todas las unidades seleccionadas al grupo de control 9 y las quita de todos tus otros grupos de control y de los grupos de control y las selecciones de tus aliados.
选中编组10中的所有单位。	Selecciona todas las unidades del Grupo de control 10.
选中编组1中的所有单位。	Selecciona todas las unidades del Grupo de control 1.
选中编组2中的所有单位。	Selecciona todas las unidades del Grupo de control 2.
选中编组3中的所有单位。	Selecciona todas las unidades del Grupo de control 3.
选中编组4中的所有单位。	Selecciona todas las unidades del Grupo de control 4.
选中编组5中的所有单位。	Selecciona todas las unidades del Grupo de control 5.
选中编组6中的所有单位。	Selecciona todas las unidades del Grupo de control 6.
选中编组7中的所有单位。	Selecciona todas las unidades del Grupo de control 7.
选中编组8中的所有单位。	Selecciona todas las unidades del Grupo de control 8.
选中编组9中的所有单位。	Selecciona todas las unidades del Grupo de control 9.
降低游戏速度。	Disminuye la velocidad del juego.
提高游戏速度。	Aumenta la velocidad del juego.
按下该快捷键时，即使“显示游戏提示”功能被禁用，画面仍将显示游戏提示信息。	Mientras se presiona esta tecla, se mostrarán las descripciones emergentes del juego aunque la opción Mostrar descripciones emergentes del juego esté desactivada.
选中英雄1。	Selecciona al Héroe 1.
选中英雄2。	Selecciona al Héroe 2.
选中英雄3。	Selecciona al Héroe 3.
选中英雄4。	Selecciona al Héroe 4.
选中英雄5。	Selecciona al Héroe 5.
选中英雄6。	Selecciona al Héroe 6.
选中一个空闲的工人。反复按下该键可在所有空闲的工人中循环切换。	Selecciona un trabajador inactivo. Al presionar este botón reiteradamente se ciclarán todos los trabajadores inactivos.
开启/关闭部队规模榜单。	Activa el tablero de posiciones de Tamaño del ejército.
开启/关闭资源收入榜单。	Activa el tablero de posiciones de Ingresos.
开启/关闭单位生产队列榜单。	Activa el tablero de posiciones de Producción.
开启/关闭资源榜单。	Activa el tablero de posiciones de Recurso.
开启/关闭资源花费榜单。	Activa el tablero de posiciones de Gastos.
开启/关闭建筑榜单。	Activa y desactiva el tablero de posiciones de estructuras.
开启/关闭单位榜单。	Activa el tablero de posiciones de Unidades.
开启/关闭单位损失榜单。	Activa el tablero de posiciones de Unidades perdidas.
开启/关闭升级榜单。	Activa y desactiva el tablero de posiciones de mejoras.
在选中的单位中循环切换不同的兵种。	Cicla entre cada tipo de unidad dentro de las unidades que has seleccionado.
在选中的单位中反向循环切换不同的兵种。	Cicla hacia atrás entre cada tipo de unidad dentro de las unidades que has seleccionado.
居中显示最近的基地。反复按下该键可在所有的己方基地中循环切换。	Centra la cámara en tu base más cercana.  Al presionar este botón reiteradamente alternarás entre todas tus bases.
选中所有的折跃门。	Selecciona todos los Portales de transposición.
<s val="CampaignPanelLastMissionDescription">作为星灵统一社会的大主教，年轻的阿塔尼斯将黄金舰队集结在了异虫滋生的艾尔丛林上空，誓要夺回星灵一族的故乡。<n/><n/>为了给摩拳擦掌的圣堂武士们打开突破口，一支小型部队正在行星的表面殊死奋战。	<s val="CampaignPanelLastMissionDescription">Muy por encima de las selvas de Aiur infestadas por la plaga zerg, el joven jerarca de los protoss unidos, Artanis, ha reunido a la Armada Dorada con el fin de recuperar el antiguo mundo natal de su pueblo.<n/><n/>Mientras las fuerzas templarias se preparan para la guerra, un pequeño grupo de guerreros libra una encarnizada batalla para establecer una cabecera de playa entre las ruinas de la superficie planetaria.
进入虚空	EN EL VACÍO
<s val="CampaignPanelLastMissionDescription">在付出了巨大的牺牲以后，星灵们终于合力将埃蒙逐出了银河系，但一切都尚未结束……某个远古的存在搅动着虚空，向着所有能听到他的人发出急切的灵能讯号。	<s val="CampaignPanelLastMissionDescription">Tras grandes esfuerzos y sacrificios, los protoss unificados lograron expulsar a Amón de la galaxia, pero no todo está resuelto... En el Vacío, algo ancestral está inquieto y envía un llamado psiónico desesperado a todo aquél que esté dispuesto a escuchar.
你需要先完成《虚空之遗》战役才能解锁终章。	El epílogo estará disponible cuando completes la campaña de Legacy of the Void.
<s val="CampaignPanelLastMissionDescription">身为族人眼中的叛徒和异端，泽拉图花了整整六年时间寻找萨尔纳加回归事件背后的真相。在警告过人类和异虫以后，他仍未找到星灵在这一事关宇宙命运的宏图中所要扮演的角色。	<s val="CampaignPanelLastMissionDescription">Zeratul, acusado de hereje y traidor por su propio pueblo, ha pasado los últimos seis años buscando la verdad que se esconde tras el regreso de los Xel'Naga. Ya ha advertido tanto a los terran como los zerg, pero el papel que los protoss habrán de jugar en los eventos galácticos aún le resulta esquivo.
正在变异	Mutación
危险	Peligro
正在研发	Investigando
晶体矿:%1	Minerales: %1
瓦斯:%1	Vespeno: %1
地嗪:%1	Terracino: %1
自定: %1UI/RewardItem/Boost=强化剂加成	Personalizado: Bonificación de %1UI/RewardItem/Boost=Stimpack
<img path="Assets\Textures\UI_Glues_Icons_Status_Available.dds" height="13" width="13" alignment="absolutemiddle"/>  空闲	<img path="Assets\Textures\UI_Glues_Icons_Status_Available.dds" height="13" width="13" alignment="absolutemiddle"/>  Disponible
<img path="Assets\Textures\UI_Glues_Icons_Status_Away.dds" height="13" width="13" alignment="absolutemiddle"/>  离开	<img path="Assets\Textures\UI_Glues_Icons_Status_Away.dds" height="13" width="13" alignment="absolutemiddle"/>  Ausente
<img path="Assets\Textures\UI_Glues_Icons_Status_Busy.dds" height="13" width="13" alignment="absolutemiddle"/>  忙碌	<img path="Assets\Textures\UI_Glues_Icons_Status_Busy.dds" height="13" width="13" alignment="absolutemiddle"/>  Ocupado
补给:%1	Suministro: %1
正在训练	Creando
正在升级	Mejorando
生命:%1	Vida: %1
护盾:%1	Escudo: %1
能量:%1	Energía: %1
<s val="CampaignPanelLastMissionDescription">在过去的四年中，自由战士吉姆·雷诺隐现于泰伦帝国的边缘星域，继续着推翻阿克图尔斯·蒙斯克暴政的征途。<n/><n/>但这一切即将改变。一股可怕的力量已经苏醒，迫使雷诺作出命运的抉择 — 是了结自己的仇怨，还是为人类飘摇的命运而战。</s>	<s val="CampaignPanelLastMissionDescription">Durante los últimos cuatro años, el defensor de la libertad Jim Raynor ha asolado las fronteras del Dominio terran con un único objetivo en mente: derrocar al tiránico emperador Arcturus Mengsk.<n/><n/>Pero las cosas están por cambiar. Un terrible poder ha despertado, y Raynor tendrá que tomar una decisión crucial: seguir buscando venganza o luchar por la supervivencia de la humanidad.</s>
星灵剧情	Historia protoss
野外生物甲壳	Caparazón de criatura
硬化材料	Material reforzado
星灵护板	Blindaje protoss
人类建筑钢板	Blindaje de edificaciones terran
异虫骨板	Coraza quitinosa zerg
强酸脊刺武器	Espinas ácidas - Arma
吸纳舱	Asimilador
目标	Objetivos
攻击单位	Atacante
自动机炮武器发射	Torreta automática - Liberar - Arma
战列巡航舰对空武器	Crucero de Batalla - Aire
战列巡航舰对地武器	Crucero de Batalla - Tierra
部队信标	Faro del ejército
攻击信标	Señal de ataque
自动AI信标	Faro de IA automática
控场信标	Reclamo de faro
自定义信标 #1	Faro personalizado 1
自定义信标 #2	Faro personalizado 2
自定义信标 #3	Faro personalizado 3
自定义信标 #4	Faro personalizado 4
防御信标	Señal de defensa
侦测信标	Detección de faro
扩展信标	Señal de expansión
骚扰信标	Hostigamiento de faro
空闲信标	Faro inactivo
侦察信标	Exploración de faro
巢虫领主A武器	Amo de la colonia - Arma A
巢虫领主B武器	Amo de la colonia - Arma B
巢虫领主的茧	Capullo de Amo de la Colonia
巢虫领主武器	Amo de la Colonia - Arma
异蝠	Chazot
2000型Artosis机器人	Artosis Bot 2000
2000型Tasteless机器人	Tasteless Bot 2000
圆锥体	Cono
污染武器	Contaminar - Arma
奶牛	Vaca
动态菌毯阻挡物1x1	Bloqueador de talo dinámico 1x1
野外生物	Criatura
野外生物静滞	Criatura - Detenida
正方体	Cubo
控制芯核	Núcleo cibernético
圆柱体	Cilindro
宣传牌	Cartelera
喇叭灯	Luces del megáfono
修理厂	Garaje
标识	Signo
商店前方城市道具	Tienda - Utilería de la ciudad
交通灯	Semáforo
消化虫 菌毯喷溅 目标单位	Rocío de talo de Devorador - Seleccionar unidad como objetivo
消化虫 菌毯喷溅 单位	Rocío de talo de Devorador - Unidad
十二面体	Dodecaedro
狗	Perro
Enemy Unit Pathing Blocker - 16x16	Bloqueador de ruta de unidad enemiga - 16x16
Enemy Unit Pathing Blocker - 1x1	Bloqueador de ruta de unidad enemiga - 1x1
Enemy Unit Pathing Blocker - 2x2	Bloqueador de ruta de unidad enemiga - 2x2
Enemy Unit Pathing Blocker - 4x4	Bloqueador de ruta de unidad enemiga - 4x4
Enemy Unit Pathing Blocker - 8x8	Bloqueador de ruta de unidad enemiga - 8x8
萃取房	Extractor
锻炉	Forja
狂暴武器	Frenesí - Arma
首府塑像	Estatua de capitolio
舔食兽	Trillick
帮助箭头	Ayudante - Flecha
高阶圣堂武士/执政官	Alto templario/Arconte
二十面体	Icosaedro
Yanguana	Yanguana
虫群作战体虫卵	Huevo de Terran infestado
被感染的人类卵放置	Terran infestados - Ubicación de huevo
感染者人类的卵	Terran infestadores - Huevo
感染者人类武器	Terran infestadores - Arma
Inhibitor Zone Generator	Generador de zona inhibidora
Inhibitor Zone Large	Zona inhibidora grande
Inhibitor Zone Medium	Zona inhibidora mediana
Inhibitor Zone Small	Zona inhibidora pequeña
雌性卡拉兽	Karak hembra
雄性卡拉兽	Karak macho
幼虫释放发射物	Larva - Liberar misil
地底巢穴	Madriguera profunda
潜伏者虫茧	Capullo de Acechador
矿骡	EMUL
玛·萨拉桥梁 斜线 BLUR	Mar Sara Puente diagonal - AtrIzqArrDer
玛·萨拉桥梁 斜线 BRUL	Mar Sara Puente diagonal - AtrDerArrIzq
帝国的荣耀	Gloria del Dominio
自由的馈赠	El Regalo de la Libertad
矿脉	Campo de minerales
群体伤害对象	Objeto de muerte múltiple
神经寄生触须	Parásito neural - Tentáculo
菌塔	Torre de talo
八面体	Octaedro
眼虫茧	Capullo de Vigía Supremo
动态路径障碍物 1x1	Bloqueador de senderos dinámico 1x1
动态路径障碍物 2x2	Bloqueador de senderos dinámico 2x2
凤凰对空武器	Fénix - Arma aérea
定点防御靶机拦截	Dron de defensa puntual - Liberar
角锥体	Pirámide
腾跃虫	Rapaz
破坏者腐蚀胆汁发射物	Devastador - Bilis corrosiva - Misil
破坏者武器发射物	Devastador - Arma - Misil
反应堆	Reactor
红石星熔岩生物	Criatura de lava de Roquígnea
红石星熔岩生物(受伤)	Criatura de lava de Roquígnea (Herida)
叛军长箭飞弹	Misil Asiru de Renegado
叛军导弹塔	Torreta de misiles de Renegado
斥力场(10)	Campo repulsor (10)
斥力场(12)	Campo repulsor (12)
斥力场(6)	Campo repulsor (6)
斥力场(8)	Campo repulsor (8)
秽型蟑螂	Cucaracha vil
蟑螂武器	Arma de Cucarachas
机械台	Complejo de robótica
圆角立方体	Cubo redondeado
Scope Test	Prueba de alcance
形状	Shape
星星	Estrella
苹果	Manzana
箭头指针	Puntero de flecha
香蕉	Banana
棒球	Bola de béisbol
棒球棒	Bat de béisbol
篮球	Balón de baloncesto
碗	Bol
盒子	Caja
胶囊	Capsule
胡萝卜	Zanahoria
现金	Efectivo
樱桃	Cereza
新月	Medialuna
立方体	Cubo
十面体	Decaedro
菱形体	Rombo
美元符号	Signo de dólar
欧元符号	Signo de euro
宝石	Gemas
高尔夫球棒	Palo de golf
高尔夫球	Bola de golf
葡萄	Uva
手	Mano
心脏	Corazón
冰球	Tejo de hockey
冰球球棍	Palo de hockey
马蹄铁	Herradura
千斤顶	Matatena
柠檬	Limón
O型	O
橘	Naranja
花生	Cacahuate
梨	Pera
加号	Signo de suma
英镑符号	Signo de libra esterlina
棱锥	Pirámide
彩虹	Arcoíris
圆角正方体	Cubo redondeado
愁容	Cara triste
三叶草	Trébol de cuatro hojas
笑脸	Carita sonriente
黑桃	Pala
球体	Sphere
草莓	Fresa
网球	Bola de tenis
四面体	Tetraedro
厚圆环体	Torus grueso
薄圆环体	Torus delgado
圆环体	Torus
宝箱	Cofre de tesoro
管	Tubo
西瓜	Sandía
胜利符号	Signo de Won
X型	X
日元符号	Signo de Yen
玛·萨拉桥梁 水平	Mar Sara - Puente horizontal
玛·萨拉桥梁 垂直	Mar Sara - Puente vertical
虹吸触须飞弹	Extraer - Tentáculo - Misil
分裂虫	Mitocito
星门	Portal estelar
裂变虫	Hordezno
科技实验室	Tecnolab
圣堂武士文献馆	Archivos templarios
雷神地对空	Thor AA
交通信号灯	Semáforo
王虫茧	Capullo de Amo supremo
"老油条"萨姆	Sam el Sucio
雷兽窟	Caverna de Ultraliscos
攻击该障碍物可将其摧毁。	Atácalo para destruirlo.
乌萨达幼兽	Ursadak ternero
雌性乌萨达兽	Ursadak hembra
雄性乌萨达兽	Ursadak macho
2000型自动机器人	Autómata 2000
克哈铁狼	Los Lobos de Korhal
为附近的单位提供视野	Proporciona visión a las unidades cercanas
腹部坚韧	Resistencia abdominal
合成代谢	Síntesis anabólica
贝希摩斯反应堆	Reactor Behemot
武器改装	Reajuste de armas
CollectionSkin	CollectionSkin
CollectionSkinDeluxeProtoss	CollectionSkinDeluxeProtoss
CollectionSkinDeluxeShield	CollectionSkinDeluxeShield
耐久材料	Materiales resistentes
莫比斯反应堆	Reactor Moebius
优势射程	Mayor alcance
病原腺体	Glándulas patógenas
蠕动	Peristalsis
MarauderDeluxe	MarauderDeluxe
精钢框架	Armazón de neoacero
对应面孵化	Incubación anversa
有机甲壳	Caparazón orgánico
星灵空中单位护甲	Protoss - Armaduras aéreas
星灵空中单位护甲等级3	Armadura aérea protoss - Nivel 3
星灵空中单位武器	Protoss - Armas aéreas
星灵空中单位武器等级3	Armas aéreas protoss - Nivel 3
星灵地面单位护甲	Protoss - Armaduras terrestres
星灵地面单位护甲等级3	Armadura terrestre protoss - Nivel 3
星灵地面单位武器	Armas terrestres protoss
星灵地面单位武器等级3	Armas terrestres protoss - Nivel 3
星灵护盾	Protoss - Escudos
科维德反应堆	Reactor córvido
氮气加速	Nitropacks
RoachDeluxe	RoachDeluxe
攻城科技	Tecnología de asedio
StalkerDeluxe	StalkerDeluxe
人类建筑护甲	Blindaje de edificación terran
人类步兵护甲等级3	Armadura de infantería terran - Nivel 3
人类步兵武器	Armas de infantería terran
人类步兵武器等级3	Armas de infantería terran - Nivel 3
人类舰船钢板等级3	Blindaje de naves terran - Nivel 3
人类舰船武器	Armas de naves terran
人类舰船武器等级3	Armas de naves terran - Nivel 3
人类战车钢板等级3	Blindaje de vehículos terran - Nivel 3
人类战车武器	Armas de vehículos terran
人类战车武器等级3	Armas de vehículos terran - Nivel 3
吞云推进器	Propulsores Jotun
熔流旋叶	Aletas de flujo
异虫飞行生物甲壳等级1	Caparazón de unidades voladoras zerg - Nivel 1
异虫飞行生物甲壳等级2	Caparazón de unidades voladoras zerg - Nivel 2
异虫飞行生物甲壳等级3	Caparazón de unidades voladoras zerg - Nivel 3
异虫飞行生物武器	Zerg - Armas de unidades voladoras
异虫飞行生物攻击等级3	Ataques de unidades voladoras zerg - Nivel 3
异虫地面单位甲壳等级1	Caparazón de unidades terrestres zerg - Nivel 1
异虫地面单位甲壳等级2	Caparazón de unidades terrestres zerg - Nivel 2
异虫地面单位甲壳等级3	Caparazón de unidades terrestres zerg - Nivel 3
异虫近战武器	Zerg - Armas de melé
异虫近战攻击等级3	Ataques de melé zerg - Nivel 3
异虫喷射武器	Armas de misiles zerg
异虫喷射攻击等级3	Ataques de misiles zerg - Nivel 3
腹囊	Sacos ventrales
肾上腺体	Glándulas adrenales
代谢加速	Estímulo metabólico
战争宝箱：2017暴雪嘉年华合集	Paquete del War Chest: BlizzCon 2017
战争宝箱：2017暴雪嘉年华星灵许可证	Pase protoss del War Chest: BlizzCon 2017
战争宝箱：2017暴雪嘉年华人类许可证	Pase terran del War Chest: BlizzCon 2017
战争宝箱：2017暴雪嘉年华异虫许可证	Pase zerg del War Chest: BlizzCon 2017
战争宝箱：2018卡托维兹合集	Paquete del War Chest: Katowice 2018
战争宝箱：2018卡托维兹星灵许可证	Pase protoss del War Chest: Katowice 2018
战争宝箱：2018卡托维兹人类许可证	Pase terran del War Chest: Katowice 2018
战争宝箱：2018卡托维兹异虫许可证	Pase zerg del War Chest: Katowice 2018
战争宝箱：2018暴雪嘉年华合集	War Chest: Paquete de la BlizzCon
战争宝箱：2018暴雪嘉年华星灵许可证	War Chest: Pase protoss de la BlizzCon 2018
战争宝箱：2018暴雪嘉年华人类许可证	War Chest: Pase terran de la BlizzCon 2018
战争宝箱：2018暴雪嘉年华异虫许可证	War Chest: Pase zerg de la BlizzCon 2018
战争宝箱：2019卡托维兹合集	Paquete del War Chest: Katowice 2019
