非晶态装甲云	무정형 방어구름
训练单位	훈련한 유닛
训练单位点数	훈련한 유닛 수치
升级花费	업그레이드 소비
工人携带水晶的时间	수정을 운반한 시간
高能瓦斯采集率	베스핀 수집률
VespeneCurrent	베스핀 현재
已送出的高能瓦斯	거래로 준 베스핀
VespeneFriendlyFireArmy	베스핀 아군 공격 군대
VespeneFriendlyFireEconomy	베스핀 아군 공격 경제
VespeneFriendlyFireNone	베스핀 아군 공격 없음
VespeneFriendlyFireTechnology	베스핀 아군 공격 기술
消灭敌人高能瓦斯数值	처치한 적군의 베스핀 가치
损失单位高能瓦斯数值	손실 유닛의 베스핀 가치
VespeneLostEconomy	베스핀 잃음 경제
VespeneLostNone	베스핀 잃음 없음
VespeneLostTechnology	베스핀 잃음 기술
从交易中获得的高能瓦斯	거래로 받은 베스핀
高能瓦斯消耗	소비한 베스핀
拥有单位高能瓦斯数值	소유한 유닛의 베스핀 가치
对黑洞内单位造成的伤害	블랙홀 안의 유닛에게 준 피해
隐形单位造成的伤害	은폐한 유닛이 준 피해
时间停止期间消灭的单位	시간 정지 동안에 처치한 유닛
已研发的武器升级	연구한 무기 업그레이드
已研发的武器升级点数	연구한 무기 업그레이드 수치
损失工作单位	손실 일꾼
训练工作单位	훈련한 일꾼
狂暴单位造成的伤害	광란 상태의 유닛이 준 피해
爆虫和爆蚊造成的伤害	맹독충 및 갈귀가 준 피해
泽拉图造成的伤害	제라툴이 가한 피해
恢复的护盾值	복원한 보호막
护甲升级数量	방어력 업그레이드 횟수
护甲升级数值	방어력 업그레이드 가치
未消耗的晶体矿均值	평균 미사용 광물
消灭敌人军用晶体矿数值	처치한 군사 광물 가치
单位损失军用晶体矿数值	손실 군사 광물 가치
已收到的晶体矿	거래로 받은 광물
军用晶体矿数值	군사 광물 가치
科技升级	기술 업그레이드
资源储备均值	평균 미소비 자원
消灭敌人军用资源数值	처치한 군사 자원 가치
单位损失军用资源数值	손실 군사 자원 가치
军用资源数值	군사 자원 가치
已送出的资源	거래로 준 자원
建筑激活数量	유효 구조물 수
建筑激活数值	유효 구조물 가치
摧毁敌方建筑	파괴한 구조물 수
摧毁建筑经验值	파괴한 구조물 경험치
已摧毁的建筑数值	파괴한 구조물 가치
损失的建筑数量	손실 구조물 수
损失的建筑数值	손실 구조물 가치
建造建筑经验值	건설한 구조물 경험치
建筑峰值数量	최대 구조물 수
建筑峰值数值	최대 구조물 가치
已生产的建筑数量	생산한 구조물 수
已生产的建筑数值	생산한 구조물 가치
科技等级	기술 레벨
科技经验值	기술 경험치
活动单位数量	유효 유닛 수
活动单位数值	유효 유닛 가치
消灭单位经验值	처치한 유닛 경험치
消灭单位数值	처치 유닛 가치
损失单位数量	손실 유닛 수
损失单位数值	손실 유닛 가치
制造单位经验值	생산한 유닛 경험치
峰值单位数量	최대 유닛 수
峰值单位数值	최대 유닛 가치
生产	생산
总数值	전체 가치
未消耗的高能瓦斯均值	평균 미소비 베스핀
消灭敌人军用高能瓦斯数值	처치한 군사 베스핀 가치
单位损失军用高能瓦斯数值	손실 군사 베스핀 가치
已收到的高能瓦斯	거래로 받은 베스핀
军用高能瓦斯数值	군사 베스핀 가치
武器升级数量	무기 업그레이드 수
武器升级数值	무기 업그레이드 가치
活跃的工作单位	일꾼 활동
训练的工作单位	생성한 일꾼
每分钟完成的动作数量(APM)	분당 완료한 행동의 수입니다. (분당 행동수)
消灭敌方单位数除以损失单位数的效率百分比	아군 병력 손실 대비 적 병력 처치 효율을 백분율로 나타낸 값입니다.
摧毁敌方单位和建筑获取的经验值	적 유닛 및 건물을 파괴하여 획득한 경험치입니다.
比赛中人口达到上限（比如人口达到50/50）时的总秒数。	경기 중 보급품 제한에 막힌 시간(초)입니다. (예. 보급품 50/50)
没有达到人口上限的时间	보급품 제한을 넘지 않은 상태로 보낸 시간입니다.
生产建筑或幼虫处于闲置的总秒数。比如有两个生产建筑就将记做每秒2个。	건물 또는 애벌레가 대기 상태로 보낸 총 시간(초)입니다. 건물 두 개는 초당 2로 계산됩니다.
平均资源余量	채취하였지만 소비하지 않은 자원의 평균 수치입니다.
花费资源建造单位、建筑和进行升级获取的经验值	유닛, 건물, 업그레이드에 자원을 소비하여 획득한 경험치입니다.
<s val="@@@SimpleCommandRow">按%hotkey键</c>然后</s> <IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">地面自动攻击</s>	<s val="@@@SimpleCommandRow">%hotkey</c> 후</s> <s val="@@@SimpleCommandRow">지점 <IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>하여 자동 공격</s>
<s val="@@@SimpleCommandRow">按%hotkey键</c>然后</s> <IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">攻击</s>	<s val="@@@SimpleCommandRow">%hotkey</c> 후</s> <s val="@@@SimpleCommandRow"><IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>하여 공격</s>
<IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">收集资源</s>	<IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow"> 자원 채취</s>
<IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">移动</s>	<IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">  이동</s>
使徒是经受过高度训练的战场指挥官。他们使用净化者科技来增强自身的灵能潜力，可以投射自身的阴影然后实现远距离传送。	고도로 훈련된 전장 사령관인 사도는 정화자 기술을 활용하여 자신의 사이오닉 잠재력을 증폭시킵니다. 사도는 자신의 그림자를 투영하고 그림자의 위치로 먼 거리를 순간이동할 수 있습니다.
达拉姆的星空锻造厂虽然可以重构来自格拉修斯的各种净化者武器，但是其性能仍然无法媲美凯拉克斯的原型武器。	댈람의 우주제련소에서 글라시우스의 정화자 병기를 복원하는 것이 가능하긴 하지만, 아직은 카락스의 원형이 갖춘 최적화된 성능에는 부합하지 못하고 있습니다.
末日之战结束后，一股怀旧风潮开始在圣堂武士中间盛行。其中一些使徒身穿昔日的正统仪式铠甲，以此彰显心中不灭的骄傲。	최후의 전쟁이 끝난 후 기사단 사이에는 향수가 번졌습니다. 일부 사도는 오래 전 시대의 의식용 방어구를 착용하며 자부심을 표출하기도 했습니다.
即便是久经沙场的伊罕利使徒，在求救信号将他们从科普卢星区边缘世界的深度静滞状态中唤醒后，也需要时间来确定方位。	전투 경험이 많은 이한 리 사도들도 코프룰루 구역 가장자리의 정지장 속에서 구조 신호를 받고 깨어났을 때 환경에 적응할 시간이 필요했습니다.
这些智能人格战士都经过了相位技师凯拉克斯的改良，已成为净化者大军的中坚力量。他们的灵敏与出色令人震撼。	차원장인 카락스가 연마한 이들 인공지능 전사는 정화자 군대의 핵심적인 개체로서, 그 민첩상과 정갈한 기술로 보는 이들을 놀라게 했습니다.
尽管达拉姆使徒使用的灵能增幅科技刚被研发不久，但是已经被塔达林逆向工程破解，并且装备给了他们最优秀的战士。	댈람의 사도가 사용하는 사이오닉 증폭 기술은 최근에 와서야 완성되었지만, 탈다림은 이미 역공학을 통해 해당 기술을 모방하는 데 성공하여, 전도유망한 전사들을 무장하는 데 사용하고 있습니다.
执政官虽然拥有无可匹敌的灵能力量，但是为之而付出的代价也极其高昂。两名圣堂武士必须自我牺牲才能合为一体，而这充分体现了绝无仅有的大无畏献身精神。	집정관은 압도적인 사이오닉 힘을 자랑하지만, 이를 위해서는 큰 대가를 치러야 합니다. 두 명의 기사가 비견할 데 없는 영웅심의 화신이 되어 자신을 희생하면 비로소 집정관이 태어납니다.
军械库是围绕几个涡轮机建造的。在研究员们不知疲倦地改良泰伦战争器械的同时，这些设备能够确保建筑一直处于安全的温度范围内。	이 무기고는 다수의 터빈을 중심에 두고 건설되었습니다. 그 덕분에 연구원들이 끊임없이 테란의 전쟁 기계를 개선하려 노력하는 동안 건물의 온도가 적절히 유지됩니다.
帝国在精钢装甲技术上取得的最新突破源自于对特战队找到的萨尔纳加构造体进行了分子级解析。	특수 부대에서 회수한 젤나가 피조물을 분자 단위로 연구하면서 자치령의 신소재 강철 방어구 제작 기술은 비약적인 발전을 거듭했습니다.
有报道称星灵闯入了泰拉多尔九号星的军械库，而这一行为被指控是间谍活动，尽管伊罕利的领导者坚称这些事件只是因为定居者误把这些闪闪发光的建筑当成了人类博物馆。	프로토스가 티라도 IX의 무기고에 나타났다는 소식에 상대가 첩자를 파견한 것이 아니냐는 비난이 쇄도하고 있습니다. 하지만 이한 리 지도부에서는 일련의 사건이 모두 정착민들이 번쩍이는 구조물을 테란의 박물관으로 착각했기 때문에 발생한 것이라고 주장하고 있습니다.
即便是科技高度发达的星灵也喜欢在采集高能瓦斯领域不断创新。他们研发了多种吸纳舱来采集这一宝贵资源。	고도로 발전한 프로토스 사회에서도 베스핀 가스를 다양한 분야에 사용하고 있습니다. 프로토스의 융화소가 바로 이 유용한 자원을 채취하는 장비입니다.
塔达林吸纳舱贪婪地从地下抽取着高能瓦斯，引发的地震毁灭了周围的生态系统。	탈다림 융화소는 워낙 탐욕스럽게 베스핀 가스를 뽑아내기 때문에, 주변 지역의 생태계를 훼손하는 지진을 촉발시키기도 합니다.
伊罕利星灵认为他们自己非常慷慨，他们允许人类继续生存在他们古老而神圣的家园——阿拉基尔，更不用说还让人类在此开采高能瓦斯了。	이한 리 프로토스는 그들이 아라키르라고 부르는 신성한 고대의 고향에서 테란이 베스핀 가스를 채취하는 것은 차치하고, 지금처럼 삶을 유지할 수 있도록 허락해 준 것만으로도 충분히 관대한 처사라고 생각하고 있습니다.
在卡斯克围城战中首次观察到的爆虫，是一种由跳虫进化而来的高度不稳定的爆炸性战斗变种。很少有材料能抵御它们爆炸时释放出的强酸烧蚀。	캐스크 공성전에서 처음 목격된 맹독충은, 저글링이 변태를 거쳐 폭발성을 극도로 강화한 전투용 변종입니다. 맹독충이 폭발할 때 방출되는 산성 물질을 견뎌낼 수 있는 물질은 거의 없습니다.
重造爆虫对工程师们提出了一项特殊的难题，因为他们千辛万苦采集到的酸液囊会不断溶解周遭一切钢化结构。幸运的是，他们最终成功了。	맹독충을 재현하는 과정에서 기술자들은 아주 독특한 어려움을 겪었습니다. 신중하게 채집한 산성 주머니가 설비 내의 철판을 계속해서 녹였기 때문입니다. 하지만 기술자들도 결국에는 제대로 된 형태를 구현해 낼 수 있었습니다.
异虫的巢群里必须要有一个爆虫巢穴来提供爆虫的基因代码。一旦筑巢完毕，战场上的任意一只跳虫就可以被命令在短时间内形成一个肉质的虫蛹，接着它们会以爆虫的形态破壳而出——变异成一种肮脏、臃肿的生物，其背部不停颤动着一团球状的、充满强酸的绿色囊泡。	저그 군락지에 맹독충 번식을 위한 유전자 코드를 추가하려면 맹독충 둥지를 반드시 건설해야 합니다. 맹독충 둥지가 완성된 후 전장의 아무 저글링에게 명령을 내리면 잠시 동안 두껍고 부드러운 껍질의 번데기 상태로 변형됩니다. 그리고 잠시 후에는 폭발하듯 번데기가 갈라지면서 터질 듯한 배와 동글납작한 모양, 그리고 녹색 산성 물질이 가득 찬 주머니를 등에 지닌 맹독충으로 다시 태어납니다.
仿生机械爆虫巢穴的上半部分是悬空的，其中运用了和泰伦战列巡航舰一样的反重力技术。	맹독충 둥지의 상단은 테란 전투순양함에 적용된 것과 동일한 대중력 기술을 사용하여 공중에 떠 있습니다.
为了使人类的关键防御工事崩塌，塞伯鲁斯从幕后控制了爆虫巢穴，使其能够在遍布泰拉多尔九号星的洞穴网络中引爆。	주요 테란 요새의 붕괴를 촉진하기 위해, 케르베로스의 맹독충 둥지들이 티라도 IX 전역에 분포된 동굴망에 자리를 잡고 터질 준비를 마쳤습니다.
在见识了凯瑞甘虫群中的爆虫后，德哈卡也鼓励自己的族群变异出了类似的变种。	케리건의 군단에 속한 맹독충에게서 영감을 받은 데하카는 자신의 무리에서도 그와 비슷한 변종의 변이를 촉진시켰습니다.
替换掉爆虫整个神经系统只是为了让它能够立即爆炸，做这种投资到底效果如何是值得怀疑的。幸运的是，塞伯鲁斯的客户们并不缺钱。	맹독충의 신경계 전체를 대체하여 즉시 폭발하게 만드는 작업은 투자 대비 수익이 불확실합니다. 하지만 다행히도 케르베로스의 고객들은 낭비할 돈이 상당히 많습니다.
浑身长满脊刺的利维坦虫巢跳虫至今保留着它们爆虫的酸液囊。即便是彻底的变异也无法改变它们核心精华中的混乱天性。	거대괴수 무리 저글링의 가시 같은 돌출부가 맹독충의 산성 주머니에도 그대로 남아 있습니다. 완전한 변태를 거친다고 해도 이들의 핵심 정수에 담겨 있는 혼돈의 본성이 변화될 수는 없었습니다.
普罗希昂工业集团对女妖的定位是经济实用型战机。专门为前线步兵提供空中支援而建造，它们是执行战术打击的理想飞行器。	프로키온 산업에서는 경제적이고 효과적인 병기를 만들기 위해 밴시를 제작했습니다. 전방의 보병에게 공중 지원을 제공하는 것을 목표로 제작된 밴시는 전술 활동에 널리 사용되는 항공기입니다.
帝国工程师们对女妖的两台VTOL涡扇进行了重大升级，在机体尾部加装新的垂直稳定装置后，战机的稳定性和飞行性能得到了极大改善。	자치령 기술자들은 밴시의 이중 VTOL 터보팬을 크게 업그레이드하여, 항공기 후방의 수직 안정기와 결합되었을 때 탁월한 안정성과 성능을 발휘할 수 있게 개선했습니다.
雇佣兵历来喜欢在他们的作战器械上加装各种装备物件，这些女妖也不例外。据说在这项特殊的设计里甚至装配了推土机的零件。	용병들은 각종 기계를 대충 조립하여 장비를 만들어 내는 것으로 악명이 높은데, 이 밴시도 예외가 아닙니다. 소문에는 불도저의 부품이 포함되어 이런 디자인이 되었다는 이야기도 있습니다.
尽管大多数泰拉多尔女妖战机在塞伯鲁斯异虫第一波攻击中就已全军覆没，但其中一名经验丰富的飞行员在首战中成功击毙了三头雷兽。	대부분의 티라도 밴시는 케르베로스 저그의 첫 번째 공세에 몰살당했지만, 경험 많은 비행사 중 하나가 울트라리스크 세 마리를 먼저 처치했습니다.
通过一系列的后门交易，尤摩扬护国军总是能从普罗希昂工业获取一定数量的女妖战机，不过出售方却一直坚称是遭到了盗窃。	다수의 비밀스러운 거래를 통해 우모자 보호령은 프로시온 산업으로부터 제한된 수량의 밴시를 취득했습니다. 물론 업체에서는 이들 밴시가 도난당한 것이라고 주장합니다.
作为泰伦步兵作战人员远离故乡的家，泰伦兵营经过无菌化处理，具有战场机动能力，可以进行快速战场部署。	테란 보병들에게는 제2의 고향과 마찬가지인 테란 병영은 항상 청결을 유지하고 이동이 가능하며, 필요시 빠른 작전 전개가 가능합니다.
由于配备了液态氮气冷却系统，特战队兵营散发着诡异的蓝光。	액체질소 냉각 장치 덕분에 특수 부대 병영에서는 스산한 푸른빛이 흘러나옵니다.
每座泰拉多尔骑士团的兵营中都配有五星级全自动厨房以及全套水疗服务——当然，只对军官开放。	티라도의 기사단 병영에는 5성급 로봇 주방과 풀 서비스 스파가 제공됩니다. 물론 장교만 이용할 수 있습니다.
战列巡航舰经常在战事升级后的军事行动中作为前线指挥部。它们是配备了重型装甲和强大火力的空中堡垒。	전투순양함은 군사 작전이 장기화되는 상황에서 이동식 사령부 역할도 톡톡히 해냅니다. 이들은 튼튼한 방어 기제와 막강한 무기로 무장한 비행 요새이기도 합니다.
经过长期研发后，最新升级的莫莱级战列巡航舰被批准专由帝国特战队使用。	오랜 연구 개발 과정을 거친 끝에 새롭게 업그레이드된 모이라이 급 전투순양함은 자치령의 특수 부대에서만 독점적으로 사용될 수 있도록 승인받았습니다.
这些火力凶猛的舰船全部按照雇佣兵的口味进行了改装。只可惜，改装它们的人几乎没有一个能活到欣赏他们杰作完成的一天。	이 흉포한 우주선들은 용병의 취향에 맞춰 개조되었습니다. 하지만 오랫동안 살아남아 이 멋진 솜씨를 감상하는 이들은 별로 없습니다.
“母巢之战”时期的战列巡航舰其指挥室甲板的位置更隐蔽、外形也更低调。遭遇异虫伏击时，左舷和右舷两侧的观景甲板可以提供最大化的能见度。	종족 전쟁 시대 전투순양함의 사령실은 이후 전투순양함들에 비해 눈에 띄지 않게 설계되었고, 저그의 습격을 받았을 때 최대한의 시야를 확보할 수 있도록 좌우현에 전망 갑판을 갖추고 있었습니다.
遭到塞伯鲁斯异虫攻击后，泰拉多尔骑士团派遣了一艘贝希摩斯级战列巡航舰向停靠在静地轨道的陨石战舰发出援救请求。	케르베로스 저그의 공격에 시달린 티라도의 기사단은 고요한 궤도에서 대기하던 석함들의 도움을 청하고자 베헤모스급 전투순양함을 파견했습니다.
尤摩扬战列巡航舰配备了重新设计的精钢板甲，同时改进了大和炮，这使得它们在战斗中的表现尤为突出。	우모자 전투순양함에는 개선된 신소재 강철 강판과 함께 신형 야마토 포가 장착되어 전투에서 눈에 띄게 강력한 위력을 발휘합니다.
为统治天空进化而来的巢虫领主是非常可怕的生物，它们会对敌方部队抛射大量毁灭性的巢虫。	하늘을 지배할 수 있게 진화된 무리 군주는 강력한 공생충을 적 병력에 발사하는 무시무시한 생물입니다.
巢虫领主原型机超出了所有设计指标。在其即将完成之际，仿生工程团队的科学家们得到了一次庆功性质的集体休假。奇怪的是，他们再也没有回来……	모든 면에서 기대를 뛰어넘는 무리 군주 시제품을 완성한 후, 복제 프로젝트의 과학자들은 모두 기념 휴가를 떠났습니다. 이상하게도 그들 모두 돌아오지 않았습니다...
原始异虫族群吸收了少量的巢虫领主，由此诞生了一种完全不同的生物，拥有不同寻常的利爪。	소수의 무리 군주들이 하나의 원시 저그 무리로 통합되었고, 그 결과 충격적으로 낯선 생물이 탄생하였습니다. 매우 독특한 발톱이 특히 눈에 띕니다.
每一只从塞伯鲁斯巢虫领主身体里派出的巢虫，都可以单独由一名指挥官在电脑控制面板上安全地进行操控，避免了亲自上阵的危险。	케르베로스 무리 군주로부터 생성된 공생충은 실제 전투로부터 멀리 떨어진 안전한 곳에 있는 지휘관이 컴퓨터 콘솔로 명령을 내려 각각 제어합니다.
尽管巢虫领主加入虫群的时间比较晚，但是它们仍然具备利维坦虫巢最显著的基因特质——很可能是进化大师阿巴瑟早期的精华实验物。	최근에 와서야 군단에 포함되었지만, 많은 무리 군주는 거대괴수 무리의 특징적인 유전 형질을 보유하고 있습니다. 이는 진화 군주 아바투르가 이들의 정수를 사용하여 초기에 실시했던 실험의 흔적일 가능성이 높습니다.
在感染一颗绝大部分地表都是海洋的星球时，一些巢虫领主习惯了在水里生存，并进化出了潜入海沟吞食猎物的能力。	유난히 넓은 바다가 있는 행성을 감염시키는 과정에서, 일부 무리 군주는 사냥감을 흡수하고 진화해 심해까지 잠수할 수 있는 능력을 얻게 되었습니다.
由于它普遍存在而且缺乏便利设施，泰伦步兵通常把地堡叫做“战场活棺材”。	벙커는 어느 곳에나 존재하고 편의 시설이 거의 없어서, 테란 보병들은 "전장의 관"이라 부르기도 합니다.
次世代的帝国地堡可以承受住一只雷兽的全部重量，但陆战队员们最开心的其实是终于有椅子可以坐了。	차세대 자치령 벙커는 울트라리스크의 온전한 체중까지 견딜 수 있게 설계되었습니다. 그래도 해병들이 가장 좋아하는 건 벙커 안에 의자가 있다는 사실입니다.
泰拉多尔的极冷地堡能提供舒适的侦察体验，哪怕是在酷热难耐的热带度假区域。	티라도의 과냉각 벙커를 이용하면 찌는 듯한 더위의 열대 휴양지에서도 편안하게 정찰 임무를 수행할 수 있습니다.
这些气势磅礴的大型战舰是圣堂武士心中的希望，更是敌人眼里的绝望。配备了高速拦截机的它们是战场上的一股可怕力量。	이 장엄한 프로토스의 주력함은 기사단의 가슴에는 희망을, 적의 가슴에는 공포를 불어넣는다고 합니다. 날렵한 요격기를 탑재한 우주모함은 막강한 화력으로 전장을 지배합니다.
为了更好地还原万世之战之后的古代航母，少数航母使用了古代技术进行了重建。它们现今主要用于外交访问。	극소수의 우주모함이 고대의 기술에 기반을 두고 끝없는 전쟁 이후 시기의 형태에 가깝게 제작되었습니다. 이들 우주모함은 주로 외교적인 접견 행사에 활용됩니다.
这种由伊罕利星灵研发的可变形陨石不仅重量很轻、抗击性好，而且化学惰性很强，是制造大型深空舰船的完美材料。	이한 리 프로토스가 개발한 살아 움직이는 돌은 가볍고 견고하며 화학적으로는 불활성이어서 심우주의 거대 함선을 제작하는 데 최고의 재료가 됩니다.
净化者航母是一种流水线产品，它将自动化与无人机技术完美的结合了起来。	정화자 우주모함은 자동화된 기술과 치명적인 드론 병기가 완벽하게 조합된 유선형 피조물입니다.
仿照传奇旗舰“星梭号”打造的航母继续在星灵势力的某些角落里生产着，以此纪念塔萨达尔及其所做出的牺牲。	프로토스는 태사다르와 그의 희생을 기리기 위해 전설적인 기함 간트리서를 본뜬 우주모함을 프로토스 영역 곳곳에서 지속적으로 생산해 내고 있습니다.
塔达林造船厂极其擅长将卡莱工程科技改造成杀人利器。作为死亡舰队主力的航母就是彻头彻尾的改装成品。	탈다림 조선공들은 칼라이의 공학적 지식을 학살의 병기로 완성하는 데 탁월한 능력을 발휘합니다. 죽음의 함대의 대다수를 차지하는 우주모함은 선수부터 선미까지 전쟁에 특화된 전함입니다.
埃蒙腐化了大部分的黄金舰队，并将其收为己用。这些被控制的星灵由于受到虚空能量的影响，呈现出一种不同的外貌，连他们的舰船也受到了相同的影响。	아몬이 황금 함대의 타락한 세력을 흡수한 후 그 전사들을 지배하고 있습니다. 아몬의 지배를 받는 이들 프로토스는 공허 에너지의 영향을 받아 외형이 변형되었고, 이들의 우주선 또한 마찬가지로 변형되었습니다.
巨像是星灵设计的第一种专注于毁灭的机器人。它们昭示了一段血腥的历史，也用实力确保了和平的未来。	거신은 프로토스가 파괴만을 목적으로 만든 첫 번째 로봇입니다. 거신은 피비린내 나는 과거의 상징이자 평화로운 미래를 확보하기 위한 무기입니다.
在卡拉提仲裁事件后，巨像被认为太过危险而被禁止使用。于是净化者项目的巨像就成了圣堂武士战士们中的传奇。它们是究极的净化机械。	칼라스 중재 사건 이후로, 사용되기에는 너무 위험하다고 여겨진 정화자 프로그램의 거신은 기사단 전사들의 전설이자 궁극적인 정화 기계입니다.
一批经历了末日之战的巨像，在经过精挑细选后，被使用最顶级的材料重新改造成了传统样式。如今的它们成为了古代星灵机器人技术的集大成者。	최후의 전쟁에 참여했던 일부 거신은 최고의 자재를 활용하여 전통적인 형태로 개조되었습니다. 이들은 이제 가장 장엄했던 고대의 프로토스 로봇을 닮아 있습니다.
伊罕利巨像的大量陨石组件，都是经由重新调校后的萨尔那加动能机所散发出的虚空能量，将它们悬浮托举并聚拢在一起。	이한 리 거신의 석재 부품 다수는 용도가 변경된 젤나가 발전기에서 뿜어져 나온 공허 에너지로 부양되고 지탱됩니다.
净化者在工程学上的最新成果催生出了一种线条流畅、工艺精细的加强版巨像，简直就是一台战争机器艺术品。	정화자의 최신 공학 기술이 매끈한 외형과 미묘하게 개선된 성능의 거신을 탄생시켰습니다. 물론 이것이 잔혹한 전쟁 기계라는 점만은 달라지지 않았습니다.
圣物大战早已结束，被掩埋和遗忘在星区各处旧战场上的巨像，经常被追求更强火力的塔达林晋升者挖掘出来，重新投入使用。	코프룰루 구역 곳곳에 파묻힌 채 많은 이들의 기억 속에서 사라진 과거의 전쟁 유물, 거신은 종종 우월한 화력을 갈구하던 탈다림의 선조들에 의해 발굴되고 재가동되었습니다.
低阶的晋升者们经常挑战对方去关闭并控制一台激活的巨像。如果成功，那么塔达林就多了一个强大的战争机器；如果失败，则少了一个升格对手。	하급 승천자들은 때때로 가동 중인 거신을 비활성화하고 점거하는 일을 시도해 보자고 서로에게 도전합니다. 이런 시도가 성공하면 탈다림은 강력한 전쟁 병기를 손에 넣는 것이고, 혹시 실패하더라도 경쟁 승천자가 사라질 뿐이니 손해는 아닙니다.
既能移动部署而且功能实用的指挥中心是资源处理中心，它们可以迁移到任何晶体矿或高能瓦斯丰富的地点。	이동이 가능하고 실용적인 사령부는 광물과 베스핀 가스가 풍부한 지역으로 직접 이동할 수 있는 자원 처리 시설입니다.
加固后的反推器着陆架能让这种指挥中心即便是在最严酷的环境中也能找到安全的落脚点。	이 사령부의 강화된 착륙 장치는 아무리 가혹한 환경에서도 탄탄한 토대를 찾아냅니다.
早期迭代版本的指挥中心有一个可扩展的接口，以便与外部附件连接。后来为了提高安全性，内部操作台取代了这种接口。	기존 사령부에는 외부 애드온을 연결할 수 있는 확장 인터페이스가 탑재되어 있었습니다. 하지만 보안을 강화하기 위해 대부분 내부 베이로 교체되었습니다.
在伊罕利星灵抵达后，泰拉多尔的指挥中心接待了来自科普卢星区各处的外交使节。每名使节都想要拉拢这些新来的人，来达成自己的政治目的。	이한 리 프로토스가 나타난 후, 티라도 사령부에서는 코프룰루 전역의 외교 사절을 초빙했습니다. 초대에 응한 사절들은 모두 새롭게 나타난 세력을 각자의 정치적 목표에 편입시키려고 최선을 다했습니다.
靠生物制造出的电磁场而漂浮起来的腐化者，可以喷洒具有超强腐蚀性的强酸液体，即便是最牢固的建造材料也无法抵御侵蚀。	생물학적으로 생성되는 전자기장을 이용하여 공중을 비행하는 타락귀는 가장 단단한 건축 자재라도 갉아먹을 수 있는 부식액을 방출하여 목표를 손상시킵니다.
与孵生孢子不同，这些机械腐化者拥有自我修复能力的纳米机器人，它们被编程后可以产生与孢子相同的功能，就这一点足以让人不安了。	이 기계 타락귀는 포자 대신 자가 복제 나노 머신을 보유하고 있습니다. 이들 나노 머신에는 포자와 같은 기능을 수행하는 프로그램이 탑재되어 있는데, 그 모습이 원래의 표본만큼 구역질이 나는 건 분명합니다.
最早的腐化者具有虫群和原始异虫两种特征。后者进化出了更粗的利爪和更厚的甲壳，以更好地辅助其严格的进食过程。	최초의 타락귀는 군단과 원시 저그 모두에 흡수되었습니다. 하지만 원시 저그의 경우 더욱 두툼한 발톱과 갑주를 차용하여, 거친 섭취 과정의 안정성을 도모했습니다.
阿克图尔斯·蒙斯克倒台后，被迫转入地下的“塞伯鲁斯工程”逐步为他们的神经重新编程计划确立了新的方向，对象不再是泰伦士兵而是异虫。	아크튜러스 멩스크의 몰락 이후 지하로 내몰린 케르베로스 프로그램은, 저그가 아닌 테란 군인들을 대상으로 신경계 재프로그래밍 계획을 진화시켰습니다.
虽然坚硬的脊刺和蹼状特征经常透露出它们的水栖背景，但是利维坦虫巢的腐化者们还是成功适应了在超重环境中生存。	경화된 쐐기와 그물과 같은 형체는 수중 생물에서 유래된 것으로 보이기도 하지만, 거대괴수 무리의 타락귀는 고중력 환경에서의 생존에 적응한 생물입니다.
这些由叛变仿生机械虫后制造的菌毯肿瘤，必定藏有复杂的纳米科技秘辛，但是想做进一步调查的尝试总会被肿瘤结构受损即自爆的防御机制所破坏。	탈주한 복제 여왕이 만들어 낸 점막 종양의 중심에는 아주 복잡한 나노 기술이 적용되어 있습니다. 하지만 잘라내면 폭발하는 종양의 성질 때문에 자세한 연구는 진행될 수 없었습니다.
星灵被外界所熟知的一点是，他们会给倒下的战士们加装人造躯体，赋予他们第二次生命，以重获战斗的荣光。控制芯核在研发此项科技的过程中起到了关键性的作用。	프로토스는 전장에서 쓰러진 정예 전사들에게 인공 신체를 줘서 이들에게 전장에서 영광스럽게 싸울 기회를 한 번 더 주곤 합니다. 인공제어소는 이런 기술을 개발하는 데 핵심적인 역할을 해왔습니다.
所有控制芯核都具备将生物体植入精密器械的能力，但是塔达林的控制芯核有一点不同，那就是整个过程会非常痛苦。	모든 인공제어소에는 생물체를 섬세한 기계 장치와 결합할 수 있는 능력이 포함되어 있습니다. 탈다림 인공제어소의 가장 큰 차이는 이 과정이 상상할 수 없을 만큼 고통스럽다는 점뿐입니다.
