非晶态装甲云	Аморфное бронеоблако
声音设置已保存，部分改动需要重新运行《星际争霸II》才会生效。	Параметры звука сохранены, но некоторые изменения не вступят в силу до перезапуска StarCraft II.
声音质量：	Качество звука
响应音效	Звуки откликов
界面音效	Звуки интерфейса
声音：	Звук
音箱设置：	Режим динамиков
规格	Спецификации
速度	Скорость:<sp/>
法术	Способность
开始游戏(<h/>S)	На<h/>чать игру
观战者快捷键	Панель зрителя
在线状态	Статус
聚焦值：	Конвергенция
立体影像聚焦值控制着无视差聚焦点的深度。提高聚焦值可使画面中的物件在视觉效果上进一步远离屏幕。如果您的眼睛无法适应立体影像，则过高的聚焦值会使您感到不适。	Определяет глубину точки, в которой отсутствует параллакс. Повысьте этот параметр, чтобы «отодвинуть» объекты вглубь экрана. Слишком высокая конвергенция может усложнять восприятие, если ваши глаза не привыкли к стереоскопическому изображению.
开启3D立体影像	Включить 3D-стерео
开启立体影像支持。该效果只能在全屏模式下激活。	Поддержка 3D-стерео. Для активации этого эффекта игра должна быть в полноэкранном режиме.
这些选项允许您对3D立体影像显示的细节设定作出调整。	Эти настройки позволяют менять детали, относящиеся к стереоскопическому (3D) режиму.
3D立体影像	3D-стерео
间隔值：	Разделение
立体影像间隔是指左、右两侧图像水平位置的差值。立体影像间隔值越大，立体效果便越明显。如果您的眼睛无法适应立体影像，则过高的间隔值会使您感到不适。	Определяет разницу по горизонтали между правым и левым изображением. Чем выше этот параметр, тем сильнее стереоскопический эффект. Слишком сильное разделение может усложнять восприятие, если ваши глаза не привыкли к стереоскопическому изображению.
停止播放	ОСТАНОВИТЬ РОЛИК
你已购买了该项目。	Уже приобретено.
你还未打开这件神器的栏位。	Данная ячейка артефакта пока недоступна.
提高玩家等级来打开更多神器。	Чтобы получить доступ к артефактам, вашего текущего уровня недостаточно.
可用于支付的金币数量。	Золото, которое можно потратить в магазине.
%new% %productType% %owned% %saleAmount%	%new% %productType% %owned% %saleAmount%
立减	Откл.
全新	Новый
已有	(уже есть)
-%amount%%	-%amount%%
产品无效。	Товар недействителен.
金币不足。<n/>我的金币: %gold%	Недостаточно золота.<n/>Мое золото: %gold%
产品无法购买。	Покупка данного предмета невозможна.
你拥有这个%productType%。	У вас уже есть этот <lang rule="declension" case="a">%productType%</lang>.
等待购买时不可用。	Вы не можете этого сделать, пока покупка не завершена.
公共测试服务器上的购买功能已被禁用。	Покупки на PTR недоступны.
现金交易暂时禁用，请稍后再试。	Расчеты за настоящие деньги временно недоступны. Пожалуйста, повторите попытку позже.
备选语音	Другой звук
进度	Прогресс
替换语音	Особый звук
主题技能	Особые эффекты
主题动画	Особая анимация
主题坐骑	Особый транспорт
Not yet implemented - pretend you are trying out this hero in a single player map.	Не реализовано - тестирование героя на карте для одного игрока.
英雄试用	Испытать героя
达到英雄等级10级来解锁大师级皮肤！	Особый облик доступен на 10-м уровне героя!
解锁%name%	Открыть
经验和金币加成！	Бонус к опыту и золоту!
合集	Комплект
战斗宝箱豪华版	Deluxe-издание Battle Chest
战斗宝箱普通版	Стандартное издание Battle Chest
控制台	Консоль
印花包	Набор эмблем
数字典藏包礼品	Подарки за покупку издания Deluxe
表情包	Набор смайликов
任务合集	Комплект заданий
任务包	Набор заданий
头像包	Набор портретов
旗帜包	Набор баннеров
喷漆包	Набор граффити
合作任务强化剂	Стимуляторы для совместного режима
战争宝箱	Трофейный фонд
%gold%或%real%	%gold% или %real%
暴雪游戏点数	Кошелек Blizzard
信用卡	Кредитная карта
直接扣款	Прямой банковский перевод
支付宝	PayPal
（主要）	(основной)
当前正在下载游戏数据。	Загружаются игровые данные.
优势对抗：	Эффективен против:
建筑：	Строения
建筑(<h/>S)	Стро<h/>ения
<c val="255, 204, 0">%speakerText%: </c>%subtitleText%	<c val="255, 204, 0">%speakerText%: </c>%subtitleText%
<c val="230, 95, 5">%speakerText%: </c>%subtitleText%	<c val="230, 95, 5">%speakerText%: </c>%subtitleText%
超级	Супер
以苹果键代替CTRL键触发快捷键命令	Смена клавиш Ctrl и Command
自动存档中……	Игра сохранена
由于文件损坏，可能会产生图形或声音错误。<n/>损坏文件可在您退出《星际争霸II》时进行修复。	Некоторые файлы повреждены и могут вызывать ошибки с графикой или звуком.<n/>Они могут быть восстановлены после выхода из StarCraft II.
你的快捷键方案有冲突，可能会在你使用快捷键发布某些命令时造成影响。<n/>按下菜单按钮，然后选择选项中的快捷键按钮来解决这个冲突。	В вашей конфигурации горячих клавиш есть конфликт, из-за которого вы, возможно, не сможете отдавать некоторые приказы.<n/>Чтобы устранить конфликт, нажмите кнопку «Меню», выберите пункт «Настройки», а затем – «Горячие клавиши».
您的电池电量不足。	Заряд батареи на исходе.
您的系统页面缓冲池内存过低，画面质量可能因此而下降。您的显示设置已被自动调低以解决该问题。手动进一步降低画面设置并重新运行《星际争霸II》，或关闭其它应用程序可能会提高性能。	Нерезидентный пул памяти вашего компьютера почти переполнен. Качество графики может ухудшиться. Для повышения быстродействия некоторые графические параметры были автоматически изменены. Если этого оказалось недостаточно, вы можете понизить их вручную и перезапустить StarCraft II или закрыть другие работающие приложения.
您的系统页面缓冲池内存已耗尽，画面质量可能因此而下降。您的显示设置已被自动调低以解决该问题，但运行效率可能仍然无法彻底改善。	Нерезидентный пул памяти вашего компьютера переполнен. Качество графики может ухудшиться. Графические параметры были автоматически изменены, но быстродействие все равно может быть низким.
开启全屏模式时遇到错误。<n/>已自动切换为窗口模式(最大化)。<n/><n/>您可能需要重新启动游戏或系统以解决该问题。	При переходе в полноэкранный режим возникла неполадка.<n/>Текущий режим – «Оконный (весь экран)».<n/><n/>Для включения полноэкранного режима может потребоваться перезапустить игру или перезагрузить компьютер.
保存失败。	Ошибка сохранения
保存成功。	Игра сохранена.
电池电量：%charge%%	Батарея: %charge%%
正在充电…	зарядка...
显示您计算机电池的剩余电量。	Индикатор заряда батареи вашего компьютера.
帧率：%framerate%fps	Частота кадров: %framerate%
表示游戏画面的流畅程度。修改画面设置可以改善帧率过低的问题。	Индикатор быстродействия игры. Частоту кадров можно повысить, изменив графические настройки.
本地时间：%time%	Местное время: %time%
前一分钟有%count%项资源延迟了%time%毫秒。	Задержек использования<n/>ресурсов: %count%;<n/>Общая продолжительность: %time% мс за последнюю минуту.
在过去一分钟内，%count%个渲染器已暂停%time%毫秒。	За последнюю минуту шейдер %count% бездействует в течение %time% мс.
无线连接信号强度：%signalStrength%	Уровень сигнала: %signalStrength%
极好	отличный
一般	нормальный
较好	хороший
较差	низкий
非常好	очень хороший
禁用OS键盘快捷键	Отключить горячие клавиши ОС
表单(<h/>T)	<h/>Таблица
交谈	Речь
%colorName%执政官	%colorName% Архонт
选择目标	Выбор цели
白色	Белый
蓝色	Синий
青色	Бирюзовый
黄色	Желтый
橙色	Оранжевый
绿色	Зеленый
浅粉	Светло-розовый
浅灰	Светло-серый
深绿	Темно-зеленый
棕色	Коричневый
浅绿	Светло-зеленый
深灰	Темно-серый
粉色	Розовый
队伍颜色强度：	Яркость цвета команды
显示队伍有色生命值状态条	Индикаторы по цвету команды
战队%teamNumber%	Команда %teamNumber%
还未进行游戏	Еще не сыграно
请求：	Запросить:
由两名圣堂武士融合而成	– из двух тамплиеров
其他单位	Другие боевые единицы
由腐化者变异而来	Мутирует из губителя
由刺蛇变异而来	Мутирует из гидралиска
由王虫变异而来	Мутирует из надзирателя
从蟑螂变异而来	Мутирует из таракана
由跳虫变异而来	Мутирует из зерглинга
变异单位	Результаты трансформации
尚未加入	Еще не реализовано
变形自母舰核心	– из ядра материнского<n/>корабля
新科技：	Новая технология:
地表质量：	Рельеф
测试麦克风	Проверка микрофона
停止麦克风测试	Остановить проверку микрофона
比赛结果数据不一致！	Ошибка синхронизации!
您已被移出游戏！	Вы отключены!
录像不同步！	Рассинхронизация в игровом ролике!
超时	Время ожидания превышено!
游戏结束！	ИГРА ОКОНЧЕНА!
无法载入描述文件[%1]。	Ошибка загрузки файла описаний: [%1].
无法为样式[%2]载入字体[%1]。	Ошибка загрузки шрифта "[%1]" для стиля "[%2]".
无法加载字体文件[%1]。	Ошибка загрузки шрифта [%1].
字体文件[%1]过大，无法加载。	Файл шрифта [%1] слишком большой и не может быть загружен.
无法重新载入描述文件[%1]。	Ошибка повторной загрузки файла описаний: [%1].
常数[%1]已经存在。	Константа [%1] уже существует.
文档错误解析[%1]:[%2]。	Анализ ошибок в документе [%1]: [%2].
字体[%1]已存在。	Шрифт [%1] уже существует.
无法找到字体样式[%1]。	Размер шрифта [%1] не найден.
样式[%1]包含无效属性[%2]。	Стиль [%1] содержит неверный атрибут [%2].
风格[%1]包含属性[%2]的无效值[%3]，范围：%4	Стиль [%1] содержит неверное значение [%3] в атрибуте [%2]. Диапазон: %4
样式[%1]包含无效样式标旗[%2]。	Стиль [%1] содержит флаг стиля [%2].
样式[%1]包含无效字体标旗[%2]。	Стиль [%1] содержит флаг шрифта [%2].
Error parsing localization file [%1] at line [%2] - path: %3	Ошибка чтения файла локализации: [%1], строка [%2] - путь: %3
Incorrect number of tokens in localization file. %1 tokens instead of %2	Неверное количество токенов в файле локализации: %1 вместо %2
Unknown gender code [%1] for ending [%2]	Неизвестный формат пола [%1] в окончании [%2]
遇到的常数在[%1]中没有名称属性。	В [%1] присутствует константа без атрибута "Название".
遇到的常数[%1]在[%2]中没有数值属性。	В [%1] присутствует константа [%2] без атрибута "Значение".
遇到的字体在[%1]中没有文件属性。	В [%1] обнаружен шрифт без указания атрибута «Файл».
FontGroup encountered with no name attribute in [%1].	В [%1] обнаружена группа FontGroup без указанного имени.
遇到的样式在[%1]中没有名称属性。	В [%1] присутствует стиль без атрибута "Название".
对于样式[%1]没有字体设置。	Нет заданного шрифта для стиля "[%1]".
样式[%1]已经存在。	Стиль "[%1]" уже существует.
样式[%1]包含无限属性循环，无法被结算。	Стиль "[%1]" содержит бесконечную рекурсию атрибутов и не может быть обработан.
Style [%1] in the file [%2] has a name that is too long.  The maximum length is %3	Слишком длинное название стиля [%1] в файле [%2]. Максимальная длина: %3
所有贴图缓存页面已满。正在清除缓存。	Заполнены все страницы с кэшем текстур. Происходит очистка кэша.
决定贴图缓存页面是否需要进行缓存清理。	Требуется пометить страницу с кэшем текстур как незаполненную.
Image [%1] in text is too tall for a single line.  Exceeds by [%2]	Слишком большая высота изображения [%1] для одной строки. Превышение: [%2]
Text [%1] is too tall for a single line.  Exceeds by [%2]	Слишком большая высота текста [%1] для одной строки. Превышение: [%2]
在文件[%2]中含有未知起始标签[%1]。	Неизвестный начальный тег "[%1]" в файле [%2].
风格[%1]在[%3]中包含未知属性[%2]。	Стиль "[%1]" содержит неизвестный атрибут "[%2]" в "[%3]".
贴图质量：	Качество текстур
警告：CPU电源水平降低。游戏运行能力也许会受到影响。请检查你的计算机电源和温度设定。	Внимание! Недостаточно ресурсов центрального процессора. Проверьте параметры питания и температуры.
地表特征：	Набор текстур:<sp/>
上午%hour%:%minute%	%hour%:%minute% AM
下午%hour%:%minute%	%hour%:%minute% PM
%hour%:%minute%	%hour%:%minute%
<d time="TimeOfDay"/>	<d time="TimeOfDay"/>
时间剩余:	Осталось времени:
大约1分钟	около минуты
&lt;一分钟	менее минуты
&lt;1分钟	&lt; 1 мин.
小于1分钟	Менее 1 минуты
%val%个月	%val% <lang rule="plural" val="%val%">месяц,месяца,месяцев</lang>
%val%月	%val% мес.
%val%年	%val% <lang rule="plural" val="%val%">год,года,лет</lang>
时间：	Время:<sp/>
左键点击显示提示。<n/>右键点击关闭提示。	Щелкните левой кнопкой, чтобы прочитать подсказку.<n/>Щелкните правой кнопкой, чтобы убрать подсказку.
<c val="ffffff">弹出窗口淡出时间：</c><n/>弹出窗口保持可见的时间，以秒为单位。	<c val="ffffff">Скорость исчезновения уведомления</c><n/>Время, в течение которого уведомление будет отображаться на экране (в секундах).
通知消息条持续时间：	Скорость исчезновения уведомления
好友上线提示	друг входит в сеть
好友更新广播	обновляется информация о друге
您已在线进行了%hours%小时的游戏，您的健康游戏时间还剩余%hoursRemaining%小时。届时您将无法在游戏中获得经验值，必须下线累计满5小时才能恢复正常状态。	您已在线进行了%hours%h的游戏，您的健康游戏时间还剩余%hoursRemaining%。届时您将无法在游戏中获得经验值及其它奖励，必须下线累计满5小时才能恢复正常状态。
您的在线时间已经超过%hours%小时%minutes%分钟，已进入疲劳游戏时间。为了您的健康，请尽快下线休息，做适当身体活动，合理安排学习生活。您已经无法在游戏中获得经验值及其它奖励，直到您的累计下线时间满5小时后才能恢复正常。	您的在线时间已经超过%hours%h%minutes%m，已进入疲劳游戏时间。为了您的健康，请尽快下线休息，做适当身体活动，合理安排学习生活。您已经无法在游戏中获得经验值及其它奖励，直到您的累计下线时间满5小时后才能恢复正常。
您的在线时间已经超过%hours%小时%minutes%分钟，已进入不健康游戏时间。为了您的健康，请立即下线休息。您已经无法在游戏中获得经验值及其它奖励，直到您的累计下线时间满5小时后才能恢复正常。	您的在线时间已经超过%hours%h%minutes%m，已进入不健康游戏时间。为了您的健康，请立即下线休息。您已经无法在游戏中获得经验值及其它奖励，直到您的累计下线时间满5小时后才能恢复正常。
重启后你需要再次为你的锦标赛报名。	После перезапуска потребуется повторно подать заявку на участие в турнире.
开启通知消息条	Уведомления
<c val="ffffff">开启通知消息条：</c><n/>切换是否显示所有通知消息条。	<c val="ffffff">Уведомления</c><n/>Отображение всплывающих уведомлений.
全屏状态下无法切换显示模式	Нельзя переключить режим экрана в полноэкранном режиме.
已切换至窗口模式	Вы перешли в оконный режим.
已切换至窗口全屏模式	Вы перешли в оконный режим (весь экран).
打开或关闭微缩地图的地表显示。<n/><k val="MinimapTerrain"/>	Отображение рельефа на мини-карте.<n/><k val="MinimapTerrain"/>
左键点击，开启/关闭结盟菜单。	Щелкните левой кнопкой, чтобы открыть меню союзников.
左键点击，开启/关闭资源交易菜单。	Щелкните левой кнопкой, чтобы открыть меню обмена ресурсами.
交易	Торговать
资源交易开启于：	Обмен ресурсами доступен через:
:已完成	: завершено
星球目标:	ЗАДАЧА НА ПЛАНЕТЕ:
星球奖励:	НАГРАДЫ НА ПЛАНЕТЕ
星球:	ПЛАНЕТА:
撤销	Отмена
受伤单位	Для поврежденных
特定目标	При выборе целью
显示单位生命值状态条：	Отображать индикаторы здоровья
单位：	Боевые единицы
单位(<h/>U)	Едини<h/>цы
<s val="StandardTooltipHeader">%title%</s><n/>%description%	<s val="StandardTooltipHeader">%title%</s><n/>%description%
解锁：	Доступ:<sp/>
<n/>该文件可能随时会被删除以释放空间存储新的文件。点击“保存”按钮，防止该文件被删除。	<n/>Этот файл может быть удален в любой момент, чтобы очистить место для новых файлов. Чтобы избежать этого, нажмите кнопку «Сохранить».
立刻升级！	КУПИТЬ ИГРУ!
执行该操作将打开一个浏览器窗口。	Для просмотра содержимого будет запущен браузер.
升级于：	Улучшение:
升级：	Улучшения:
版本	Версия
<c val="ff0000">需要英雄等级%level%级</c>	<c val="ff0000">Требуется %level%-й уровень.</c>
(简单难度)	(уровень «Ученик»)
(高级难度)	(высокая сложность)
(专家难度)	(наивысшая сложность)
(普通难度)	(уровень «Боец»)
(未知难度)	(неизвестная сложность)
耗时：	ВРЕМЯ ПРОХОЖДЕНИЯ:
任务完成：	ЗАДАНИЕ ВЫПОЛНЕНО:
任务总结	ИТОГИ ЗАДАНИЯ
再来一局(<h/>P)	<h/>Играть снова
已逝时间	ВРЕМЯ
视频	Видео
视频捕捉	Запись видео
游戏进行或观看录像时，您可以按下CTRL-F11切换游戏内视频录制的开启与关闭。视频将以Theora OGV格式保存在您用户目录下的Starcraft II Videos文件夹中。录制高质量视频可能会极大地影响您的游戏体验。	Вы можете включить запись игрового видеоролика, нажав CTRL+F11 в любой момент игры или просмотра повтора. Видеоролики сохраняются в папке пользователя в подкаталоге StarCraft II Videos в формате Theora OGV. Запись видеоролика в высоком качестве может значительно снизить быстродействие игры.
<c val="ffffff">音频质量：</c><n/>提高音频质量将获得更高的音频保真度，但会使文件体积增大。	<c val="ffffff">Качество звука</c><n/>С повышением качества звука размер видеофайлов будет расти.
<c val="ffffff">帧率：</c><n/>帧率指每秒录制的帧的数量。帧率越高，所录制出的视频越流畅，但会使视频文件体积增大。录制高帧率的视频可能会影响游戏运行速度。	<c val="ffffff">Частота кадров</c><n/>Этот параметр задает количество записываемых кадров в секунду. Видеозаписи с большей частотой кадров воспринимаются как более плавные, но занимают больше места. Кроме того, запись видео с высокой частотой кадров может снизить быстродействие игры.
<c val="ffffff">开启音频录制：</c><n/>录制视频时包含声音。	<c val="ffffff">Включить звук</c><n/>Позволяет записывать видео со звуком.
<c val="ffffff">触发器录制：</c><n/>开启该选项将允许游戏根据创建地图时预先设定的条件自动触发视频的录制。玩家创建地图时可以添加“开始录制视频”触发器，使视频的录制更为方便。如果您不想在某些地图中自动录制视频，请保持该选项的禁用状态。	<c val="ffffff">Запись по триггерам</c><n/>Активировав этот параметр, вы сможете записывать видеоролики по внутриигровым триггерам. Игроки могут создавать карты с триггерами «MovieStartRecording», при срабатывании которых запись видеоролика начнется автоматически. Отключите этот параметр, если вы не хотите автоматически записывать видеоролики на определенных картах.
<c val="ffffff">分辨率：</c><n/>该选项决定了录制视频采用的像素数量。较高的分辨率对应较好的画面质量，但会延长录制时间。要获得最佳效果，请使用与您的屏幕高宽比相匹配的分辨率。	<c val="ffffff">Разрешение</c><n/>Задает размер записываемого видеоролика в пикселях. Более высокие разрешения обеспечивают лучшее качество изображения, но запись будет осуществляться медленнее. Для получения наилучших результатов указывайте разрешение с тем же соотношением сторон, которое вы используете в игре.
<c val="ffffff">录制视频时游戏减速：</c><n/>该选项决定了录制视频时是否减慢游戏速度以弥补性能下降造成的影响。开启此选项可以带来更好的视频效果，但在多人游戏中无法开启此选项。禁用此选项时录制的视频将受到帧数下降的影响，但音频部分不会受到影响。	<c val="ffffff">Замедление игры при записи</c><n/>Определяет, будет ли игра замедляться в процессе записи видеоролика, чтобы скомпенсировать падение быстродействия. При включении этого режима качество записываемых видеороликов повысится. В роликах, записанных без этой опции, частота кадров может падать (аудиопоток останется без изменений). В многопользовательской игре активировать этот режим нельзя.
<c val="ffffff">视频质量：</c><n/>该选项决定了录制视频采用的压缩量。更高的视频质量会带来更好的画面质量，但会增加视频文件大小。	<c val="ffffff">Качество видео</c><n/>Определяет степень сжатия, с которым записывается игровой видеоролик. Более высокое качество видео обеспечивает лучшее качество изображения, но видеофайлы получаются значительно большими по размеру.
视频质量：	Качество видео
查看提示	ПРОСМОТР ПОДСКАЗКИ
查看：	Вид:
语音激活	Голосом
控制面板	Панель управления
测试开始	Проверка
测试停止	Стоп
语音聊天模式：	Включение голосового чата
语音聊天输出音量：	Громкость голосового чата
请按任意键	Нажмите любую клавишу
<c val="ffffff">麦克风音量自动调节：</c><n/>切换麦克风音量自动调节，通过调节输出声音的大小，保持音量恒定不变。<n/><n/><c val="ff0000">注意：该选项将修改麦克风在操作系统中的设置，并会在《星际争霸II》运行时影响其它应用程序对麦克风的使用。</c>	<c val="ffffff">Автоматический уровень чувствительности</c><n/>Чувствительность микрофона будет подстраиваться динамически, чтобы конечная громкость сигнала всегда оставалась на одном уровне.<n/><n/><c val="ff0000">Примечание: этот параметр меняет настройки микрофона в операционной системе и влияет на все приложения, использующие микрофон, во время работы StarCraft II.</c>
<c val="ffffff">语音聊天激活敏感度：</c><n/>该选项决定了激活语音聊天需要的音量。将此值调低可以避免呼吸声或其它偶发声音激活语音聊天。	<c val="ffffff">Чувствительность микрофона для активации</c><n/>Определяет, как громко нужно говорить для активации голосового чата. Понизьте этот параметр, чтобы избежать активации голосового чата случайными шумами или звуками дыхания.
<c val="ffffff">语音聊天输出音量：</c><n/>该选项决定了语音聊天的播放音量。	<c val="ffffff">Уровень громкости голосового чата</c><n/>Определяет громкость воспроизводимых сообщений голосового чата.
<c val="ffffff">音乐消隐等级：</c><n/>该选项决定了他人语音出现时音乐的音量。	<c val="ffffff">Приглушение музыки</c><n/>Этот параметр определяет уровень громкости, на котором должна будет воспроизводиться музыка игры во время вашего общения в голосовом чате.
<c val="ffffff">声音消隐等级：</c><n/>该选项决定了玩家语音出现时游戏声音的音量。如果在游戏中收听他人语音时遇到问题或在进行语音聊天时游戏声音也被一同录入，则开启此项。	<c val="ffffff">Приглушение звуков</c><n/>Определяет громкость, с которой будут воспроизводиться звуки игры во время общения в голосовом чате. Измените этот параметр, если вам плохо слышно других игроков или если звуки игры слышны в голосовом чате вместе с вашими репликами.
<c val="ffffff">输入设备：</c><n/>选择用于语音聊天的麦克风或耳麦。	<c val="ffffff">Устройство ввода</c><n/>Выберите микрофон или гарнитуру для общения в голосовом чате.
<c val="ffffff">启用麦克风：</c><n/>开启该选项便可在游戏中参与语音聊天。您必须拥有一个输入设备，如麦克风、耳麦或内置麦克风。	<c val="ffffff">Включение микрофона</c><n/>Включает возможность передачи сообщений через голосовой чат во время игры. У вас должно быть устройство ввода звука, такое как отдельный или встроенный микрофон или гарнитура.
<c val="ffffff">麦克风加强：</c><n/>提高传统麦克风的功率。该功能可能会造成USB耳麦或麦克风声音失真。不是所有的输入设备都支持加强功能。	<c val="ffffff">Усиление сигнала микрофона</c><n/>Усиливает уровень входного сигнала микрофона. Включение этого эффекта для USB-микрофонов и гарнитур может вызвать искажения звука. Усиление сигнала поддерживается не всеми устройствами ввода.
<c val="ffffff">操作系统麦克风静音：</c><n/>切换麦克风在操作系统中的静音设置。<n/><n/><c val="ff0000">注意：该操作将影响麦克风在其它应用程序中的状态，退出《星际争霸II》后设置不会恢复。</c>	<c val="ffffff">Выключить микрофон в ОС</c><n/>Выключает микрофон в операционной системе.<n/><c val="ff0000">Эффект затронет все приложения и останется в силе после выхода из StarCraft II.</c>
<c val="ffffff">麦克风测试：</c><n/>切换麦克风测试。开启后，所有通过麦克风输入的语音都将以选定的语音输出设备进行回放。	<c val="ffffff">Проверка микрофона</c><n/>Режим проверки микрофона. При активации весь звук, улавливаемый микрофоном, будет воспроизводиться через выбранное устройство вывода звука.
<c val="ffffff">麦克风音量：</c><n/>该选项决定了麦克风声音输入的音量。如果其他玩家很难听到您的声音，则提高该项。如果设置了自动调节，则该选项会被禁用。	<c val="ffffff">Чувствительность микрофона</c><n/>Определяет громкость сигнала, поступающего с микрофона. Увеличьте чувствительность, если собеседники плохо вас слышат. При выборе пункта «Автоматически» этот параметр становится недоступен.
<c val="ffffff">语音聊天模式：</c><n/>该选项决定了麦克风的激活方式。设定为语音激活时，麦克风会在出现语音时自动激活。设定为按键发言时则需要按下按键才能进行语音聊天。	<c val="ffffff">Режим голосового чата</c><n/>Определяет способ активации микрофона. В режиме активации голосом микрофон будет включаться автоматически, как только вы начнете говорить. В режиме активации нажатием клавиши микрофон будет включен, пока вы будете удерживать заданную клавишу нажатой.
<c val="ffffff">输出设备：</c><n/>选择用于播放聊天语音的扬声器或耳机。语音聊天设备可以不同于游戏设备。	<c val="ffffff">Устройство вывода</c><n/>Указывает, какие динамики или наушники будут использоваться для голосового чата. Для воспроизведения звуков игры и голосового чата не обязательно использовать одно и то же устройство.
<c val="ffffff">按键发言键：</c><n/>该选项决定了用于激活语音聊天的按键设置。按下该按钮，再按下要设为发言键的按键以修改当前的值。	<c val="ffffff">Клавиша активации</c><n/>Для изменения клавиши активации голосового чата нажмите эту кнопку, а затем клавишу, которую вы хотите использовать.
<c val="ffffff">按键发言提示音：</c><n/>开启该选项后，按下或释放按键发言键时会播放短促的提示音。	<c val="ffffff">Звук при включении передачи</c><n/>Если параметр активирован, нажатие клавиши активации чата будет сопровождаться кратким сигналом.
<c val="ffffff">提供程序：</c><n/>选择语音聊天输入/输出提供程序。	<c val="ffffff">Библиотека обработки звука</c><n/>Выбор библиотеки обработки и передачи звука для голосового чата.
<c val="ffffff">开启语音聊天：</c><n/>开启收听或参与游戏内语音聊天功能。	<c val="ffffff">Голосовой чат</c><n/>Включает возможность прослушивания и передачи сообщений через голосовой чат.
<c val="ff0000">语音聊天：</c><n/>根据家长监控设置，该功能已被禁用。	<c val="ff0000">Голосовой чат:</c><n/>Эта функция отключена в настройках родительского контроля.
<c val="ffffff">开启发言焦点：</c><n/>开启该选项将显示当前语音聊天中正在发言的玩家。	<c val="ffffff">Обозначение говорящего</c><n/>Обозначение игрока, который сейчас говорит в голосовом чате.
该操作将修改麦克风在操作系统中的静音设置，并影响麦克风在其它应用程序中的状态，退出《星际争霸II》程序后设置不会恢复。确定要进行修改？	Этот параметр выключит микрофон в операционной системе. Эффект затронет все приложения и останется в силе после выхода из StarCraft II. Изменить параметр?
您设置的快捷键可能会同其它快捷键冲突。确定要进行修改？	Выбор этой клавиши может вызвать конфликт конфигурации «горячих клавиш». Выбрать клавишу?
部分语音设置需要重新启动游戏才会生效。确定要重新运行？	Для применения некоторых параметров голосового чата необходим перезапуск игры. Перезапустить игру сейчас?
您的语音设置已保存，部分改动需要重新运行《星际争霸II》才会生效。	Параметры голосового чата сохранены, но для применения некоторых из них требуется перезапуск StarCraft II.
直达音	DirectSound
FMod	FMod
开启发言焦点	Обозначение говорящего
语音：	Голоса:
音量	Громкость
正在等待玩家…	Ожидание игроков...
正在尝试重新连接	Повторное подключение...
投降	СДАТЬСЯ
游戏将在%countdown%秒后结束	До завершения игры: %countdown%
倒计时结束后，游戏将以平局收场！采集资源、研发升级、生产单位、建造建筑或摧毁敌方的建筑便可取消倒计时。	Создайте любую боевую единицу или строение, добудьте некоторое количество ресурсов или нападите на противника, чтобы избежать ничьей по истечении этого времени!
观看动画	ПРОСМОТРЕТЬ РОЛИК
观看录像(<h/>R)	Смотреть <h/>повтор
弱势对抗：	Неэффективен против:
武器伤害：	Урон от оружия:
武器射程：	Дальность оружия:
武器：	Оружие:
该站点无法打开	Не удалось открыть страницу
欢迎来到虫群之心！	Добро пожаловать в Heart of the Swarm!
禁用Windows键	Заблокировать клавишу Windows
窗口模式	Оконный
窗口模式(最大化)	Оконный (весь экран)
1年前	1 год назад
%d年前	%d г. назад
部队	Армия
5.1	5.1
7.1	7.1
单声道	Моно
定向逻辑	Pro Logic
四声道	4 колонки
立体声	Стерео
5.0	5.0
欢乐球	Радостный мячик
默认设置(单位)	Стандартная настройка (боевая единица)
默认设置(可破坏的)	Стандартная настройка (разрушаемый объект)
默认设置(物品)	Стандартная настройка (предмет)
默认设置(投射物)	Стандартная настройка (снаряд)
飞弹(一半生命)	Ракета (Половина жизни)
无敌飞弹	Неуязвимая ракета
路径障碍物	ЗАГРАЖДЕНИЕ
默认设置(PLACEHOLDER)	Стандартная настройка (МЕТКА-ЗАПОЛНИТЕЛЬ)
空中占位符	ЗАМЕЩАЮЩИЙ ВОЗДУШНЫЙ ОБЪЕКТ
故事模式镜头	Камера режима кампании
默认设置(故事模式角色)	Стандартная настройка (персонаж кампании)
默认设置(故事模式设置)	Стандартная настройка (набор параметров кампании)
星图	Звездная карта
立体影像选项单位	Единица стереоскопических настроек
System_Snapshot_Dummy	System_Snapshot_Dummy
%POINTS% XP	%POINTS% ОПЫТА
默认升级	Улучшение по умолчанию
研发完毕：%s	Исследование завершено: %s
升级完毕：%s	Улучшение завершено: %s
CWeapon	CWeapon
CWeaponLegacy	CWeaponLegacy
CWeaponStrafe	CWeaponStrafe
附属建筑距离建筑过远	Пристройка слишком далеко от строения.
已经开始孵化额外的幼虫	Порождение дополнительных личинок в процессе.
无法被多个单位选中	Невозможно прицелиться несколькими боевыми единицами.
未满足建造所需的科技需求	Требования для строительства не выполнены.
建筑正在建造	Строительство в процессе.
无法进行更多次数的充能	Добавление зарядов невозможно.
武器被禁用，无法攻击	Невозможно атаковать при отключенном оружии.
弹药不足，无法攻击	Атака без боеприпасов невозможна.
无法放置到该位置	Неподходящее место для размещения.
位置无效或被地形遮挡，无法放置	Размещение невозможно, область размещения не подходит или заблокирована.
