非晶态装甲云	無定型防護雲
离开信标模式并选择你的DROPOFF。再次按下将在所有DROPOFF中循环切换。你也可以手动选择任何单位来离开信标模式。	離開信標模式，選取其中一個卸載物，然後再按一次即可自動切換所有的卸載物。你可以以手動選取任何單位離開在信標模式。
信标模式	信標模式
进入信标模式，你就能和你的电脑盟友产生互动，包括放置信标，让他们执行。	進入信標模式，你可以和A.I.盟友進行互動，包括放置信標讓盟友去執行。
请求资源：	需要資源：
点击请求晶体矿，电脑盟友将尽快响应你。	點擊以要求晶礦，A.I.盟友會盡快提供給你。
未响应的晶体矿和瓦斯需求，电脑盟友会尽快响应此需求。	A.I.盟友會儘快提供未處理的晶礦或高能瓦斯請求。
点击请求瓦斯，电脑盟友将尽快响应你。	點擊以要求高能瓦斯，A.I.盟友會盡快提供給你。
使用以上按钮来选中需要下达命令的AI。	使用上方的按鈕來選擇欲控制的A.I.。
<s val="@@StandardTooltipHeader">防御</s>  <c val="ff6000">(部队战术)</c>	<s val="@@StandardTooltipHeader">防禦</s><c val="ff6000">（軍事戰略）</c>
防守一大片区域。<c val="ff6000">每次只能激活一项"部队战术"。</c>	防禦一個大區域。</n><c val="ff6000">同一時間內只能啟動一種「軍事戰略」。</c>
<s val="@@StandardTooltipHeader">侦测</s><n/>	<s val="@@StandardTooltipHeader">偵測</s><n/>
命令AI侦测指定目标位置。如果你指定一个友方单位，AI侦测单位将会跟随该单位。	命令A.I.偵測指定地點。當你以友方單位為目標時，A.I.的偵測單位會跟隨該目標。
<s val="@@StandardTooltipHeader">退出</s><n/>	<s val="@@StandardTooltipHeader">退出</s><n/>
退出AI沟通。<n/><c val="ff6000">你也可以右键点击任意位置或选中任意单位来退出该模式。</c>	離開A.I.通訊模式。<n/><c val="ff6000">你也可以用右鍵點擊世界或選取任何單位來離開此模式。</c>
<s val="@@StandardTooltipHeader">扩张</s><n/>	<s val="@@StandardTooltipHeader">擴展</s><n/>
命令AI尽快扩张指定目标位置。	命令A.I.儘快在指定地點擴展。
<s val="@@StandardTooltipHeader">前往</s><n/>	<s val="@@StandardTooltipHeader">前往</s><n/>
查看下一个此类信标。	查看此類型的下個信標。
查看下一个此类信标。<n/><c val="ff0000">没有放置此类信标。</c>	查看此類型的下個信標。<n/><c val="ff0000">未放置任何此類型的信標。</c>
<s val="@@StandardTooltipHeader">骚扰</s><n/>  <c val="ff6000">(部队战术)</c>	<s val="@@StandardTooltipHeader">謹慎交戰</s><n/><c val="ff6000">（軍事戰略）</c>
小心翼翼地攻击一个地点，在必要时撤退。<n/>这个模式也可以在需要防御某个区域时应用。<n/><c val="ff6000">每次只能激活一项"部队战术"。</c>	小心謹慎地攻擊一個地點，有必要的話便撤退。</n>此模式也可能變成防禦某個地方。</n><c val="ff6000">同一時間內只能啟動一種「軍事戰略」。</c>
<s val="@@StandardTooltipHeader">闲置</s><n/>  <c val="ff6000">(部队战术)</c>	<s val="@@StandardTooltipHeader">閒置</s><n/><c val="ff6000">（軍事戰略）</c>
命令AI在指定位置进行游荡，AI在别处需要时仍会帮助防守，但在此模式下不会发动进攻。<n/><c val="ff6000">每次只能激活一项"部队战术"。</c>	命令A.I.前往此指定地點駐守，且A.I.會視需求防禦別處，但在此模式下不會進行攻擊。<n/><c val="ff6000">同一時間內只能啟動一種「軍事戰略」。</c>
<s val="@@StandardTooltipHeader">需要晶体矿</s><n/>	<s val="@@StandardTooltipHeader">請求晶礦</s><n/>
向任意AI提出晶体矿需求。	向任何A.I.請求晶礦。
向任意AI提出晶体矿需求。<n/><c val="ff0000">资源交易仍不可用。</c>	向任何A.I.請求晶礦。<n/><c val="ff0000">還不能進行資源交易。</c>
AI#	A.I.#
<s val="@@StandardTooltipHeader">建造集结</s><n/>	<s val="@@StandardTooltipHeader">建造集結</s><n/>
为AI训练的新部队单位设定建造集结点。	為A.I.的新部隊單位設定建造集結點。
<s val="@@StandardTooltipHeader">侦察</s><n/>	<s val="@@StandardTooltipHeader">偵察</s><n/>
命令AI侦察一片区域或占领附近的萨尔纳加瞭望塔。	命令A.I.偵察此地區或佔領附近的薩爾納加監視塔。
<s val="@@StandardTooltipHeader">需要高能瓦斯</s><n/>	<s val="@@StandardTooltipHeader">請求高能瓦斯</s><n/>
向任意AI提出高能瓦斯需求。	向任何A.I.請求高能瓦斯。
向任意AI提出高能瓦斯需求。<n/><c val="ff0000">资源交易仍不可用。</c>	向任何A.I.請求高能瓦斯。<n/><c val="ff0000">還不能進行資源交易。</c>
冷却时间：%1秒	冷卻時間：%1秒
技能：	技能：
接受	接受
作弊后成就已禁用。要重新开启成就，请开始新的游戏或继续保存过的游戏。	因使用作弊碼而導致成就被關閉。若要再度開啟成就，請開始一場新的遊戲或載入遊戲存檔。
获得成就'%achievement%'！	解開成就「%achievement%」！
例如：jim@sc2.com或jim#1234	範例：jim@sc2.com或jim#1234
输入您好友的“暴雪游戏通行证电子邮箱地址”，对其发送一条“实名好友”请求。以“战网昵称#1234”的格式输入您好友的“战网昵称”以及“唯一的战网昵称代码”，对其发送一条“战网昵称好友”请求。	輸入好友的暴雪帳號電子郵件以發送Real ID好友的邀請，或是輸入好友的BattleTag名稱與編號以發送BattleTag好友的邀請，例如：BattleTag#1234。
输入电子邮箱地址或战网昵称	輸入電子郵件地址或BattleTag
发送请求	發送邀請
添加好友	新增好友
添加快捷键	新增熱鍵
添加备选快捷键	新增備用熱鍵
启用强化队伍颜色纹理	啟用隊伍顏色額外材質
允许您对游戏地图或微缩地图上的某个位置进行标记，只有你的队友可以看到该标记。<n/><k val="QuickPing"/>放置标记。<n/><c val="ffffff">按住</c><k val="QuickPing"/>可查看更多选项。	在小地圖或遊戲場景裡的某個位置，發出只有盟友才能看到的標示。<n/><k val="QuickPing"/>以標示地點。<n/><c val="ffffff">按住</c><k val="QuickPing"/>可查看其他選項。
所有文件。	所有檔案。
忽略所有过滤条件，显示所有游戏录像。	顯示所有過濾條件下目前所有的戰鬥錄影。
忽略所有过滤条件，显示所有游戏存档。	顯示所有過濾條件下目前所有的遊戲存檔。
允许切换冲突	允許切換衝突
<c val="ffffff">允许切换冲突：</c><n/>该模式允许可切换状态的技能共享相同的快捷键（如隐形和取消隐形）。	<c val="ffffff">允許切換衝突：</c><n/>這個模式允許可切換狀態的技能使用同一個熱鍵(像是匿蹤和解除匿蹤)。
允许窗口恢复	允許視窗還原
StarcCaft\Brood War	《星海爭霸：怒火燎原》
禁用Alt-Tab组合键	關閉 Alt-Tab 熱鍵
总是	永遠顯示模式
抗锯齿:	反鋸齒：
应用	套用
<c val="797979">伤害减免：%amount%%</c>	<c val="797979">傷害降低：%amount%%</c>
护甲类型：	裝甲類型：
护甲：	裝甲：
重甲	重甲
音频	音頻
声音同步界限：	音頻同步限定：
音频：	音頻：
自动解除暂离状态	自動清除暫離狀態
登陆后自动加入原有频道	登入時重新加入聊天頻道
<c val="ffffff">登陆后自动加入原有频道：</c><n/>开启该选项后便可自动加入上次退出战网时已开启的聊天频道。	<c val="ffffff">登入時重新加入聊天頻道：</c><n/>開啟此功能即可自動加入最後一次登出前的所有聊天頻道。
显示最近的25个未保存的游戏录像。	顯示最近25個未儲存的戰鬥錄影。
显示最近的25个未保存的游戏存档。	顯示最近25個未儲存的遊戲存檔。
可选任务：	可執行的任務：
平均	平均
返回(<u>B</u>)	返回（<h/>B）
您由于长期没有活动，已被移出公共聊天频道。	由於暫離時間過長，你已被移出公共頻道。
%userName%已经被屏蔽	%userName%已被封鎖
%userName%已经被解除屏蔽	%userName%已解除封鎖
%channelIndex%. %chatName%	%channelIndex%. %chatName%
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">已加入频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">加入頻道：[%channelIndex%. %chatName%]</a></s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">已离开频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">離開頻道：[%channelIndex%. %chatName%]</a></s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%……哞！</s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%...哞！</s>
战队	戰隊
<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">加入了频道：[%chatName%]</a></s>	<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">加入頻道：[%chatName%]</a></s>
<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">离开了频道：[%chatName%]</a></s>	<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">離開頻道：[%chatName%]</a></s>
<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>
<a name="ClubId" href="%clubId%">%club%已创建。</a>	<a name="ClubId" href="%clubId%">%club%已創建。</a>
<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">加入了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">加入頻道：[%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">离开了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">離開頻道：[%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>
<a name="PresenceId" href="%presenceId%">%userName%</a>已经在考虑另一个邀请，目前暂时无法加入<a name="ClubId" href="%clubId%">%clubName%</a>。	<a name="PresenceId" href="%presenceId%">%userName%</a>正在考慮另一則邀請，目前無法加入<a name="ClubId" href="%clubId%">%clubName%</a>。
<a name="PresenceId" href="%presenceId%">%userName%</a>没有达到<a name="ClubId" href="%clubId%">%clubName%</a>的参加要求。	<a name="PresenceId" href="%presenceId%">%userName%</a>不符合加入<a name="ClubId" href="%clubId%">%clubName%</a>的條件。
<a name="PresenceId" href="%presenceId%">%userName%</a>无法加入<a name="ClubId" href="%clubId%">%clubName%</a>：%errorString%	<a name="PresenceId" href="%presenceId%">%userName%</a>無法加入<a name="ClubId" href="%clubId%">%clubName%</a>：%errorString%
<a name="PresenceId" href="%presenceId%">%userName%</a>已经成为了太多会员并且无法加入<a name="ClubId" href="%clubId%">%clubName%</a>	<a name="PresenceId" href="%presenceId%">%userName%</a>已經加入太多團隊，無法再加入<a name="ClubId" href="%clubId%">%clubName%</a>
<a name="PresenceId" href="%presenceId%">%userName%</a>拒绝了<a name="ClubId" href="%clubId%">%clubName%</a>的邀请。	<a name="PresenceId" href="%presenceId%">%userName%</a>拒絕了加入<a name="ClubId" href="%clubId%">%clubName%</a>的要求。
<a name="PresenceId" href="%presenceId%">%userName%</a>收到了加入<a name="ClubId" href="%clubId%">%club%</a>的邀请。	已邀請<a name="PresenceId" href="%presenceId%">%userName%</a>加入<a name="ClubId" href="%clubId%">%club%</a>。
你加入了<a name="ClubId" href="%clubId%">%club%</a>。	你加入了<a name="ClubId" href="%clubId%">%club%</a>。
你离开了<a name="ClubId" href="%clubId%">%club%</a>。	你離開了<a name="ClubId" href="%clubId%">%club%</a>。
battlenet:://starcraft/%clubType%/%region%/%clubId%	battlenet:://starcraft/%clubType%/%region%/%clubId%
<a name="PresenceId" href="%presenceId%">%member%</a>现在是<a name="ClubId" href="%clubId%">%club%</a>的成员。	<a name="PresenceId" href="%presenceId%">%member%</a>現在是<a name="ClubId" href="%clubId%">%club%</a>的成員了。
你现在是<a name="ClubId" href="%clubId%">%club%</a>的成员。	你現在是<a name="ClubId" href="%clubId%">%club%</a>的成員了。
<a name="PresenceId" href="%presenceId%">%member%</a>离开了<a name="ClubId" href="%clubId%">%club%</a>。	<a name="PresenceId" href="%presenceId%">%member%</a>離開了<a name="ClubId" href="%clubId%">%club%</a>。
<a name="PresenceId" href="%presenceId%">%member%</a>现在是<a name="ClubId" href="%clubId%">%club%</a>的官员。	<a name="PresenceId" href="%presenceId%">%member%</a>現在是<a name="ClubId" href="%clubId%">%club%</a>的幹部了。
你现在是<a name="ClubId" href="%clubId%">%club%</a>的官员。	你現在是<a name="ClubId" href="%clubId%">%club%</a>的幹部了。
<a name="PresenceId" href="%presenceId%">%member%</a>现在是<a name="ClubId" href="%clubId%">%club%的领袖</a>。	<a name="PresenceId" href="%presenceId%">%member%</a>現在是<a name="ClubId" href="%clubId%">%club%</a>的擁有者了。
你现在是<a name="ClubId" href="%clubId%">%club%</a>的领袖。	你現在是<a name="ClubId" href="%clubId%">%club%</a>的擁有者了。
暂时无法对<a name="ClubId" href="%clubId%">%clubName%</a>的成员名单进行改动。	目前無法更動<a name="ClubId" href="%clubId%">%clubName%</a>的名單。
<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">加入了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">加入頻道：[%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">离开了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">離開頻道：[%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>
%clubName%的活动%eventName%已经开始了<a name="ChannelName" href="%channelName%">[加入活动聊天]</a>。	%clubName%舉辦的%eventName%活動已經開始了，<a name="ChannelName" href="%channelName%">[加入活動頻道]</a>。
广播	廣播
<IMG path="%image%" alignment="absolutemiddle" texsheet="%columns%,%rows%,%index%" texanim="%count%,%duration%"/>	<IMG path="%image%" alignment="absolutemiddle" texsheet="%columns%,%rows%,%index%" texanim="%count%,%duration%"/>
无法加入聊天频道。您输入的名字超出了字符串长度限制。	無法加入聊天頻道。你輸入的名字已超過字數上限。
<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>已下线</s>	<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>離線了</s>
<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>已上线<a name="InviteToParty" href="%presenceId%"><c val="57b4ff">[邀请加入队伍]</c></a></s>	<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>上線了 <a name="InviteToParty" href="%presenceId%"><c val="57b4ff">[邀請至隊伍]</c></a></s>
<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>已经上线</s>	<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>上線了</s>
您收到了一个新的好友请求	你收到了新的好友邀請。
您的添加好友邀请已发送	已送出你的好友邀請
点击 <a name="ChannelName" href="General Chat">[这里]</a>加入综合聊天	點擊<a name="ChannelName" href="General Chat">[此處]</a>加入綜合頻道
You have been playing for %hours% <lang rule="plural">hour,hours</lang> %minutes% <lang rule="plural">minute,minutes</lang>. Excessive gameplay can interfere with your daily life.	你已經玩了%hours%<lang rule="plural">小時</lang>又%minutes%<lang rule="plural">分鐘</lang>。過度進行遊戲可能會妨礙你的日常生活。
所选模式下的所有游戏已全部人满。战网已为您创建了一个新的游戏房间，等待其他玩家的加入。	所有選取的遊戲模式已沒有空位。一間新的大廳已為你開啟，可讓其他玩家加入。
你匹配到的一名玩家已经离开游戏或断开连接。	有一名與你配對的玩家已離開遊戲或由伺服器斷線。
游戏已断开。	你已失去與遊戲的連線。
征召盟友	選拔隊伍
<s val="BattleChatLobby"><a name="PresenceId" href="%presenceId%">%userName%</a>邀请你进入房间</s>	<s val="BattleChatLobby"><a name="PresenceId" href="%presenceId%">%userName%</a>邀請你加入大廳</s>
<s val="BattleChatLobby">进入房间邀请已取消</s>	<s val="BattleChatLobby">大廳邀請已取消</s>
<s val="BattleChatLobbyUnhighlighted">你加入了<a name="Lobby" href="Lobby">[%chatName%]</a></s>	<s val="BattleChatLobbyUnhighlighted">你加入了<a name="Lobby" href="Lobby">[%chatName%]</a></s>
<s val="BattleChatLobbyUnhighlighted">你已被踢出房间</s>	<s val="BattleChatLobbyUnhighlighted">你被踢出大廳</s>
<s val="BattleChatLobbyUnhighlighted">你离开了房间</s>	<s val="BattleChatLobbyUnhighlighted">你離開了大廳</s>
<s val="BattleChatLobby"><a name="Lobby" href="Lobby">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatLobby"><a name="Lobby" href="Lobby">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>
房间	大廳
<s val="BattleChatLobbyUnhighlighted">由于缺少Premium Content拥有者，游戏房间已关闭</s>	<s val="BattleChatLobbyUnhighlighted">由於沒有進階版內容的擁有者，大廳關閉</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>拒绝加入该房间	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>決定拒絕加入大廳
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已失去了和<a name="Lobby" href="Lobby">房间</a>的连接</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已失去與<a name="Lobby" href="Lobby">大廳</a>的連線</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>加入了房间</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>加入了大廳</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已被房主从房间内踢出</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已被廳長移出大廳</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已离开房间</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已離開大廳</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>升级为房主</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已被提升為廳長</s>
<s val="BattleChatLobbyUnhighlighted">你已升级为房主</s>	<s val="BattleChatLobbyUnhighlighted">你已被提升為廳長</s>
<s val="BattleChatLobby"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>推荐邀请<a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>加入房间	<s val="BattleChatLobby"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>建議你邀請<a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>加入大廳
您正在寻找队员。	你正在尋找玩家加入。
您停止了寻找队员。	你已停止尋找玩家加入。
[PH] You went AFK. You are no longer looking for more.	[PH]你已離開電腦，停止尋找玩家加入。
您正在寻求组队。	尋求組隊中。
您停止了寻求组队。	停止尋求組隊。
[PH] You went AFK. You are no longer looking for party.	[PH]你已離開電腦，停止尋找玩家加入。
<a name="PresenceId" href="%presenceId%">%userName%</a>取消了比赛搜寻	<a name="PresenceId" href="%presenceId%">%userName%</a>取消了對戰搜尋
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>邀请你加入队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>邀請你加入隊伍</s>
<s val="BattleChatParty">队伍邀请已发送至<a name="PresenceId" href="%presenceId%">%userName%</a></s>	<s val="BattleChatParty">邀請<a name="PresenceId" href="%presenceId%">%userName%</a>加入隊伍</s>
<s val="BattleChatParty">你加入了<a name="Party" href="Party">队伍</a></s>	<s val="BattleChatParty">你加入了<a name="Party" href="Party">隊伍</a></s>
<s val="BattleChatParty">你离开了队伍</s>	<s val="BattleChatParty">你離開了隊伍</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>与队伍断开连接</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>失去了與隊伍的連線</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>加入了队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>加入了隊伍</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>被踢出了队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>被踢出隊伍</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>离开了队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>離開了隊伍</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>成为了队长</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>成為隊伍隊長</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>已恢复连线</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>已重新連線</s>
<s val="BattleChatParty"><a name="Party" href="Party">[队伍]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatParty"><a name="Party" href="Party">[隊伍]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a>%message%</s>
<s val="BattleChatParty">你现在是队长</s>	<s val="BattleChatParty">你現在是隊伍隊長</s>
<a name="PresenceId" href="%presenceId%">%userName%</a>还没准备好	<a name="PresenceId" href="%presenceId%">%userName%</a>拒絕就緒
由于游戏队伍状态发生了变化，准备就绪的进程已取消	由於隊伍狀態改變，已取消確認程序
<s val="BattleChatParty">已请求加入<a name="PresenceId" href="%presenceId%">%userName%</a>的队伍</s>	<s val="BattleChatParty">請求加入<a name="PresenceId" href="%presenceId%">%userName%</a>的隊伍</s>
<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>请求加入队伍	<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>請求加入隊伍
<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>请求通过<a name="PresenceId" href="%senderPresenceId%">%senderUserName%加入队伍</a>	<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>受<a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>邀請，請求加入隊伍
<s val="BattleChatParty"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>建议你邀请<a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>加入队伍	<s val="BattleChatParty"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>建議你邀請<a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>加入隊伍
<s val="BattleChatParty">你推荐<a name="PresenceId" href="%presenceId%">%userName%</a>加入<a name="Party" href="Party">队伍</a></s>	<s val="BattleChatParty">你已建議邀請<a name="PresenceId" href="%presenceId%">%userName%</a>加入<a name="Party" href="Party">隊伍</a></s>
<s val="BattleChatParty">%message% <a name="Block" href="%presenceId%"><c val="57b4ff">[屏蔽玩家]</c></a></s>	<s val="BattleChatParty">%message% <a name="Block" href="%presenceId%"><c val="57b4ff">[封鎖玩家]</c></a></s>
<s val="BattleChatParty">%message%</s>	<s val="BattleChatParty">%message%</s>
%name% %locale%	%name% %locale%
举报已发送。感谢你联系客户支持部门。	你的檢舉已送出。感謝你和客服支援聯繫。
已达到输入上限。请稍等片刻再执行更多操作。	已達輸入上限。請稍待片刻再執行更多行動。
聊天频道中有%num%名玩家。	聊天頻道裡有%num%位玩家
当前有大约%num%名玩家正在使用暴雪游戏服务。	目前暴雪平台上大約有%num%位玩家
你现在处于离开状态	你現在處於暫離狀態。
您现在处于忙碌状态。	你現在處於忙碌狀態。
你不再处于离开状态。	你解除了暫離狀態。
您不再处于忙碌状态。	你解除了忙碌狀態。
您不再被禁言。	已解除你的禁言懲罰。
您已被禁言。	你遭到禁言。
<s val="BattleChatSystem">%message%</s>	<s val="BattleChatSystem">%message%</s>
<s val="BattleChatTournament"><a name="Tournament" href=">已加入频道：[%chatName%]</a></s>	<s val="BattleChatTournament"><a name="Tournament" href=">加入頻道：[%chatName%]</a></s>
<s val="BattleChatTournament"><a name="Tournament" href=">已离开频道：[%chatName%]</a></s>	<s val="BattleChatTournament"><a name="Tournament" href=">離開頻道：[%chatName%]</a></s>
<s val="BattleChatTournament"><a name="Tournament" href=">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatTournament"><a name="Tournament" href=">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>
锦标赛	錦標賽
<a name="PresenceId" href="%presenceId%">%userName%</a>	<a name="PresenceId" href="%presenceId%">%userName%</a>
<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">[%chatName%] 悄悄地说：</a> %message%</s>	<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">[%chatName%]傳來悄悄話：</a> %message%</s>
<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">悄悄地告诉 [%chatName%]:</a> %message%</s>	<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">傳給[%chatName%]：</a> %message%</s>
</n>如果你不是该战队中的最后一位成员，你需要将战队所有权转移给其他成员后才能离开。	</n>若你並非此戰隊最後一位成員，你必須在離開前先將擁有權轉移給其他成員。
你确定要离开%clubname%？	你確定要離開%clubname%嗎？
你确定？	你確定嗎？
你确定要离开%clubname%吗？</n>如果你是讨论组的最后一位成员，离开会解散该讨论组。	你確定要離開%clubname%嗎？</n>若你是此群組的最後一名成員，你一離開，此群組就會被迫解散。
复制链接	複製連結
邀请加入讨论组	邀請至群組
邀请/建议邀请加入战队	邀請/推薦加入戰隊
加入聊天	加入聊天
退出聊天	離開聊天室
离开战队	離開戰隊
离开讨论组	離開群組
打开活动标签	開啟活動分頁
打开信息页面	開啟資訊分頁
打开成员页面	開啟成員分頁
打开新闻页面	開啟新聞分頁
举报战队	檢舉戰隊
举报讨论组	檢舉群組
查看战队资料	檢視戰隊資訊
查看讨论组资料	檢視群組資訊
自定义游戏设置	自訂遊戲設定
邀请	邀請
离开游戏	離開遊戲
录像信息	戰鬥錄影資訊
游戏已经快开始了	遊戲開始中
必须有十名玩家或电脑才能开始征召模式	必須有10名玩家或 A.I.才能進行選拔模式
只有房主才能开始游戏	只有廳長才可以開始遊戲
