非晶态装甲云	Nube de blindaje amorfa
退出AI沟通。<n/><c val="ff6000">你也可以右键点击任意位置或选中任意单位来退出该模式。</c>	Sale de comunicación de la IA.<n/><c val="ff6000">También puedes hacer clic derecho en el mundo o seleccionar a cualquier unidad para salir de este modo.</c>
<s val="@@StandardTooltipHeader">扩张</s><n/>	<s val="@@StandardTooltipHeader">Expandir</s><n/>
命令AI尽快扩张指定目标位置。	Ordena a la IA que se expanda a la ubicación seleccionada cuanto antes.
<s val="@@StandardTooltipHeader">前往</s><n/>	<s val="@@StandardTooltipHeader">Ir a</s><n/>
查看下一个此类信标。	Ver siguiente baliza de este tipo.
查看下一个此类信标。<n/><c val="ff0000">没有放置此类信标。</c>	Ver siguiente baliza de este tipo.<n/><c val="ff0000">No se han colocado balizas de este tipo.</c>
<s val="@@StandardTooltipHeader">骚扰</s><n/>  <c val="ff6000">(部队战术)</c>	<s val="@@StandardTooltipHeader">Ataque precavido</s><n/>  <c val="ff6000">(Estrategia del ejército)</c>
小心翼翼地攻击一个地点，在必要时撤退。<n/>这个模式也可以在需要防御某个区域时应用。<n/><c val="ff6000">每次只能激活一项"部队战术"。</c>	Ataca con cautela una ubicación y retrocede cuando es necesario.</n>En este modo también puede ir a defender a otra parte.</n><c val="ff6000">Solo puede haber una "Estrategia del ejército" activa a la vez.</c>
<s val="@@StandardTooltipHeader">闲置</s><n/>  <c val="ff6000">(部队战术)</c>	<s val="@@StandardTooltipHeader">Inactividad</s> <c val="ff6000">(Estrategia del ejército)</c>
命令AI在指定位置进行游荡，AI在别处需要时仍会帮助防守，但在此模式下不会发动进攻。<n/><c val="ff6000">每次只能激活一项"部队战术"。</c>	Ordena a la IA que permanezca en esta ubicación específica. La IA seguirá defendiendo donde sea necesario, pero no atacará en este modo.</n><c val="ff6000">Solo se puede tener activa una "Estrategia del ejército" a la vez.</c>
<s val="@@StandardTooltipHeader">需要晶体矿</s><n/>	<s val="@@StandardTooltipHeader">Solicitar minerales</s><n/>
向任意AI提出晶体矿需求。	Solicitar minerales de cualquier IA.
向任意AI提出晶体矿需求。<n/><c val="ff0000">资源交易仍不可用。</c>	Solicitar minerales de cualquier IA.<n/><c val="ff0000">El intercambio de recursos aún no está disponible.</c>
AI#	IA#
<s val="@@StandardTooltipHeader">建造集结</s><n/>	<s val="@@StandardTooltipHeader">Reunión de construcción</s><n/>
为AI训练的新部队单位设定建造集结点。	Establece un punto de reunión de edificio para nuevas unidades de ejército de la IA.
<s val="@@StandardTooltipHeader">侦察</s><n/>	<s val="@@StandardTooltipHeader">Explorar</s><n/>
命令AI侦察一片区域或占领附近的萨尔纳加瞭望塔。	Ordena a la IA que explore una ubicación general o que reclame una torre Xel'Naga cercana.
<s val="@@StandardTooltipHeader">需要高能瓦斯</s><n/>	<s val="@@StandardTooltipHeader">Solicitar vespeno</s><n/>
向任意AI提出高能瓦斯需求。	Solicitar vespeno de cualquier IA.
向任意AI提出高能瓦斯需求。<n/><c val="ff0000">资源交易仍不可用。</c>	Solicitar vespeno de cualquier IA.<n/><c val="ff0000">El intercambio de recursos aún no está disponible.</c>
技能：	Habilidades:
作弊后成就已禁用。要重新开启成就，请开始新的游戏或继续保存过的游戏。	Se han deshabilitado los logros por uso de trucos. Para volver a habilitar los logros, inicia una partida nueva o carga una partida guardada.
获得成就'%achievement%'！	¡Logro '%achievement%' desbloqueado!
例如：jim@sc2.com或jim#1234	por ej. jim@sc2.com o jim#1234
输入您好友的“暴雪游戏通行证电子邮箱地址”，对其发送一条“实名好友”请求。以“战网昵称#1234”的格式输入您好友的“战网昵称”以及“唯一的战网昵称代码”，对其发送一条“战网昵称好友”请求。	Envía una solicitud de amistad con ID Real con la dirección de correo Blizzard de tu amigo. Envía una solicitud de amistad de BattleTag con su BattleTag y su código de BattleTag único, siguiendo el formato "BattleTag#1234".
输入电子邮箱地址或战网昵称	Introduce una dirección de correo o BattleTag
发送请求	ENVIAR SOLICITUD
添加快捷键	Añadir atajo
添加备选快捷键	Añadir alternativa
启用强化队伍颜色纹理	Habilitar texturas de color de equipo adicionales
允许您对游戏地图或微缩地图上的某个位置进行标记，只有你的队友可以看到该标记。<n/><k val="QuickPing"/>放置标记。<n/><c val="ffffff">按住</c><k val="QuickPing"/>可查看更多选项。	Marca una ubicación en el minimapa o mundo de la partida que solo verán tus aliados.<n/><k val="QuickPing"/> para marcar una ubicación.<n/><c val="ffffff">Mantén</c> <k val="QuickPing"/> pulsada para ver más opciones.
所有文件。	Todos los archivos.
忽略所有过滤条件，显示所有游戏录像。	Muestra las repeticiones recientes en todos los filtros.
忽略所有过滤条件，显示所有游戏存档。	Muestra las partidas guardadas en todos los filtros.
允许切换冲突	Permitir conflictos alternativos
<c val="ffffff">允许切换冲突：</c><n/>该模式允许可切换状态的技能共享相同的快捷键（如隐形和取消隐形）。	<c val="ffffff">Permitir conflictos alternativos:</c><n/>Este modo permite que las habilidades que alternan entre estados (por ejemplo, invisibilidad y desactivar invisibilidad) compartan el mismo atajo.
允许窗口恢复	Permitir restaurar ventana
StarcCaft\Brood War	StarcCaft\Brood War
禁用Alt-Tab组合键	Deshabilitar el atajo Alt-Tab
总是	Siempre
抗锯齿:	Antiescalonamiento:
应用	Aplicar
<c val="797979">伤害减免：%amount%%</c>	<c val="797979">Reducción de daño: %amount%%</c>
护甲类型：	Tipo de armadura:
护甲：	Armadura:<sp/>
重甲	Blindado
音频	Audio
声音同步界限：	Umbral de sincronización de audio:
音频：	Audio:
自动解除暂离状态	Ocultar AUS autom.
登陆后自动加入原有频道	Unirse a canales al entrar
<c val="ffffff">登陆后自动加入原有频道：</c><n/>开启该选项后便可自动加入上次退出战网时已开启的聊天频道。	<c val="ffffff">Unirse a canales al entrar:</c><n/>Permite unirse automáticamente a los canales de chat que estaban abiertos antes del último cierre de sesión.
显示最近的25个未保存的游戏录像。	Muestra las últimas 25 repeticiones sin guardar.
显示最近的25个未保存的游戏存档。	Muestra las últimas 25 partidas guardadas automáticamente.
可选任务：	Misiones disponibles:
平均	Media
返回(<u>B</u>)	<h/>VOLVER
您由于长期没有活动，已被移出公共聊天频道。	Has sido eliminado de los canales públicos por inactividad.
%userName%已经被屏蔽	Se ha bloqueado a %userName%
%userName%已经被解除屏蔽	Se ha desbloqueado a %userName%
%channelIndex%. %chatName%	%channelIndex%. %chatName%
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">已加入频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">Te has unido al canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">已离开频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">Has abandonado el canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%……哞！</s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%... ¡Mu!</s>
<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">加入了频道：[%chatName%]</a></s>	<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">Te has unido al canal [%chatName%]</a></s>
<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">离开了频道：[%chatName%]</a></s>	<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">Has abandonado el canal [%chatName%]</a></s>
<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
<a name="ClubId" href="%clubId%">%club%已创建。</a>	<a name="ClubId" href="%clubId%">Se ha creado %club%.</a>
<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">加入了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">Te has unido al canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">离开了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">Has abandonado el canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
<a name="PresenceId" href="%presenceId%">%userName%</a>已经在考虑另一个邀请，目前暂时无法加入<a name="ClubId" href="%clubId%">%clubName%</a>。	<a name="PresenceId" href="%presenceId%">%userName%</a> ya está considerando otra invitación y no se puede unir a <a name="ClubId" href="%clubId%">%clubName%</a> en estos momentos.
<a name="PresenceId" href="%presenceId%">%userName%</a>没有达到<a name="ClubId" href="%clubId%">%clubName%</a>的参加要求。	<a name="PresenceId" href="%presenceId%">%userName%</a> no cumple los requisitos para unirse a <a name="ClubId" href="%clubId%">%clubName%</a>.
<a name="PresenceId" href="%presenceId%">%userName%</a>无法加入<a name="ClubId" href="%clubId%">%clubName%</a>：%errorString%	<a name="PresenceId" href="%presenceId%">%userName%</a> no ha podido unirse a <a name="ClubId" href="%clubId%">%clubName%</a>: %errorString%
<a name="PresenceId" href="%presenceId%">%userName%</a>已经成为了太多会员并且无法加入<a name="ClubId" href="%clubId%">%clubName%</a>	<a name="PresenceId" href="%presenceId%">%userName%</a> tiene ya demasiadas afiliaciones y no puede unirse a <a name="ClubId" href="%clubId%">%clubName%</a>
<a name="PresenceId" href="%presenceId%">%userName%</a>拒绝了<a name="ClubId" href="%clubId%">%clubName%</a>的邀请。	<a name="PresenceId" href="%presenceId%">%userName%</a> ha rechazado la invitación a <a name="ClubId" href="%clubId%">%clubName%</a>.
<a name="PresenceId" href="%presenceId%">%userName%</a>收到了加入<a name="ClubId" href="%clubId%">%club%</a>的邀请。	Se ha invitado a <a name="PresenceId" href="%presenceId%">%userName%</a> a <a name="ClubId" href="%clubId%">%club%</a>.
你加入了<a name="ClubId" href="%clubId%">%club%</a>。	Te has unido a <a name="ClubId" href="%clubId%">%club%</a>.
你离开了<a name="ClubId" href="%clubId%">%club%</a>。	Has abandonado <a name="ClubId" href="%clubId%">%club%</a>.
battlenet:://starcraft/%clubType%/%region%/%clubId%	battlenet:://starcraft/%clubType%/%region%/%clubId%
<a name="PresenceId" href="%presenceId%">%member%</a>现在是<a name="ClubId" href="%clubId%">%club%</a>的成员。	<a name="PresenceId" href="%presenceId%">%member%</a> ahora es miembro de <a name="ClubId" href="%clubId%">%club%</a>.
你现在是<a name="ClubId" href="%clubId%">%club%</a>的成员。	Ahora eres miembro de <a name="ClubId" href="%clubId%">%club%</a>.
<a name="PresenceId" href="%presenceId%">%member%</a>离开了<a name="ClubId" href="%clubId%">%club%</a>。	<a name="PresenceId" href="%presenceId%">%member%</a> ha abandonado <a name="ClubId" href="%clubId%">%club%</a>.
<a name="PresenceId" href="%presenceId%">%member%</a>现在是<a name="ClubId" href="%clubId%">%club%</a>的官员。	<a name="PresenceId" href="%presenceId%">%member%</a> ahora es oficial de <a name="ClubId" href="%clubId%">%club%</a>.
你现在是<a name="ClubId" href="%clubId%">%club%</a>的官员。	Ahora eres oficial de <a name="ClubId" href="%clubId%">%club%</a>.
<a name="PresenceId" href="%presenceId%">%member%</a>现在是<a name="ClubId" href="%clubId%">%club%的领袖</a>。	<a name="PresenceId" href="%presenceId%">%member%</a> ahora es propietario de <a name="ClubId" href="%clubId%">%club%</a>.
你现在是<a name="ClubId" href="%clubId%">%club%</a>的领袖。	Ahora eres propietario de <a name="ClubId" href="%clubId%">%club%</a>.
暂时无法对<a name="ClubId" href="%clubId%">%clubName%</a>的成员名单进行改动。	Los cambios de formación están desactivados actualmente para <a name="ClubId" href="%clubId%">%clubName%</a>.
<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">加入了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">Te has unido al canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">离开了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">Has abandonado el canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
%clubName%的活动%eventName%已经开始了<a name="ChannelName" href="%channelName%">[加入活动聊天]</a>。	%clubName% ha iniciado el evento %eventName%<a name="ChannelName" href="%channelName%">[unirse al chat del evento]</a>.
广播	Difundir
<IMG path="%image%" alignment="absolutemiddle" texsheet="%columns%,%rows%,%index%" texanim="%count%,%duration%"/>	<IMG path="%image%" alignment="absolutemiddle" texsheet="%columns%,%rows%,%index%" texanim="%count%,%duration%"/>
无法加入聊天频道。您输入的名字超出了字符串长度限制。	No has podido unirte al canal de chat. El nombre introducido supera el número de caracteres permitido.
<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>已下线</s>	<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> se ha desconectado</s>
<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>已上线<a name="InviteToParty" href="%presenceId%"><c val="57b4ff">[邀请加入队伍]</c></a></s>	<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> se ha conectado <a name="InviteToParty" href="%presenceId%"><c val="57b4ff">[Invitar a grupo]</c></a></s>
<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>已经上线</s>	<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> se ha conectado</s>
您收到了一个新的好友请求	Has recibido una solicitud de amistad.
您的添加好友邀请已发送	Se ha enviado tu solicitud de amistad
点击 <a name="ChannelName" href="General Chat">[这里]</a>加入综合聊天	Haz clic <a name="ChannelName" href="General Chat">[aquí]</a> para unirte al chat General
You have been playing for %hours% <lang rule="plural">hour,hours</lang> %minutes% <lang rule="plural">minute,minutes</lang>. Excessive gameplay can interfere with your daily life.	Llevas %hours% h y %minutes% min jugando. Jugar durante demasiado tiempo puede afectar a tu vida cotidiana.
所选模式下的所有游戏已全部人满。战网已为您创建了一个新的游戏房间，等待其他玩家的加入。	Todas las partidas del modo seleccionado están actualmente completas. Se ha creado una sala para ti a la que pueden unirse otros.
你匹配到的一名玩家已经离开游戏或断开连接。	Un jugador con el que se te había emparejado ha abandonado la partida o se ha desconectado del servicio.
游戏已断开。	Te has desconectado de la partida.
征召盟友	Preselección: aliados
<s val="BattleChatLobby"><a name="PresenceId" href="%presenceId%">%userName%</a>邀请你进入房间</s>	<s val="BattleChatLobby"><a name="PresenceId" href="%presenceId%">%userName%</a> te ha invitado a una sala</s>
<s val="BattleChatLobby">进入房间邀请已取消</s>	<s val="BattleChatLobby">Se ha cancelado la invitación a sala</s>
<s val="BattleChatLobbyUnhighlighted">你加入了<a name="Lobby" href="Lobby">[%chatName%]</a></s>	<s val="BattleChatLobbyUnhighlighted">Te has unido a <a name="Lobby" href="Lobby">[%chatName%]</a></s>
<s val="BattleChatLobbyUnhighlighted">你已被踢出房间</s>	<s val="BattleChatLobbyUnhighlighted">Se te ha expulsado de la sala</s>
<s val="BattleChatLobbyUnhighlighted">你离开了房间</s>	<s val="BattleChatLobbyUnhighlighted">Has abandonado la sala</s>
<s val="BattleChatLobby"><a name="Lobby" href="Lobby">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatLobby"><a name="Lobby" href="Lobby">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
<s val="BattleChatLobbyUnhighlighted">由于缺少Premium Content拥有者，游戏房间已关闭</s>	<s val="BattleChatLobbyUnhighlighted">Se ha cerrado la sala al no haber poseedores de contenido prémium</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>拒绝加入该房间	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> ha decidido no unirse a la sala
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已失去了和<a name="Lobby" href="Lobby">房间</a>的连接</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> se ha desconectado de la <a name="Lobby" href="Lobby">sala</a></s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>加入了房间</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> se ha unido a la sala</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已被房主从房间内踢出</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> de la sala</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已离开房间</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> ha abandonado la sala</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>升级为房主</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> a anfitrión de la sala</s>
<s val="BattleChatLobbyUnhighlighted">你已升级为房主</s>	<s val="BattleChatLobbyUnhighlighted">Se te ha ascendido a anfitrión de la sala</s>
<s val="BattleChatLobby"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>推荐邀请<a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>加入房间	<s val="BattleChatLobby"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a> ha sugerido que invites a <a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> a la sala
您正在寻找队员。	Buscando a más.
您停止了寻找队员。	Ya no estás buscando a más.
[PH] You went AFK. You are no longer looking for more.	Estabas ausente. Ya no estás buscando a más.
您正在寻求组队。	Estás buscando grupo.
您停止了寻求组队。	Ya no estás buscando grupo.
[PH] You went AFK. You are no longer looking for party.	Estabas ausente. Ya no estás buscando grupo.
<a name="PresenceId" href="%presenceId%">%userName%</a>取消了比赛搜寻	Búsqueda de partida cancelada por <a name="PresenceId" href="%presenceId%">%userName%</a>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>邀请你加入队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> te ha invitado a un grupo</s>
<s val="BattleChatParty">队伍邀请已发送至<a name="PresenceId" href="%presenceId%">%userName%</a></s>	<s val="BattleChatParty">Invitación a grupo enviada a <a name="PresenceId" href="%presenceId%">%userName%</a></s>
<s val="BattleChatParty">你加入了<a name="Party" href="Party">队伍</a></s>	<s val="BattleChatParty">Te has unido a un <a name="Party" href="Party">grupo</a></s>
<s val="BattleChatParty">你离开了队伍</s>	<s val="BattleChatParty">Has abandonado el grupo</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>与队伍断开连接</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> se ha desconectado del grupo</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>加入了队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> se ha unido al grupo</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>被踢出了队伍</s>	<s val="BattleChatParty">Se ha expulsado a <a name="PresenceId" href="%presenceId%">%userName%</a> del grupo</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>离开了队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> ha abandonado el grupo</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>成为了队长</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> ha pasado a ser líder del grupo</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>已恢复连线</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> se ha vuelto a conectar</s>
<s val="BattleChatParty"><a name="Party" href="Party">[队伍]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatParty"><a name="Party" href="Party">[Grupo]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
<s val="BattleChatParty">你现在是队长</s>	<s val="BattleChatParty">Ahora eres líder del grupo</s>
<a name="PresenceId" href="%presenceId%">%userName%</a>还没准备好	<a name="PresenceId" href="%presenceId%">%userName%</a> ha rechazado la comprobación
由于游戏队伍状态发生了变化，准备就绪的进程已取消	Se ha revertido el estado "Listo" debido a un cambio de estado del grupo
<s val="BattleChatParty">已请求加入<a name="PresenceId" href="%presenceId%">%userName%</a>的队伍</s>	<s val="BattleChatParty">Solicitud para unirte al grupo de <a name="PresenceId" href="%presenceId%">%userName%</a></s>
<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>请求加入队伍	<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> solicita unirse al grupo
<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>请求通过<a name="PresenceId" href="%senderPresenceId%">%senderUserName%加入队伍</a>	<s val="BattleChatParty"><a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> solicita unirse al grupo a través de <a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>
<s val="BattleChatParty"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>建议你邀请<a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>加入队伍	<s val="BattleChatParty"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a> te ha sugerido que invites a <a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> al grupo
<s val="BattleChatParty">你推荐<a name="PresenceId" href="%presenceId%">%userName%</a>加入<a name="Party" href="Party">队伍</a></s>	<s val="BattleChatParty">Has sugerido que se invite a <a name="PresenceId" href="%presenceId%">%userName%</a> al <a name="Party" href="Party">grupo</a></s>
<s val="BattleChatParty">%message% <a name="Block" href="%presenceId%"><c val="57b4ff">[屏蔽玩家]</c></a></s>	<s val="BattleChatParty">%message% <a name="Block" href="%presenceId%"><c val="57b4ff">[Bloquear jugador]</c></a></s>
<s val="BattleChatParty">%message%</s>	<s val="BattleChatParty">%message%</s>
%name% %locale%	%name% %locale%
举报已发送。感谢你联系客户支持部门。	Se ha enviado tu informe. Gracias por ponerte en contacto con Asistencia al cliente.
已达到输入上限。请稍等片刻再执行更多操作。	Límite de operaciones alcanzado. Espera un momento para realizar más.
聊天频道中有%num%名玩家。	Jugadores en los canales de chat: %num%
当前有大约%num%名玩家正在使用暴雪游戏服务。	Jugadores conectados en Blizzard (aprox.): %num%
你现在处于离开状态	Tu estado es Ausente.
您现在处于忙碌状态。	Ahora estás Ocupado.
你不再处于离开状态。	Ya no estás Ausente.
您不再处于忙碌状态。	Ya no estás Ocupado.
您不再被禁言。	Ya no estás en silencio.
您已被禁言。	Te han silenciado.
<s val="BattleChatSystem">%message%</s>	<s val="BattleChatSystem">%message%</s>
<s val="BattleChatTournament"><a name="Tournament" href=">已加入频道：[%chatName%]</a></s>	<s val="BattleChatTournament"><a name="Tournament" href=">Te has unido al canal: [%chatName%]</a></s>
<s val="BattleChatTournament"><a name="Tournament" href=">已离开频道：[%chatName%]</a></s>	<s val="BattleChatTournament"><a name="Tournament" href=">Has abandonado el canal: [%chatName%]</a></s>
<s val="BattleChatTournament"><a name="Tournament" href=">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatTournament"><a name="Tournament" href=">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
锦标赛	Torneo
<a name="PresenceId" href="%presenceId%">%userName%</a>	<a name="PresenceId" href="%presenceId%">%userName%</a>
<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">[%chatName%] 悄悄地说：</a> %message%</s>	<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">[%chatName%] susurra:</a> %message%</s>
<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">悄悄地告诉 [%chatName%]:</a> %message%</s>	<s val="BattleChatWhisper"><a name="PresenceId" href="%presenceId%">A [%chatName%]:</a> %message%</s>
</n>如果你不是该战队中的最后一位成员，你需要将战队所有权转移给其他成员后才能离开。	</n>Si no eres el último miembro del clan, debes transferir la propiedad antes de abandonar el clan.
你确定要离开%clubname%？	¿Seguro que quieres abandonar %clubname%?
你确定？	¿Seguro?
你确定要离开%clubname%吗？</n>如果你是讨论组的最后一位成员，离开会解散该讨论组。	¿Seguro que quieres abandonar %clubname%?</n>Si eres el último miembro del grupo, al abandonarlo se eliminará.
复制链接	Copiar enlace
邀请加入讨论组	Invitar a agrupación
邀请/建议邀请加入战队	Invitar/sugerir a clan
加入聊天	Unirse al chat
退出聊天	Abandonar chat
离开战队	Abandonar el clan
离开讨论组	Abandonar agrupación
打开活动标签	Abrir pestaña Eventos
打开信息页面	Abrir pestaña Información
打开成员页面	Abrir pestaña Miembros
打开新闻页面	Abrir pestaña Noticias
举报战队	Denunciar clan
举报讨论组	Informar de agrupación
查看战队资料	Ver perfil de clan
查看讨论组资料	Ver perfil de grupo
自定义游戏设置	Ajustes de partida personalizada
离开游戏	Abandonar partida
录像信息	Información sobre la repetición
游戏已经快开始了	La partida ya está comenzando
必须有十名玩家或电脑才能开始征召模式	Hacen falta 10 jugadores reales o jugadores de la IA para iniciar el modo Preselección.
仍有玩家未准备就绪，您无法开始游戏	No puedes comenzar una partida mientras haya jugadores pendientes.
房间内的玩家不符合该游戏模式的要求：	Hay jugadores en la sala que no cumplen los requisitos para este modo de juego:
空的栏位	Ranura vacía
%playerName% （房主）	%playerName% (Anfitrión)
%playerName%（正在等待……）	%playerName% (Pendiente...)
%time% - 录像结束	%time% - Repetición acabada
%time% - 游戏结束	%time% - Partida acabada
%time% -  %name% 可能出现输入失败	%time% - Posible fallo de introducción: %name%
%time% - %name% 暂停了游戏	%time% - %name% ha pausado la partida
%time% - %name% 断开连接	%time% - %name% se ha desconectado
%currentTime% / %maxTime%	%currentTime% / %maxTime%
[PH] Choose game time:	Elige un tiempo de juego:
参与者	Participantes
%rank%名	Rango %rank%
我方队伍	Tu equipo
暴雪娱乐	Blizzard
%categories%, %category%	%categories%, %category%
%name% v%major%.%minor%	%name% v%major%.%minor%
