非晶态装甲云	Zasłona amorficzna
心智单一且劳作勤恳的工蜂，其体内携带的基因代码可以变异成所有种类的异虫建筑。它们只需要资源和菌毯来滋养不断裂生的生物质。	Pracowite i mające jedno przeznaczenie robotnice kryją w swoim kodzie genetycznym ewolucyjny potencjał wszystkich budowli zergów. Do wypełnienia swego zadania robotnice potrzebują jedyne surowców oraz biomasy.
这只奇异的工蜂诞生于一片锈蚀的人类废墟，但这并没有影响它的成长，为了适应环境，它的血肉已经与碎石融为一体。	Ta niezwykła robotnica została powita wśród sterty rdzewiejącego, terrańskiego złomu. Nie przeszkodziło to jej jednak w rozwoju. Jej ciało zaadaptowało się i spoiło z odpadkami.
仿生工程最先建造的这些机械工蜂，原本是用来在打靶练习中测试战斗技法和武器威力，但是没过多久它们变得更大了。	Projekt Emulant rozpoczął się od budowy mechanicznych robotnic, które miały służyć za cele ćwiczebne podczas testów alternatywnych technik bojowych i uzbrojenia. Wkrótce jednak projekt znacznie rozwinięto.
原始工蜂随时随地都有性命之忧，因为它们族群中更强大的成员们每当需要额外的营养时，就会拿它们当零食。	Pierwotne robotnice często znajdują się w sytuacji zagrożenia, ponieważ silniejsi przedstawiciele ich stad znani są z tego, że pożerają słabsze stworzenia swego rodzaju, kiedy potrzebują dodatkowego pożywienia.
和塞伯鲁斯异虫的其它成员一样，塞伯鲁斯工蜂的神经系统也用神经机械科技进行了替代，使其可以完全操控机械骨骼。	Podobnie jak u reszty zergów Cerbera, układ nerwowy tej robotnicy został zastąpiony technologią cybernetyczną, która zapewnia pełną kontrolę mięśniowo-szkieletową nad stworzeniem.
较早期进化版本的工蜂不仅色彩特别鲜艳，而且各项反应动作更具攻击性。只是这一变种在接下来的时间里逐渐消失在了种类庞杂的虫群之中。	Wcześniejsza wersja ewolucyjna robotnicy charakteryzowała się jaskrawszymi barwami i większą agresją oraz refleksem. Cechy te stopniowo zanikały w populacji zergów w kolejnych pokoleniach.
充满剧毒的鳍条是一种常见的防御机制，旨在吓阻掠食者。一些生物仅仅靠模仿这种可怕的外形来赶走不速之扰。	Trujące kolce to uniwersalny mechanizm obronny, który jednocześnie sygnalizuje drapieżnikom, aby trzymały się z dala. Niektóre stworzenia potrafią odtwarzać sam groźny wygląd kolców, który zniechęca do ataków.
母巢之战结束后，泰伦人大力发展了他们的工程能力。正因为人员的增加和工作复杂性的大幅度提升，工程站也失去了飞行能力。	Po Wojnie Szczepów terranie intensywnie rozwijali swoje możliwości inżynieryjne. Ze względu na wzrost liczby personelu i stopień skomplikowania pracy, stacja inżynieryjna nie jest już dopuszczana do wzlotu.
实验性工程站通过将AI程序置入模拟战场中进行对抗，进而提升研发速度。	Eksperymentalne stacje inżynieryjne zwiększają szybkość badań poprzez przeciwstawianie sobie SI rywalizujących w symulowanej walce.
每座泰拉多尔骑士团的工程站或多或少都有致力于建造新的游乐场，尽管这项政策后来因塞伯鲁斯异虫的袭击而被暂停。	Część każdej stacji inżynieryjnej Rycerzy Tyradora służy wymyślaniu nowych atrakcji w parkach rozrywki, choć badania te zostały tymczasowo wstrzymane z powodu ataku zergów Cerbera.
无数的基因序列在进化腔内分割合并，不断为异虫大军产生出更加优异的基因。	Wewnątrz komory ewolucyjnej skręcają i łączą się sekwencje genetyczne, zapewniając ulepszenia dla armii zergów.
和其它仿生机械建筑一样，进化腔也是由聚合物合金材料制造而成。这种金属具有很强的柔软性，可以适应进化腔内部发生的生物与机械的搅合过程。	Podobnie jak inne budowle emulantów, komora ewolucji jest zbudowana z polimerowego stopu zdolnego do odkształcania się i dostosowywania do biomechanicznych procesów toczących się wewnątrz.
在塞伯鲁斯的生物工程部门经历了好几个月的挫折之后，他们发现用指令信息素注满进化腔的动脉，可以控制这种结构过度进化的倾向。	Po miesiącach frustrujących badań w dziale bioinżynierii Cerbera odkryto, że pompowanie feromonów przywódców stad w tętnice komory ewolucyjnej pozwala nieznacznie stłumić hiperadaptacyjne właściwości budowli.
这是一种生物建筑，它可以消化高能瓦斯，然后再将其排泄到小型的肉囊中。这些肉囊被完美地设计成可以由工蜂轻易地运送。	Ta budowla biologiczna trawi surowy wespan, przetwarzając go i wydalając do niewielkich worów błoniastych. Zbiorniki te są doskonale zaprojektowane do łatwego transportowania przez robotnice.
规划文档表明仿生工程的萃取房原本只是做装饰用。至于它们到底何时获得了生产高能瓦斯的能力，这还是一个迷。	Dokumenty planistyczne wskazują, że ekstraktory Projektu Emulant miały pełnić wyłącznie cel estetyczny. Nie jest jasne, kiedy nastąpiło przestawienie funkcji na pełne przetwarzanie wespanu.
塞伯鲁斯萃取房在泰拉多尔九号星的地下无止境地发出脉冲，从这个星球的地壳中榨取每一丝高能瓦斯，为进一步扩张提供动力。	Ekstraktory Cerbera pulsują nieprzerwanie pod powierzchnią Tyradora IX, wysysając gaz wespanowy ze skorupy planety, aby zasilać dalszą ekspansję zergów.
第二次全面战争期间，重工厂里的公厕被移除了。省出来的这块额外空间使得机械师们可以让攻城坦克在出厂前就已安装好攻城套件。	Podczas Drugiej Wielkiej Wojny z fabryk usunięto latryny. Dodatkowa przestrzeń pozwoliła mechanikom na produkcję czołgów z już zainstalowanymi możliwościami oblężniczymi.
R36系列重工厂具有更坚固的起吊锚、加固型底座以及防弹涂层。	Fabryka serii R36 posiada solidniejsze kotwy, wzmocnione fundamenty i warstwę kuloodpornej farby.
好几座处于争议地区的人类工厂发生了不明原因的爆炸，只留下了闪闪发光的绿色陨石坑。这导致伊罕利星灵与泰拉多尔九号星领导者之间的谈判陷入了僵局。	Pertraktacje między protosami ihan-rii a władzami Tyradora IX utknęły w martwym punkcie, gdy kilka terrańskich fabryk na spornym obszarze w tajemniczy sposób wybuchło, pozostawiając po sobie świecące, zielone kratery.
舰队航标负责强化附近星门与灵能矩阵之间的联系，从而使得巨型主力战舰可以折跃传送。	Stacje nawigacyjne floty służą do wzmacniania połączenia pobliskich wrót gwiezdnych z matrycą psioniczną, umożliwiając przesył największych okrętów.
塔达林的舰队航标强迫一股量级相当危险的灵能能量从其球体中心穿过，进而获得传送巨型战舰的能力。	Stacja nawigacyjna floty tal'darimów wytwarza nieproporcjonalnie wręcz olbrzymią ilość energii psionicznej poprzez swoją centralną sferę, umożliwiając teleportację potężnych i silnie opancerzonych okrętów wojennych.
最终回到阿拉基尔的伊罕利建造了强大的舰队航标，以此在无垠的太空中寻找他们古老文明的幸存者。	Gdy ihan-rii wreszcie powrócili na Arakir, zbudowali potężne stacje nawigacyjne floty, aby skanować głębię kosmosu w poszukiwaniu innych ocalałych przedstawicieli swej starożytnej cywilizacji.
锻炉为相位技师们提供了工作场所，供他们孜孜不倦地提升同胞们的武器、护甲和战舰性能。这些精英工程师们在艾尔得到光复前誓不言休。	W kuźni pracują bez wytchnienia fazmatorzy, opracowujący niestrudzenie ulepszenia oręża, pancerzy i okrętów swych pobratymców. Ci elitarni inżynierowie nie spoczną, dopóki Aiur nie zostanie odzyskany.
在塔达林锻炉中，被俘虏的卡莱工程师们遭受刑讯，被迫说出他们的科技秘密。	Wewnątrz kuźni tal'darimów, pojmani inżynierowie khalaiccy są przesłuchiwani celem wydobycia z nich tajemnic technologicznych.
伊罕利在阿拉基尔最南端的矿脉中开采虚空水晶，并把这些虚空水晶以真空密封的形式存放在锻炉最深处的房间里。	Ihan-rii wydobywają kryształy otchłani ze złóż na południowym biegunie Arakiru i przechowują je zamknięte próżniowo w najgłębszych komorach swych kuźni.
聚变芯体中的工作是极其精细的。这里的研究员们利用反物质和核能来提高战列巡航舰的能力。	Prace prowadzone w rdzeniu fuzyjnym należą do wyjątkowo delikatnych. Naukowcy wykorzystują antymaterię i energię jądrową w celu zwiększenia zdolności krążowników.
为了能完全满足新一代摩伊拉级战列巡航舰的需求，聚变芯体的能量输出提高了整整四倍，而且还不会增加其红热特征。	Aby spełnić potrzeby nowego krążownika wojennego klasy Moirai, wydajność energetyczna rdzenia fuzyjnego została czterokrotnie wzmocniona bez zwiększania jego sygnatury cieplnej.
除了为轨道中的战列巡航舰提供支持外，液冷聚变芯体还为泰拉多尔九号星上的赌场、水上公园和全自动按摩院提供了大部分能源。	Oprócz wsparcia dla floty orbitalnych krążowników, chłodzone cieczą rdzenie fuzyjne zapewniają też większość mocy dla kasyn, parków wodnych i automatycznych gabinetów masażu na Tyradorze IX.
母巢之战结束后，星灵对萨尔纳加古代折跃科技进行了逆向研究。传送门现在可以在数秒内将战士传送到遥远的战场。	Po Wojnie Szczepów protosi zastosowali inżynierię wsteczną starożytnej technologii przesyłowej xel'naga. Dzięki temu bramy mogą teraz w ciągu kilku sekund transportować wojowników na odległe pola bitwy.
塔达林传送门的折跃距离远远超出其卡莱竞品。然而这一优势也同样存在风险，那就是传送物有一定几率在折跃过程中被撕成碎片。	Brama tal'darimów potrafi przesyłać wojowników z dużo większej odległości niż jej khalacki odpowiednik. Jedną z wad zwiększonej mocy jest to, że nadprzestrzenni podróżnicy są czasami rozrywani na strzępy, zanim dotrą do celu.
一名人类高官在探访一处伊罕利定居点的时候触碰了传送门，并被那里过剩的虚空能量瞬间（且狼狈地）蒸发。这导致泰拉多尔九号星上的种间关系面临最严峻的考验。	Stosunki międzygatunkowe na Tyradorze IX stanęły przed najtrudniejszą próbą, kiedy przybyły do osady ihan-rii dygnitarz terrański dotknął bramy i w sposób natychmiastowy (oraz paskudny) wyparował pod wpływem uderzenia ze strony potężnej energii otchłani.
幽灵是泰伦人的终极特战人员。他们能运用与生俱来的灵能力量来强化自身的杀戮技巧。其渗透与刺杀能力无可匹敌。	Duchy, najlepsi tajni agenci terran, wykorzystują swój wrodzony potencjał psioniczny do poszerzania zestawu swoich zabójczych umiejętności. Duchy są niezrównane w infiltrowaniu i likwidowaniu celów.
成功建立起自己的帝国王权后，蒙斯克开始对整个幽灵项目进行大幅改革。为了能够完全驾驭灵能这种力量，专门为幽灵们设立了附带核弹发射井的幽灵军校。	Po utworzeniu Dominium Mengsk postanowił zreformować program szkolenia duchów. Aby w pełni wykorzystać ich potencjał psioniczny, wzniesiono wyspecjalizowane akademie duchów z przyłączonymi silosami jądrowymi.
更新一级的幽灵学减轻了核弹发射井对比邻训练区域造成的放射性核泄露危害。	Nowsze akademie duchów poprawiły problem wycieku promieniowania z silosów jądrowych do przyległych obszarów szkoleniowych.
当人们发现，塞伯鲁斯要为远程控制的异虫入侵负责时，泰拉多尔骑士团招募了幽灵特工雇佣兵，让他们找到并刺杀叛变集团的首脑。	Kiedy odkryto, że to Cerber odpowiada za inwazję zdalnie sterowanych zergów, Rycerze Tyradora zwerbowali najemne duchy, aby wytropić i zamordować kierownictwo nieuczciwej korporacji.
瓦伦里安大帝近几年对整个幽灵计划进行了若干项改革，现在有越来越多更加优秀的新兵们心甘情愿地为之服役。	W ostatnich latach imperator Valerian zainicjował wiele różnych zmian w programie szkolenia duchów, dzięki czemu Dominium jest w stanie werbować lepszych, bardziej oddanych rekrutów, którzy odbywają służbę z własnej woli.
能一次又一次地从各种最危险的任务中全身而退的幽灵少之又少。而只有这些经历过大风大浪的精英才有资格使用独一无二的鬼魅作战服。	Niewielu agentów oddziałów duchów jest w stanie przeżyć zabójczo rygorystyczne szkolenie na tyle długo, by stać się weteranami. Ci, którym ta sztuka się udaje, otrzymują niezwykle rzadkie kombinezony Ejdolon.
米拉·汉除了靠她的个人魅力之外，基本上没有什么别的办法来招募和挽留幽灵特工。可能是因为幽灵们对武器装备的要求太高了吧。	Mimo swej charyzmatycznej osobowości Mira Han ma nieustanne kłopoty w rekrutowaniu i utrzymaniu duchów w szeregach swojej załogi. Możliwe, że preferują oni bardziej zaawansowane uzbrojenie niż to, które mogą zaoferować najemnicy.
所有幽灵都是致命的隐秘特工，而他们当中以头名成绩毕业的佼佼者更是精英中的精英。这些顶级杀手在无数的战场上，一直扮演着中坚力量。	Wszyscy agenci duchów są śmiertelnie groźni, ale w starciu z tymi, którzy ukończą szkolenie z wyróżnieniem, nikt nie ujdzie z życiem. Ci elitarni zabójcy biorą udział w niezliczonych operacjach na polu walki.
泰拉多尔最有价值的游客们都是由精英幽灵特工负责他们的安全。在一位来访的摇滚明星抱怨说“这些面具吓到我了，伙计”之后，他们的面罩就被停止使用了。	Elitarne duchy z Tyradora ochraniają najważniejszych turystów przybywających na planetę. Wizjery tych żołnierzy wyszły z użycia po tym, jak jedna z gwiazd rocka poskarżyła się - cytujemy: „cykam się tych masek, człowieku”.
这些被称为影子卫士的精英特工，其存在的目的就是为了守护尤摩扬护国军的秘密，当然还有和平。	Ci elitarni agenci znani jako Gwardia Cienia, wykorzystywani są, aby strzec tajemnic Protektoratu Umojańskiego oraz pokoju.
仿生工程官宣从未完成过一个巨型尖塔复制品。所有会推翻这一说法的照片也统统被帝国代表斥之为假照片。	Oficjalnie w ramach Projektu Emulant nigdy nie ukończono budowy repliki większej iglicy. Fotografie sugerujące coś innego zostały uznane przez przedstawicieli Dominium za wyszukany fotomontaż i odrzucone.
每一处殖地都需要一颗心脏。从消化矿物到创造幼虫产生菌毯，孵化场储藏着异虫的每一种基因蓝图。	Każda kolonia potrzebuje serca. Wylęgarnie mieszczą kod genetyczny będący kluczem do wszystkich działań zergów, od przetwarzania minerałów, poprzez tworzenie larw aż po wydzielanie biomasy.
在仿生工程的复制品孵化场开始神秘地从菌毯中生产出无法辨识的物质之前，董事会们已经遇到了许多更大的麻烦。	Kiedy repliki wylęgarni z Projektu Emulant zaczęły produkować substancję nieodróżnialną od biomasy, kierownictwo miało już na głowie większe zmartwienia.
在塞伯鲁斯证实了他们对泰拉多尔九号星地下环境的渗透没有被发现之后，他们开始向这个星球大量的熔岩管道中输送可远程控制的孵化场。	Kiedy korporacja Cerber upewniła się, że udało im się niezauważenie zinfiltrować podziemne środowisko Tyradora IX, rozpoczęto rozmieszczanie zdalnie sterowanych wylęgarni w rozległych korytarzach lawowych pod powierzchnią planety.
在刀锋女王离开后，虫母们开始激烈地争夺着彼此之间的控制权。那些弱者中有许多都被赶出了殖地，等待它们的只有死亡；另一些则找到了被遗弃的休眠孵化场，它们借此机会来培养新的虫群。	Zergowe matki szczepów walczyły ze sobą o dominację pod nieobecność Królowej Ostrzy. Wiele słabych spośród nich zostało wysiedlonych ze swoich kolonii i zginęło. Inne odkryły opuszczone, uśpione wylęgarnie i rozpoczęły tworzenie nowych szczepów.
作为配备了轻量化底盘的高速突击车，恶火非常适合执行快速打击任务，并且具备超强机动性，也因此深受各大雇佣兵组织的喜爱。	Heliony to szybkie pojazdy zwiadowcze o lekkiej konstrukcji. Świetnie radzą sobie w wyprowadzaniu błyskawicznych ataków i unikaniu wroga. Są to bardzo popularne pojazdy wśród najemników.
采用风格大胆的三轮式设计后，这种型号的恶火战车线条更加流畅，比以往更加容易驾驶。车手们甚至觉得更富有驾驶乐趣了。	Ten helion to śmiała modyfikacja pierwszego modelu. Posiada trzy koła, smuklejszą karoserię i zapewnia o wiele lepsze prowadzenie. W środowisku kierowców cieszy się również opinią pojazdu, którego prowadzenie daje znacznie więcej frajdy.
最初本是为参加地下破坏联赛而改装的这些恶火战车，如今却成了那些边缘星球上恶名昭彰的飞车党们的最爱。	Pierwotnie modyfikowano te heliony na potrzeby podziemnych lig autorodeo. Z czasem stały się niezwykle popularnymi pojazdami wśród gangów złomiarzy na planetach peryferyjnych.
制造这些恶火战车的目的就是为了能让驾驶员们快速脱险，同时让车子的外形好看。车上可能还装备有非法的强化剂发射器，不过雇佣兵们全都对此守口如瓶。	Heliony te zostały zaprojektowane tak, aby szybko wyciągać swoich operatorów z ciężkich sytuacji i nie tracić nic na wyglądzie. Prawdopodobnie dysponują również nielegalnymi emiterami stymulantów, ale najemnicy milczą na ten temat.
泰拉多尔恶火战车上的电镀轮毂是由街头赛车手出身的时尚潮人JJ Hyun合作设计的。	Stylowe, chromowane felgi helionów z Tyradora zostały zaprojektowane we współpracy z legendą wyścigów ulicznych, a obecnie ikoną mody – JJ Hyunem.
尤摩扬特殊的驾驶风格跟他们复杂精密的恶火战车关系很大。这些战车不仅配备了改良版的悬挂和防御板甲，甚至还给驾驶员提供了更加舒适的座椅。	Umojanie wożą się w wielkim stylu dzięki swoim odpicowanym helionom posiadającym ulepszone zawieszenie, opancerzenie i jeszcze wygodniejsze siedziska.
高阶圣堂武士是星灵种族中最受尊重且经验最丰富的战士。他们将自身的灵能力量提升到了令人敬畏的程度，心智与意念力是他们最强大的武器。	Wysocy templariusze to najbardziej poważani i doświadczeni wojownicy rasy protosów. Opanowali oni w niezrównanym stopniu swe zdolności psioniczne, co sprawia, że najgroźniejszą bronią templariuszy są ich umysły.
席拉克的高阶圣堂武士是第一批身穿古代铠甲的星灵。他们这么做是为了纪念卡斯和他团结圣堂武士的壮举。通过拥抱过去的荣光，他们对未来的恐惧感也消散了。	Wysocy templariusze z Shelak jako pierwsi przyodziali starożytne pancerze w uznaniu Khasa i jego roli w zjednoczeniu templariuszy. Wychwalając przeszłość, tłumią swe obawy przed niepewną przyszłością.
“泽拉图”的遇难信号将他们从深度的静滞状态中唤醒，但是伊罕利星灵无法联系到泽拉图，于是他们决定回到很久以前那个被称之为家的星系。	Protosi ihan-rii – nie będąc w stanie dotrzeć do „Zeratula”, którego wezwanie o pomoc zbudziło ich ze snu – udali się do układu gwiezdnego, który dawno temu był ich domem.
经过大量的实验后，净化者完善了拥有与达拉姆高阶圣堂武士相同能力的智能人格战士。据说，大主教阿塔尼斯对此印象极为深刻。	Po ekstensywnych eksperymentach czyściciele dopracowali do perfekcji swoich wojowników SI, którzy posiadają teraz te same, niezwykłe zdolności co wysocy templariusze daelaamów. Podobno sam hierarcha Artanis był pod wielkim wrażeniem tego osiągnięcia.
塔达林通过拉克希尔仪式来提高自己在升格之链中的地位。对地嗪的多年吸食以及死徒们精华的供养，让这些晋升者们变得异常强大。	Tal'darimowie wspinają się w Łańcuchu Wyniesienia w rytuale zwanym Rak'Shir. Lata pochłaniania terrazytu oraz esencji suplikantów uczyniły z wyniesionych doprawdy potężne jednostki.
若干仿生机械虫穴进一步突变成完全成熟主巢的变化，很可能会引来一轮精细严密的调查，如果还有人活着的话。	Dalsza mutacja kilku leży z Projektu Emulant w pełnoprawne ule prawdopodobnie doprowadziłaby do wszczęcia szybkiego śledztwa, gdyby ostał się jeszcze ktokolwiek, kto mógłby je przeprowadzić.
进化成梦魇版的杀戮怪兽后，刺蛇身上极其发达的肌肉组织使得它们能够从甲壳之中射出脊针，其速度之快甚至能穿透精钢。	Hydraliski, które wyewoluowały na przerażających zabójców, dysponują imponującą siłą mięśni. Umożliwia im ona miotanie kolcami znajdującymi się między płytami ich karapaksu z szybkością pozwalają przebić neostal.
异虫采用了性情温和的树螈兽的建筑，然后将其进化成刺蛇巢。随着时间的推移，它长出了生物外骨骼来保护自己的肉体。	Zergi wykorzystały budowle spokojnych gąsieliszków i rozwinęły je, tworząc norę hydralisków. Z czasem struktura wykształciła biologiczny egzoszkielet w celu ochrony swojego ciała.
调查员们从未能搞清楚刺蛇巢向外凸出的致命性钒合金刀片到底有何用处，也不知道负责放置这些刀片的人是谁。	Badawcza komisja śledcza nie była w stanie ustalić celu śmiercionośnych ostrzy z wanadu w norze hydralisków, ani osoby odpowiedzialnej za ich umieszczenie.
对于塞伯鲁斯来说放弃入侵泰拉多尔九号星从来都不是一个选择，这需要其展示类似于“在现实世界中提高20%的刺蛇生产效率”这样的指标来赚取资金协议。	Porzucenie planów inwazji na Tyradora IX nigdy nie wchodziło w grę dla korporacji Cerber, która zgodnie z umowami musiała wykazać się przed inwestorami między innymi takimi wskaźnikami jak „20% wzrostu skuteczności produkcji hydralisków w warunkach rzeczywistych”, aby zdobyć dalsze fundusze.
对于它们的制造者而言，仿生机械刺蛇曾存在一项明显的隐患，那就是被选择用来替换利爪的刀刃很容易在组装过程中变钝。	Hydralisk emulant stanowił poważne zagrożenie dla swoich twórców, którzy postanowili zastąpić jego szpony ostrzami dającymi się łatwo stępić w procesie produkcji.
虽然异虫中的瘴毒兽变种最早是出现在雷兽中，但现在已经传播到了刺蛇里。这些样本继承了此变种标志性的剧毒特征，外表也变得更为凶狠。	Chociaż genotyp trucicieli po raz pierwszy pojawił się u ultralisków, to teraz został zaszczepiony również u hydralisków. Te okazy odziedziczyły geny odpowiadające za toksyczność oraz agresywniejszy wygląd.
虫群中的多种刺蛇被快速地整合到了原始族群之中，同时还保留了大量它们原有的特质。这显然是它们进化能力超强的一个有力证明。	Hydraliski roju zostały szybko zintegrowane ze stadami pierwotnych zergów, gdzie zachowały wiele ze swoich cech. To wyraźne świadectwo ich ewolucyjnej siły.
塞伯鲁斯刺蛇在一场沙尘暴中突破了新迦南的防御圈，当时它们发光的眼睛被误以为是沙滩车的车头大灯。	Hydraliski Cerbera przebiły się przez obwód Nowego Canaan podczas burzy piaskowej, kiedy ich świecące oczy zostały mylnie wzięte przez obrońców miasta za reflektory łazików pustynnych.
早期进化的刺蛇其尖刺都比较细，而且拥有色彩斑斓的蛇冠，看上去十分威猛霸气。	Wcześniejsze wersje ewolucyjne hydraliska charakteryzowały się smuklejszymi kolcami i imponującym, kolorowym karapaksem.
利维坦虫巢的刺蛇从未遗失过变异潜伏者所需要的基因序列。事实上，潜伏者的外表特征都被直接编入了它们的DNA中。	Hydraliski ze szczepu Lewiatan nigdy nie zatraciły sekwencji genetycznych niezbędnych do przekształcania się w czyhacze. Niektóre cechy wyglądu czyhaczy są bezpośrednio wplecione w DNA tych hydralisków.
每当有著名的星灵英雄倒下，他们的遗体就会被植入机械外骨骼作战体。这些全副武装的不朽者是最忠诚的战士。	Kiedy ginie zasłużony bohater protosów, jego szczątki umieszczane są w egzoszkielecie robota. W ten sposób powstaje ciężko opancerzony, dysponujący silnymi osłonami i niezwykle oddany wojownik zwany nieśmiertelnym.
对于星灵而言，没有什么能比勇于自我牺牲更加光荣和伟大。亚顿用生命诠释了这一高尚的信念，不朽者们纷纷以他的名号奉献自己。	Dla protosów nie ma większego zaszczytu niż poświęcenie własnego życia w obronie sprawy, o którą się walczy. Adun pojmował to najlepiej ze wszystkich i dlatego też te egzoszkielety nieśmiertelnych ochrzczono jego mianem.
末日之战结束后，一些阵亡的圣堂武士被选中植入了古代的不朽者机械外骨骼作战体中，以此彰显那股曾让所有星灵在危难时刻团结一致的献身精神。	Po wojnie ostatecznej część poległych templariuszy postanowiła spocząć w egzoszkieletach starożytnych nieśmiertelnych, aby okazać swe oddanie ideałom, które jednoczyły protosów w niespokojnych czasach.
光荣战死的伊罕利英雄们被放入四脚机械棺中，这种装备着巨炮的装置可以携带着他们的遗体奔赴未来的战场。	Ciała bohaterów ihan-rii, którzy zginą honorową śmiercią są umieszczane w czworonożnych, uzbrojonych w potężne działa robotach-sarkofagach, które pozwalają poległym brać udział w dalszych bitwach.
在末日之战的余波中，净化者们将死去的不朽者的躯壳重新利用，将其打造成纯机械战士，继续在战场上发光发热。	Po zakończeniu ostatecznej wojny czyściciele byli w stanie na nowo wykorzystać powłoki poległych nieśmiertelnych, aby mogły funkcjonować dalej, tym razem jako zrobotyzowani wojownicy.
这些装在重甲攻击机体里的塔达林战士都曾经历了失败与耻辱，渴望着有朝一日能一雪前耻。他们只有一个愿望，那就是战死沙场，为高阶领主尽忠。	Wojownicy tal'darimów, którzy okryją się hańbą i zostaną pokonani na polu bitwy, otrzymują szansę zmazania plamy na honorze. Zostają umieszczeni w egzoszkielecie i mogą oddać życie ku chwale Wielkiego Wodza.
感染深渊是一个基因失控的建筑，里面不断培养着种类繁多的疾疫、恶疫细胞以及神经寄生虫。只有最有效的病菌才会被感染者采用。	W jamie infekcji szaleją mutacje genetyczne, prowadzące do powstawania szerokiego wachlarza chorób, komórek zakaźnych i pasożytów neuronalnych. Tylko najskuteczniejsze z tych zaraz są wykorzystywane przez infektory.
当感染者巢穴停止对其维护技术人员做出回应时，仿生工程AI故障的首条提示出现了。	Pierwsza wzmianka o możliwej usterce w SI Projektu Emulant pojawiła się, kiedy nora infektorów przestała reagować na komendy serwisujących ją techników.
当洞穴探险者们误入那些被塞伯鲁斯占领的熔岩管道时，适当分布在各处的感染深渊能对他们释放神经寄生虫，让他们汇报说遇到了技术困难，之后就再也没人收到他们的消息了。	Neuronowe pasożyty ze sprytnie rozmieszczonych jam infekcji powodują problemy techniczne, które zgłaszają wszelcy miłośnicy eksploracji jaskiń przypadkiem zapuszczający się w zajęte przez Cerbera tunele lawowe. Potem po grotołazach zanika wszelki słuch.
正如其名，感染者所到之处都会扩散虫群的影响力。一旦被感染者注入神经寄生虫，任何生物体都会变成丧失心智的行尸走肉。	Zgodnie ze swoją nazwą infektory roznoszą zarazę roju wszędzie tam, gdzie się udadzą. Organizmy, które zostaną zaatakowane pasożytami neuronalnymi infektorów, stają się bezmyślnymi żołnierzami zergów.
科研人员尝试制造AI程序的努力失败了，无法正常复制出感染者的神经寄生虫。当他们准备将感染者从生产品种中剔除时，令人意想不到的是，寄生虫的AI程序突然完美起效了……	Badacze mieli trudności ze stworzenie SI, która naśladowałaby pasożyty neuronalne infektorów. Kiedy jednak wycofywali infektory z linii produkcyjnej, SI pasożytów zaczęła nieoczekiwanie funkcjonować...
由于经常成为族群中其它更大更强竞争者的目标，感染者在它们的背部进化出了厚重的甲壳来保护自己。	Jako częste cele większych i dzikszych rywali w swoim stadzie pierwotne infektory wyewoluowały dla lepszej ochrony grubsze pancerze na plecach.
为了满足一个重要企业客户的需求，塞伯鲁斯给出了名脆弱的感染者植入了支援性钛合金支架。	W odpowiedzi na potrzeby ważnego klienta korporacyjnego, Program Cerber wzmocnił słynące z kruchości infektory tytanową powłoką.
感染者是一种菌落型生物，构成其主母虫的生物组织具有多种不同的用途。在利维坦感染者中，主母虫的防御性生物结构显得尤为明显。	Organizmy kolonijne tworzące matronę borboru cechowało wiele przeróżnych funkcji. Cechy obronne stworzeń, z których wywodzą się infektory ze szczepu Lewiatan, są widoczne gołym okiem.
当首个仿生工程孵化场变异成了虫穴后，项目组立刻展开了一次内部审计，不过负责工程师再也没找到过。	Kiedy pierwsza wylęgarnia Projektu Emulant zmieniła się w leże, wszczęto audyt wewnętrzny, chociaż nigdy nie odnaleziono osoby odpowiedzialnej.
这种不起眼的像蛆一样的生物包裹着一层看似很结实的皮层。它们可以变异成任何一种可怕的异虫生物。	Te niepozorne larwy okryte są zaskakująco silnym pancerzem i zdolne do mutacji w niezliczone ohydztwa.
仿生机械造物的视觉辨识度是创造机械幼虫时的一个重要考量，它们必须在外形和步态上做到与仿制对象极其相似。不过，这并不能完全解释为什么仿生工程的工程师们认为有必要复制异虫幼虫的标志性嘎吱噪音。	Rozpoznawalność wizualna emulantów jest powszechnym uzasadnieniem dla tworzenia mechanicznych larw, które przypominają swoje pierwowzory zarówno budową jak i sposobem poruszania się. Nie do końca wyjaśnia to jednak, dlaczego inżynierowie Projektu Emulant uważali za konieczne odtworzenie charakterystycznych odgłosów wydawanych przez larwy zergów.
塞伯鲁斯投入了大量的精力，将独特的刺激物映射到他们下令产生蜕变的幼虫之中，这种刺激物往往会造成巨大的痛苦。	Cerber dołożył wielu starań, aby rozpracować wyjątkowe i często bolesne bodźce, które prowadzą do metamorfozy larw zergów.
在UED女武神战机的启发下，解放者的设计初衷原本是为了反制空中威胁。在加装空对地火炮之后，它们也能对付地表的敌方部队。	Liberatory, których projekt został zainspirowany walkiriami Dyrektoriatu, zostały pierwotnie stworzone do zwalczania zagrożeń powietrznych. Dodanie uzbrojenia artyleryjskiego powietrze-ziemia pozwala im również przeciwdziałać siłom naziemnym wroga.
