非晶态装甲云	Protezione informe
皮肤：伊罕利先知	Skin: Oracolo Ihan-rii
皮肤：净化者先知	Skin: Oracolo Purificatori
皮肤：锻造先知	Skin: Oracolo Forgiati
皮肤：原始眼虫	Skin: Custode Primordiali
皮肤：利维坦眼虫	Skin: Custode Leviatano
皮肤：仿生机械王虫	Skin: Sorvegliante Simulant
Overlord Mutant Skin Pack	Pacchetto skin Sorvegliante Mutanti
皮肤：原始王虫	Skin: Sorvegliante Primordiali
皮肤：塞伯鲁斯王虫	Skin: Sorvegliante Cerbero
皮肤：利维坦王虫	Skin: Sorvegliante Leviatano
皮肤：仿生机械眼虫	Skin: Custode Simulant
皮肤：塞伯鲁斯眼虫	Skin: Custode Cerbero
皮肤：黄金时代凤凰	Skin: Fenice Età dell'Oro
皮肤：伊罕利凤凰战机	Skin: Fenice Ihan-rii
皮肤：净化者凤凰	Skin: Fenice Purificatori
皮肤：锻造凤凰	Skin: Fenice Forgiati
皮肤：锻造光子炮台	Skin: Cannone fotonico Forgiati
皮肤：伊罕利光子炮台	Skin: Cannone fotonico Ihan-rii
皮肤：黄金时代探机	Skin: Sonda Età dell'Oro
皮肤：伊罕利探机	Skin: Sonda Ihan-rii
皮肤：净化者探机	Skin: Sonda Purificatori
皮肤：经典探机	Skin: Sonda Classica
皮肤：锻造探机	Skin: Sonda Forgiati
皮肤：锻造水晶塔	Skin: Pilone Forgiati
皮肤：伊罕利水晶塔	Skin: Pilone Ihan-rii
Pylon Judicator Skin Pack	Pacchetto skin Pilone Giudicatori
皮肤：仿生机械虫后	Skin: Regina Simulant
皮肤：原始虫后	Skin: Regina Primordiali
皮肤：塞伯鲁斯虫后	Skin: Regina Cerbero
皮肤：利维坦虫后	Skin: Regina Leviatano
皮肤：白骨破坏者	Skin: Laceratore Osseo
皮肤：仿生机械破坏者	Skin: Laceratore Simulant
皮肤：原始破坏者	Skin: Laceratore Primordiali
皮肤：塞伯鲁斯破坏者	Skin: Laceratore Cerbero
皮肤：利维坦破坏者	Skin: Laceratore Leviatano
皮肤：特战队铁鸦	Skin: Raven Forze Speciali
皮肤：米拉的劫掠者铁鸦	Skin: Raven Devastatori di Mira
皮肤：泰拉多尔铁鸦	Skin: Raven Tyrador
皮肤：尤摩扬铁鸦	Skin: Raven Umojani
皮肤：特战队反应堆	Skin: Reattore Forze Speciali
皮肤：泰拉多尔反应堆	Skin: Reattore Tyrador
皮肤：特战队收割者	Skin: Mietitore Forze Speciali
皮肤：米拉的劫掠者收割者	Skin: Mietitore Devastatori di Mira
皮肤：泰拉多尔收割者	Skin: Mietitore Tyrador
皮肤：尤摩扬收割者	Skin: Mietitore Umojani
皮肤：特战队精炼厂	Skin: Raffineria Forze Speciali
皮肤：泰拉多尔精炼厂	Skin: Raffineria Tyrador
皮肤：进化版蟑螂	Skin: Blatta evoluta
皮肤：仿生机械蟑螂	Skin: Blatta Simulant
皮肤：原始蟑螂	Skin: Blatta Primordiali
皮肤：塞伯鲁斯蟑螂	Skin: Blatta Cerbero
皮肤：仿生机械蟑螂温室	Skin: Colonia di Blatte Simulant
皮肤：塞伯鲁斯蟑螂温室	Skin: Colonia di Blatte Cerbero
皮肤：利维坦蟑螂	Skin: Blatta Leviatano
皮肤：锻造机械研究所	Skin: Laboratorio robotico Forgiati
皮肤：伊罕利机械研究所	Skin: Laboratorio robotico Ihan-rii
皮肤：锻造机械台	Skin: Fabbrica robotica Forgiati
皮肤：伊罕利机械台	Skin: Fabbrica robotica Ihan-rii
皮肤：特战队SCV	Skin: SCV Forze Speciali
皮肤：米拉的劫掠者SCV	Skin: SCV Devastatori di Mira
皮肤：经典SCV	Skin: SCV Classico
皮肤：泰拉多尔SCV	Skin: SCV Tyrador
皮肤：尤摩扬SCV	Skin: SCV Umojani
皮肤：特战队感应塔	Skin: Torre di rilevamento Forze Speciali
皮肤：泰拉多尔感应塔	Skin: Torre di rilevamento Tyrador
皮肤：黄金时代机械哨兵	Skin: Sentinella Età dell'Oro
皮肤：伊罕利机械哨兵	Skin: Sentinella Ihan-rii
皮肤：净化者机械哨兵	Skin: Sentinella Purificatori
皮肤：锻造机械哨兵	Skin: Sentinella Forgiati
皮肤：锻造护盾充能器	Skin: Batteria di scudi Forgiati
皮肤：伊罕利护盾充能器	Skin: Batteria di scudi Ihan-rii
皮肤：特战队攻城坦克	Skin: Carro d'assedio Forze Speciali
皮肤：米拉的劫掠者攻城坦克	Skin: Carro d'assedio Devastatori di Mira
皮肤：突击队攻城坦克	Modello: Carro d'assedio commando
皮肤：泰拉多尔攻城坦克	Skin: Carro d'assedio Tyrador
皮肤：尤摩扬攻城坦克	Skin: Carro d'assedio Umojani
皮肤：仿生机械分裂池	Skin: Pozza germinale Simulant
皮肤：塞伯鲁斯分裂池	Skin: Pozza germinale Cerbero
皮肤：仿生机械脊针爬虫	Skin: Impalatore Simulant
皮肤：塞伯鲁斯脊针爬虫	Skin: Impalatore Cerbero
皮肤：仿生机械尖塔	Skin: Pinnacolo Simulant
皮肤：塞伯鲁斯尖塔	Skin: Pinnacolo Cerbero
皮肤：仿生机械孢子爬虫	Skin: Lanciaspore Simulant
皮肤：塞伯鲁斯孢子爬虫	Skin: Lanciaspore Cerbero
皮肤：高级版追猎者	Skin: Persecutore avanzato
皮肤：黄金时代追猎者	Skin: Persecutore Età dell'Oro
皮肤：伊罕利追猎者	Skin: Persecutore Ihan-rii
皮肤：净化者追猎者	Skin: Persecutore Purificatori
皮肤：锻造追猎者	Skin: Persecutore Forgiati
皮肤：锻造星门	Skin: Portale stellare Forgiati
皮肤：伊罕利星门	Skin: Portale stellare Ihan-rii
皮肤：特战队星港	Skin: Spazioporto Forze Speciali
皮肤：泰拉多尔星港	Skin: Spazioporto Tyrador
皮肤：特战队补给站	Skin: Deposito Forze Speciali
Supply Depot Mercenary Skin Pack	Pacchetto skin Deposito Mercenari
皮肤：泰拉多尔补给站	Skin: Deposito Tyrador
皮肤：仿生机械虫群宿主	Skin: Ospite dello Sciame Simulant
皮肤：原始虫群宿主	Skin: Ospite dello Sciame Primordiali
皮肤：塞伯鲁斯虫群宿主	Skin: Ospite dello Sciame Cerbero
皮肤：利维坦虫群宿主	Skin: Ospite dello Sciame Leviatano
皮肤：特战队科技实验室	Skin: Modulo tecnologico Forze Speciali
皮肤：泰拉多尔科技实验室	Skin: Modulo tecnologico Tyrador
皮肤：黄金时代风暴战舰	Skin: Tempesta Età dell'Oro
皮肤：伊罕利风暴战舰	Skin: Tempesta Ihan-rii
皮肤：净化者风暴战舰	Skin: Tempesta Purificatori
皮肤：锻造风暴战舰	Skin: Tempesta Forgiati
皮肤：锻造圣堂武士文献馆	Skin: Archivio dei Templari Forgiati
皮肤：伊罕利圣堂武士文献馆	Skin: Archivio dei Templari Ihan-rii
皮肤：特战队雷神	Skin: Thor Forze Speciali
皮肤：米拉的劫掠者雷神	Skin: Thor Devastatori di Mira
皮肤：泰拉多尔雷神	Skin: Thor Tyrador
皮肤：尤摩扬雷神	Skin: Thor Umojani
皮肤：锻造光影议会	Skin: Concilio del Crepuscolo Forgiati
皮肤：伊罕利光影议会	Skin: Concilio del Crepuscolo Ihan-rii
皮肤：仿生机械雷兽窟	Skin: Caverna delle Ultralische Simulant
皮肤：塞伯鲁斯雷兽窟	Skin: Caverna delle Ultralische Cerbero
皮肤：仿生机械雷兽	Skin: Ultralisca Simulant
皮肤：原始雷兽	Skin: Ultralisca Primordiali
皮肤：塞伯鲁斯雷兽	Skin: Ultralisca Cerbero
皮肤：经典雷兽	Skin: Ultralisca Classica
皮肤：利维坦雷兽	Skin: Ultralisca Leviatano
皮肤：特战队维京战机	Skin: Viking Forze Speciali
皮肤：米拉的劫掠者维京战机	Skin: Viking Devastatori di Mira
皮肤：星战维京战机	Skin: Viking Mech
皮肤：泰拉多尔维京战机	Skin: Viking Tyrador
皮肤：尤摩扬维京战机	Skin: Viking Umojani
皮肤：仿生机械飞蛇	Skin: Vipera Simulant
皮肤：原始飞蛇	Skin: Vipera Primordiali
皮肤：塞伯鲁斯飞蛇	Skin: Vipera Cerbero
皮肤：利维坦飞蛇	Skin: Vipera Leviatano
皮肤：黄金时代虚空辉光舰	Skin: Lancia del Vuoto Età dell'Oro
皮肤：伊罕利虚空辉光舰	Skin: Lancia del Vuoto Ihan-rii
皮肤：净化者虚空辉光舰	Skin: Lancia del Vuoto Purificatori
皮肤：锻造虚空辉光舰	Skin: Lancia del Vuoto Forgiati
皮肤：黄金时代折跃棱镜	Skin: Prisma dimensionale Età dell'Oro
皮肤：伊罕利折跃棱镜	Skin: Prisma dimensionale Ihan-rii
皮肤：萨古拉斯折跃棱镜	Modello: Prisma dimensionale di Shakuras
皮肤：净化者折跃棱镜	Skin: Prisma dimensionale Purificatori
皮肤：锻造折跃棱镜	Skin: Prisma dimensionale Forgiati
皮肤：特战队寡妇雷	Skin: Mina Widow Forze Speciali
皮肤：米拉的劫掠者寡妇雷	Skin: Mina Widow Devastatori di Mira
皮肤：泰拉多尔寡妇雷	Skin: Mina Widow Tyrador
皮肤：尤摩扬寡妇雷	Skin: Mina Widow Umojani
Wo LCESkin Pack	Pacchetto skin CE WoL
皮肤：黄金时代狂热者	Skin: Zelota Età dell'Oro
皮肤：伊罕利狂热者	Skin: Zelota Ihan-rii
Zealot Judicator Skin Pack	Pacchetto skin Zelota Giudicatori
皮肤：净化者狂热者	Skin: Zelota Purificatori
皮肤：经典狂热者	Skin: Zelota Classico
皮肤：锻造狂热者	Skin: Zelota Forgiati
皮肤：仿生机械跳虫	Skin: Zergling Simulant
Zergling Mutant Skin Pack	Pacchetto skin Zergling Mutanti
皮肤：原始跳虫	Skin: Zergling Primordiali
皮肤：塞伯鲁斯跳虫	Skin: Zergling Cerbero
皮肤：利维坦跳虫	Skin: Zergling Leviatano
黄金时代使徒	Adepta Età dell'Oro
伊罕利使徒	Adepta Ihan-rii
净化者使徒	Adepta Purificatori
锻造使徒	Adepta Forgiati
特战队军械库	Armeria Forze Speciali
泰拉多尔军械库	Armeria Tyrador
锻造吸纳舱	Assimilatore Forgiati
伊罕利吸纳舱	Assimilatore Ihan-rii
仿生机械爆虫	Baneling Simulant
仿生机械爆虫巢穴	Nido dei Baneling Simulant
塞伯鲁斯爆虫巢穴	Nido di Baneling Cerbero
原始爆虫	Baneling Primordiali
塞伯鲁斯爆虫	Baneling Cerbero
利维坦爆虫	Baneling Leviatano
特战队女妖	Banshee Forze Speciali
米拉的劫掠者女妖	Banshee Devastatori di Mira
泰拉多尔女妖	Banshee Tyrador
尤摩扬女妖	Banshee Umojani
特战队兵营	Caserma Forze Speciali
泰拉多尔兵营	Caserma Tyrador
特战队战列巡航舰	Incrociatore Forze Speciali
米拉的劫掠者战列巡航舰	Incrociatore Devastatori di Mira
尤摩扬战列巡航舰	Incrociatore Umojani
原始巢虫领主	Patriarca Primordiali
塞伯鲁斯巢虫领主	Patriarca Cerbero
利维坦巢虫领主	Patriarca Leviatano
水栖巢虫领主	Patriarca Acquatico
特战队地堡	Bunker Forze Speciali
泰拉多尔地堡	Bunker Tyrador
埃蒙的舰队航母	Portastormo Armata di Amon
黄金时代航母	Portastormo Età dell'Oro
净化者航母	Portastormo Purificatori
锻造航母	Portastormo Forgiati
黄金时代巨像	Colosso Età dell'Oro
伊罕利巨像	Colosso Ihan-rii
净化者巨像	Colosso Purificatori
锻造巨像	Colosso Forgiati
特战队指挥中心	Centro di comando Forze Speciali
泰拉多尔指挥中心	Centro di comando Tyrador
仿生机械腐化者	Corruttore Simulant
原始腐化者	Corruttore Primordiali
塞伯鲁斯腐化者	Corruttore Cerbero
利维坦腐化者	Corruttore Leviatano
锻造控制芯核	Centro cibernetico Forgiati
伊罕利控制芯核	Centro cibernetico Ihan-rii
特战队飓风	Cyclone Forze Speciali
米拉的劫掠者飓风	Cyclone Devastatori di Mira
泰拉多尔飓风	Cyclone Tyrador
尤摩扬飓风	Cyclone Umojani
锻造黑暗圣坛	Santuario oscuro Forgiati
伊罕利黑暗圣坛	Santuario oscuro Ihan-rii
黄金时代黑暗圣堂武士	Templare oscuro Età dell'Oro
伊罕利黑暗圣堂武士	Templare oscuro Ihan-rii
净化者黑暗圣堂武士	Templare oscuro Purificatori
锻造黑暗圣堂武士	Templare oscuro Forgiati
黄金时代干扰者	Disgregatore Età dell'Oro
伊罕利干扰者	Disgregatore Ihan-rii
净化者干扰者	Disgregatore Purificatori
锻造干扰者	Disgregatore Forgiati
仿生机械工蜂	Drone Simulant
塞伯鲁斯工蜂	Drone Cerbero
经典工蜂	Drone Classico
利维坦工蜂	Drone Leviatano
特战队工程站	Officina bellica Forze Speciali
泰拉多尔工程站	Officina bellica Tyrador
仿生机械进化腔	Camera evolutiva Simulant
塞伯鲁斯进化腔	Camera evolutiva Cerbero
仿生机械萃取房	Estrattore Simulant
塞伯鲁斯萃取房	Estrattore Cerbero
特战队重工厂	Fabbrica Forze Speciali
泰拉多尔重工厂	Fabbrica Tyrador
锻造舰队航标	Faro della flotta Forgiati
伊罕利舰队航标	Faro della flotta Ihan-rii
锻造锻炉	Forgia Forgiati
伊罕利锻炉	Forgia Ihan-rii
特战队聚变芯体	Nucleo di fusione Forze Speciali
泰拉多尔聚变芯体	Nucleo di fusione Tyrador
锻造传送门	Portale Forgiati
伊罕利传送门	Portale Ihan-rii
特战队幽灵军校	Accademia dei Fantasmi Forze Speciali
泰拉多尔幽灵军校	Accademia dei Fantasmi Tyrador
特战队幽灵	Fantasma Forze Speciali
鬼魅幽灵	Fantasma Eidolon
米拉的劫掠者幽灵	Fantasma Devastatori di Mira
泰拉多尔幽灵	Fantasma Tyrador
尤摩扬幽灵	Fantasma Umojani
仿生机械孵化场	Vivaio Simulant
塞伯鲁斯孵化场	Vivaio Cerbero
经典孵化场	Vivaio Classico
特战队恶火	Hellion Forze Speciali
米拉的劫掠者恶火	Hellion Devastatori di Mira
飞车党恶火	Hellion Rottamatore
泰拉多尔恶火	Hellion Tyrador
尤摩扬恶火	Hellion Umojani
黄金时代高阶圣堂武士	Alto templare Età dell'Oro
伊罕利高阶圣堂武士	Alto templare Ihan-rii
净化者高阶圣堂武士	Alto templare Purificatori
锻造高阶圣堂武士	Alto templare Forgiati
仿生机械刺蛇巢	Antro delle Idralische Simulant
塞伯鲁斯刺蛇巢	Antro delle Idralische Cerbero
仿生机械刺蛇	Idralisca Simulant
瘴毒兽刺蛇	Idralisca Atrax
塞伯鲁斯刺蛇	Idralisca Cerbero
利维坦刺蛇	Idralisca Leviatano
亚顿不朽者	Immortale Adun
黄金时代不朽者	Immortale Età dell'Oro
伊罕利不朽者	Immortale Ihan-rii
净化者不朽者	Immortale Purificatori
锻造不朽者	Immortale Forgiati
仿生机械感染深渊	Fossa d'infestazione Simulant
塞伯鲁斯感染深渊	Fossa d'infestazione Cerbero
仿生机械感染者	Infestatore Simulant
原始感染者	Infestatore Primordiali
塞伯鲁斯感染者	Infestatore Cerbero
利维坦感染者	Infestatore Leviatano
仿生机械幼虫	Larva Simulant
塞伯鲁斯幼虫	Larva Cerbero
特战队解放者	Liberatore Forze Speciali
米拉的劫掠者解放者	Liberatore Devastatori di Mira
泰拉多尔解放者	Liberatore Tyrador
尤摩扬解放者	Liberatore Umojani
仿生机械潜伏者巢穴	Antro delle Criptolische Simulant
塞伯鲁斯潜伏者巢穴	Antro delle Criptolische Cerbero
仿生机械潜伏者	Criptolisca Simulant
原始潜伏者	Criptolisca Primordiali
利维坦潜伏者	Criptolisca Leviatano
特战队劫掠者	Devastatore Forze Speciali
升级版劫掠者	Devastatore potenziato
米拉的劫掠者劫掠者	Devastatore Devastatori di Mira
泰拉多尔劫掠者	Devastatore Tyrador
尤摩扬劫掠者	Devastatore Umojani
特战队陆战队员	Marine Forze Speciali
米拉的劫掠者陆战队员	Marine Devastatori di Mira
泰拉多尔陆战队员	Marine Tyrador
尤摩扬陆战队员	Marine Umojani
特战队医疗运输机	Navetta medica Forze Speciali
米拉的劫掠者医疗运输机	Navetta medica Devastatori di Mira
泰拉多尔医疗运输机	Navetta medica Tyrador
尤摩扬医疗运输机	Navetta medica Umojani
特战队导弹塔	Torretta lanciamissili Forze Speciali
泰拉多尔导弹塔	Torretta lanciamissili Tyrador
黄金时代母舰	Nave madre Età dell'Oro
伊罕利母舰	Nave madre Ihan-rii
净化者母舰	Nave madre Purificatori
锻造母舰	Nave madre Forgiati
仿生机械异龙	Mutalisca Simulant
塞伯鲁斯异龙	Mutalisca Cerbero
利维坦异龙	Mutalisca Leviatano
锻造星灵枢纽	Nexus Forgiati
伊罕利星灵枢纽	Nexus Ihan-rii
仿生机械虫道网络	Rete Nydus Simulant
塞伯鲁斯虫道网络	Rete Nydus Cerbero
黄金时代侦测器	Osservatore Età dell'Oro
伊罕利侦测器	Osservatore Ihan-rii
净化者侦测器	Osservatore Purificatori
锻造侦测器	Osservatore Forgiati
黄金时代先知	Oracolo Età dell'Oro
伊罕利先知	Oracolo Ihan-rii
净化者先知	Oracolo Purificatori
锻造先知	Oracolo Forgiati
原始眼虫	Custode Primordiali
利维坦眼虫	Custode Leviatano
仿生机械王虫	Sorvegliante Simulant
原始王虫	Sorvegliante Primordiali
塞伯鲁斯王虫	Sorvegliante Cerbero
利维坦王虫	Sorvegliante Leviatano
仿生机械眼虫	Custode Simulant
塞伯鲁斯眼虫	Custode Cerbero
黄金时代凤凰	Fenice Età dell'Oro
伊罕利凤凰	Fenice Ihan-rii
净化者凤凰	Fenice Purificatori
锻造凤凰	Fenice Forgiati
锻造光子炮台	Cannone fotonico Forgiati
伊罕利光子炮台	Cannone fotonico Ihan-rii
黄金时代探机	Sonda Età dell'Oro
伊罕利探机	Sonda Ihan-rii
净化者探机	Sonda Purificatori
经典探机	Sonda Classica
锻造探机	Sonda Forgiati
锻造水晶塔	Pilone Forgiati
伊罕利水晶塔	Pilone Ihan-rii
仿生机械虫后	Regina Simulant
塞伯鲁斯虫后	Regina Cerbero
利维坦虫后	Regina Leviatano
白骨破坏者	Laceratore Osseo
仿生机械破坏者	Laceratore Simulant
原始破坏者	Laceratore Primordiali
塞伯鲁斯破坏者	Laceratore Cerbero
利维坦破坏者	Laceratore Leviatano
特战队铁鸦	Raven Forze Speciali
米拉的劫掠者铁鸦	Raven Devastatori di Mira
泰拉多尔铁鸦	Raven Tyrador
尤摩扬铁鸦	Raven Umojani
特战队反应堆	Reattore Forze Speciali
泰拉多尔反应堆	Reattore Tyrador
特战队收割者	Mietitore Forze Speciali
米拉的劫掠者收割者	Mietitore Devastatori di Mira
泰拉多尔收割者	Mietitore Tyrador
尤摩扬收割者	Mietitore Umojani
特战队精炼厂	Raffineria Forze Speciali
泰拉多尔精炼厂	Raffineria Tyrador
进化版蟑螂	Blatta evoluta
仿生机械蟑螂	Blatta Simulant
塞伯鲁斯蟑螂	Blatta Cerbero
仿生机械蟑螂温室	Colonia di Blatte Simulant
塞伯鲁斯蟑螂温室	Colonia di Blatte Cerbero
利维坦蟑螂	Blatta Leviatano
锻造机械研究所	Laboratorio robotico Forgiati
伊罕利机械研究所	Laboratorio robotico Ihan-rii
锻造机械台	Fabbrica robotica Forgiati
伊罕利机械台	Fabbrica robotica Ihan-rii
特战队SCV	SCV Forze Speciali
米拉的劫掠者SCV	SCV Devastatori di Mira
经典SCV	SCV Classico
泰拉多尔SCV	SCV Tyrador
尤摩扬SCV	SCV Umojani
特战队感应塔	Torre di rilevamento Forze Speciali
泰拉多尔感应塔	Torre di rilevamento Tyrador
黄金时代机械哨兵	Sentinella Età dell'Oro
净化者机械哨兵	Sentinella Purificatori
锻造机械哨兵	Sentinella Forgiati
锻造护盾充能器	Batteria di scudi Forgiati
伊罕利护盾充能器	Batteria di scudi Ihan-rii
米拉的劫掠者攻城坦克	Carro d'assedio Devastatori di Mira
突击队攻城坦克	Carro d'assedio commando
泰拉多尔攻城坦克	Carro d'assedio Tyrador
尤摩扬攻城坦克	Carro d'assedio Umojani
仿生机械分裂池	Pozza germinale Simulant
塞伯鲁斯分裂池	Pozza germinale Cerbero
仿生机械脊针爬虫	Impalatore Simulant
塞伯鲁斯脊针爬虫	Impalatore Cerbero
仿生机械尖塔	Pinnacolo Simulant
塞伯鲁斯尖塔	Pinnacolo Cerbero
仿生机械孢子爬虫	Lanciaspore Simulant
塞伯鲁斯孢子爬虫	Lanciaspore Cerbero
高级版追猎者	Persecutore avanzato
黄金时代追猎者	Persecutore Età dell'Oro
伊罕利追猎者	Persecutore Ihan-rii
净化者追猎者	Persecutore Purificatori
锻造追猎者	Persecutore Forgiati
锻造星门	Portale stellare Forgiati
伊罕利星门	Portale stellare Ihan-rii
特战队星港	Spazioporto Forze Speciali
泰拉多尔星港	Spazioporto Tyrador
特战队补给站	Deposito Forze Speciali
泰拉多尔补给站	Deposito Tyrador
仿生机械虫群宿主	Ospite dello Sciame Simulant
原始虫群宿主	Ospite dello Sciame Primordiali
塞伯鲁斯虫群宿主	Ospite dello Sciame Cerbero
利维坦虫群宿主	Ospite dello Sciame Leviatano
特战队科技实验室	Modulo tecnologico Forze Speciali
泰拉多尔科技实验室	Modulo tecnologico Tyrador
黄金时代风暴战舰	Tempesta Età dell'Oro
伊罕利风暴战舰	Tempesta Ihan-rii
净化者风暴战舰	Tempesta Purificatori
锻造圣堂武士文献馆	Archivio dei Templari Forgiati
伊罕利圣堂武士文献馆	Archivio dei Templari Ihan-rii
特战队雷神	Thor Forze Speciali
米拉的劫掠者雷神	Thor Devastatori di Mira
尤摩扬雷神	Thor Umojani
锻造光影议会	Concilio del Crepuscolo Forgiati
伊罕利光影议会	Concilio del Crepuscolo Ihan-rii
仿生机械雷兽窟	Caverna delle Ultralische Simulant
塞伯鲁斯雷兽窟	Caverna delle Ultralische Cerbero
仿生机械雷兽	Ultralisca Simulant
塞伯鲁斯雷兽	Ultralisca Cerbero
利维坦雷兽	Ultralisca Leviatano
特战队维京战机	Viking Forze Speciali
米拉的劫掠者维京战机	Viking Devastatori di Mira
星战维京战机	Viking Mech
泰拉多尔维京战机	Viking Tyrador
尤摩扬维京战机	Viking Umojani
仿生机械飞蛇	Vipera Simulant
原始飞蛇	Vipera Primordiali
利维坦飞蛇	Vipera Leviatano
黄金时代虚空辉光舰	Lancia del Vuoto Età dell'Oro
伊罕利虚空辉光舰	Lancia del Vuoto Ihan-rii
净化者虚空辉光舰	Lancia del Vuoto Purificatori
锻造虚空辉光舰	Lancia del Vuoto Forgiati
黄金时代折跃棱镜	Prisma dimensionale Età dell'Oro
伊罕利折跃棱镜	Prisma dimensionale Ihan-rii
萨古拉斯折跃棱镜	Prisma dimensionale di Shakuras
净化者折跃棱镜	Prisma dimensionale Purificatori
锻造折跃棱镜	Prisma dimensionale Forgiati
特战队寡妇雷	Mina Widow Forze Speciali
米拉的劫掠者寡妇雷	Mina Widow Devastatori di Mira
泰拉多尔寡妇雷	Mina Widow Tyrador
尤摩扬寡妇雷	Mina Widow Umojani
黄金时代狂热者	Zelota Età dell'Oro
伊罕利狂热者	Zelota Ihan-rii
锻造狂热者	Zelota Forgiati
仿生机械跳虫	Zergling Simulant
塞伯鲁斯跳虫	Zergling Cerbero
利维坦跳虫	Zergling Leviatano
玩家设置	Impostazioni giocatore
启动《星际争霸II》时发生一个错误。请重试。	Si è verificato un errore durante l'avvio di StarCraft II. Riprova.
无法运行《星际争霸II》。缺失必要文件。请重装《星际争霸II》。	Impossibile eseguire StarCraft II. Mancano alcuni file necessari. Reinstalla StarCraft II.
无法运行《星际争霸II》64位客户端。处理器未达到系统最低需求。需要支持CMPXCHG16B指令。请运行32位客户端。	Impossibile eseguire il client a 64 bit di StarCraft II. Il processore non soddisfa i requisiti minimi di sistema. Supporto istruzioni CMPXCHG16B necessario. Eseguire il client a 32 bit.
无法运行《星际争霸II》。处理器未达到系统最低需求。需要支持SSE/SSE2。	Impossibile eseguire StarCraft II. Il processore non soddisfa i requisiti minimi di sistema. Supporto SSE/SSE2 necessario.
阿格瑞亚(丛林)	Agria (giungla)
艾尔(城区)	Aiur (urbano)
阿佛纳斯(空间平台)	Avernus (piattaforma spaziale)
锡昂港  (废土)	Port Zion (desolazione)
人类基地建造	Costruzione delle basi terran
人类补给	Rifornimenti terran
Assets\Textures\ui_aicommand_build_late_airunits.dds	Assets\Textures\ui_aicommand_build_late_airunits.dds
<s val="@@StandardTooltipHeader">后期：建造空军</s><n/>	<s val="@@StandardTooltipHeader">Fase avanzata - Unità aeree</s><n/>
专注于建造毁灭性的空中单位。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：战列巡航舰、女妖、维京战机<n/>异虫：巢虫领主、异龙、腐化者<n/>星灵：航母、虚空辉光舰、凤凰</c><n/><n/><c val="0080ff">只能为每个电脑玩家选择一种后期战术</c><n/>激活：PLAYERS	Si concentra sulla produzione di unità aeree devastanti.<n/><n/>Unità d'esempio:<n/><c val="FFFFFF">T: Incrociatori, Banshee, Viking<n/>Z: Patriarchi, Mutalische, Corruttori<n/>P: Portastormo, Lance del Vuoto, Fenici<n/><n/><c val="0080ff">È ammessa una sola selezione da fase avanzata per I.A.</c><n/>Attiva: PLAYERS
Assets\Textures\ui_aicommand_build_late_basicunits.dds	Assets\Textures\ui_aicommand_build_late_basicunits.dds
<s val="@@StandardTooltipHeader">后期：建造基础单位</s><n/>	<s val="@@StandardTooltipHeader">Fase avanzata - Unità base</s><n/>
Assets\Textures\ui_aicommand_build_late_casterunits.dds	Assets\Textures\ui_aicommand_build_late_casterunits.dds
<s val="@@StandardTooltipHeader">后期：建造辅助单位</s><n/>	<s val="@@StandardTooltipHeader">Fase avanzata - Unità tattiche</s><n/>
专注于建造骚扰型或辅助性的单位。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：幽灵、铁鸦<n/>异虫：感染者<n/>星灵：机械哨兵、黑暗圣堂武士、高阶圣堂武士</c><n/><n/><c val="0080ff">只能为每个电脑玩家选择一种后期战术</c><n/>激活：PLAYERS	Si concentra sulla produzione di unità che disturbano o indeboliscono il nemico.<n/><n/>Unità d'esempio:<n/><c val="FFFFFF">T: Fantasmi, Raven<n/>Z: Infestatori<n/>P: Sentinelle, Templari oscuri, Alti templari <n/><n/><c val="0080ff">È ammessa una sola selezione da fase avanzata per I.A.</c><n/>Attiva: PLAYERS
Assets\Textures\ui_aicommand_build_late_advancedunits.dds	Assets\Textures\ui_aicommand_build_late_advancedunits.dds
<s val="@@StandardTooltipHeader">后期：建造高级单位</s><n/>	<s val="@@StandardTooltipHeader">Fase avanzata - Unità avanzate</s><n/>
专注于建造最强大的单位。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：攻城坦克、雷神<n/>异虫：雷兽、巢虫领主<n/>星灵：执政官、巨像<n/><n/><c val="0080ff">只能为每个电脑玩家选择一种后期战术</c><n/>激活：PLAYERS	Si concentra sulla produzione delle unità più potenti.<n/><n/>Unità d'esempio:<n/><c val="FFFFFF">T: Carri d'assedio, Thor<n/>Z: Ultralische, Patriarchi<n/>P: Arconti, Colossi<n/><n/><c val="0080ff">È ammessa una sola selezione da fase avanzata per I.A.</c><n/>Attiva: PLAYERS
<c val="ff0000">开局战术已禁用。<n/>所有AI都进入到后期。</c>	<c val="ff0000">Tipologie d'apertura disabilitate.<n/>Tutte le I.A. hanno raggiunto la fase avanzata della partita.</c>
Assets\Textures\ui_aicommand_build_open_economicfocus.dds	Assets\Textures\ui_aicommand_build_open_economicfocus.dds
<s val="@@StandardTooltipHeader">开局战术：专注经济</s><n/>	<s val="@@StandardTooltipHeader">Fase iniziale - Economia</s><n/>
Assets\Textures\ui_aicommand_build_open_aggressivepush.dds	Assets\Textures\ui_aicommand_build_open_aggressivepush.dds
<s val="@@StandardTooltipHeader">开局战术：压制</s><n/>	<s val="@@StandardTooltipHeader">Fase iniziale - Aggressività</s><n/>
