非晶态装甲云	Blindagem Nebulosa Amorfa
无效演算体信息：信息[MSG]	Mensagem de agente inválida: Msg[MSG]
Attempt to send non-USER message: Msg[MSG]	Tentativa de enviar mensagem que não é de USER: Msg[MSG]
无法创建演算体域	Não foi possível criar campo de ação do agente
Could not create specified actor [ACTOR] while creating actor scope.	Não foi possível criar o agente especificado [AGENTE] durante a criação do escopo do agente.
%1动画长度查询未完成。请先执行AnimLengthQueryWait以确保所有查询都已完成。	A consulta de extensão da animação ainda não está terminada para a função %1.  Invoque AnimLengthQueryWait primeiro para ter certeza de que todas as consultas terminaram.
无权调用'FUNC'	Chamar 'FUNC' não está autorizado
无法设置分数值%1因为它是一个计算出来的值。操作是“%2”并且总计值为：%3	Impossível definir valor %1 porque é um valor calculado. A operação é "%2" e os valores combinados são: %3
无法找到目录条目'NAME'	Entrada de catálogo 'NAME' não encontrada
无法读取目录字段'NAME' (ERROR)	Campo de catálogo 'NAME' não pôde ser lido (ERROR)
目录字段'NAME'无法作为CFlags或CFlagArray对象读取 (ERROR)	Campo "NOME" do catálogo não pode ser lido como objeto CFlags ou CFlagArray (ERRO)
目录字段"NAME"无法写入 (ERROR)	Campo 'NOME' do catálogo não pode ser editado (ERRO)
本地常量不统一：NAME	Constante nativa não é 'const': NAME
无法找到本地常量：NAME	Constante nativa não foi encontrada: NAME
本地常量不为整数：NAME	Constante nativa não é inteira: NAME
本地常量值不匹配：NAME(内部＝VALINT,外部＝VALEXT)	Divergência no valor da constante nativa: NAME (interno = VALINT, externo = VALEXT)
无法使用'FUNC'创建'OBJ'	Impossível criar 'OBJ' em 'FUNC'
事件响应函数'FUNC'没有匹配的事件	A função de resposta a evento 'FUNC' não tem nenhum evento correspondente
'FUNCTION'出现触发器错误：ERROR	Erro de ativador em 'FUNCTION': ERROR
无法从'FUNC'的参数中获取'OBJ'(值：VALUE)无法从'FUNC'参数中获取'OBJ' (值：VALUE)	Impossível obter 'OBJ' do parâmetro 'FUNC' (valor: VALUE)
无法找到快捷键方案%1，已使用%2。	Não foi possível encontrar perfil de atalho %1, usou-se %2 no lugar.
指定的技能ID无效：'ID'	Id de habilidade especificada inválida: 'ID'
'FUNC'中出现无效的ActorGalaxyRefId	ActorGalaxyRefId inválido encontrado em "FUNC"
Invalid alert id specified: 'ID'	Id de alerta especificada inválida: 'ID'
无法为'VALUE'设置值'NAME'	Impossível definir valor de 'NOME' para 'VALOR'
指定的行为ID无效：'ID'	Id de comportamento especificada inválida: 'ID'
指定的按钮ID无效：'ID'	Id de botão especificada inválida: 'ID'
指定的效果ID无效：'ID'	id de efeito especificada inválida: 'ID'
'%2'中出现无效的'%1'句柄。	Identificação inválida aplicada a "%1" em "%2"
无效的位置：'LOC'	Posição inválida: 'LOC'
指定了无效的域ID：'ID'	Id de escopo especificada inválida: "ID"
Log file too large: FILE (SIZEMB MB max)	Arquivo de registro muito grande: FILE (SIZEMB MB máx)
请求的声音文件ID未知：'NAME'	ID  de som desconhecido solicitado: 'NAME'
Nested loops of IntLoopBegin/PickEachInteger not supported	Loops encaixados de IntLoopBegin/PickEachInteger não suportados
Nested loops of PlayerGroupLoopBegin/PickEachPlayerInGroup not supported	Loops encaixados de PlayerGroupLoopBegin/PickEachPlayerInGroup não suportados
Nested loops of UnitGroupLoopBegin/PickEachUnitInGroup not supported	Loops encaixados de UnitGroupLoopBegin/PickEachUnitInGroup não suportados
触发器调试窗口无法在全屏模式下打开	A janela de depuração de ativador não pode ser aberta no modo tela cheia
Attempted to use an integer loop function, 'FUNC', without first calling IntLoopBegin/PickEachInteger	Tentativa de usar uma função de loop integral, 'FUNC', sem antes chamar IntLoopBegin/PickEachInteger
循环函数只在触发器逻辑中有效，'FUNC'。	Funções de loop só são válidas dentro de lógica de ativador, 'FUNC'.
Attempted to use a player group loop function, 'FUNC', without first calling PlayerGroupLoopBegin/PickEachPlayerInGroup	Tentativa de usar uma função de loop de grupo de jogadores, 'FUNC', sem antes chamar PlayerGroupLoopBegin/PickEachPlayerInGroup
Attempted to use a unit group loop function, 'FUNC', without first calling UnitGroupLoopBegin/PickEachUnitInGroup	Tentativa de usar uma função de loop de grupo de unidades, 'FUNC', sem antes chamar UnitGroupLoopBegin/PickEachUnitInGroup
FUNC'中的参数超出界限(值：VALUE,最小：MIN,最大：MAX)	Parâmetro fora do limite em 'FUNC' (valor: VALUE, mín: MIN, máx: MAX)
路径NAME无效	NAME do caminho inválido
经过ATTEMPTS尝试后，无法在区域：'NAME'找到随机点	O ponto aleatório da região 'NAME' não pôde ser encontrado depois de ATTEMPTS tentativas
Script compile error: ERROR	Erro de compilação no script: ERROR
本局游戏中该错误的最终报告。	Relatório final deste erro no jogo.
脚本读取失败：ERROR	Falha no carregamento de script: ERROR
Script runtime error: ERROR	Erro de execução no script: ERROR
无法设置'UNIT'的能量恢复，恢复倍率为0。	Não foi possível definir regeneração de energia de unidade em "UNIT", multiplicador é zero.
无法设置'UNIT'的生命恢复，恢复倍率为0。	Não foi possível definir regeneração de vida de unidade em "UNIT", multiplicador é zero.
无法设置'UNIT'的护盾恢复，恢复倍率为0。	Não foi possível definir regeneração de escudo de unidade em "UNIT", multiplicador é zero.
无法支付'FUNC'参数中指定的花费	Não foi possível arcar com custo de "OBJ" a partir do parâmetro "FUNC"
状态事件中的数据条目过多(最多COUNT)	Muitas entradas de dados em evento de atributo (máx. COUNT)
状态统计数据过多(最多COUNT)	Atributos demais (máx. COUNT)
执行函数%1时，动画查询次数已过多。(最多%2)	Muitas consultas de animação já realizadas (máx. %2) ao invocar a função %1
DIRECTORY中的日志文件太多 (最多COUNT个)	Muitos arquivos de registros dentro de DIRECTORY (COUNT máx)
用于路径显示的路点过多(最多COUNT)	Marcos de senda de exibição de trajetória demais (máx. COUNT)
运行的电影片段过多 (最多COUNT个)	Muitas sequências cinemáticas executadas (CONTAGEM máxima)
声音文件创建过多(最多COUNT个)	Excesso de sons criados (no máximo COUNT)
正在尝试获取一个类型为'PROPERTYTYPE'的属性，该类型不是正确类型。	Tentando obter uma propriedade do tipo 'PROPERTYTYPE', que não é o tipo correto.
正在尝试为类型'PROPERTYTYPE'赋一个属性值，该类型不是正确类型。	Tentando definir uma propriedade para o tipo 'PROPERTYTYPE', que não é o tipo correto.
单位'UNIT'没有技能命令'ABILCMD'	A unidade 'UNIT' não tem o comando de habilidade 'ABILCMD'
指定的单位类型无效: 'TYPE'	Tipo especificado de unidade inválido: 'TYPE'
对话状态 (STATE)	Estado da conversa (STATE)
事件：EVENT触发FUNCTION	Evento: FUNCTION acionada por EVENT
常规事件(NAME)	Evento Genérico (NOME)
地图初始化	Inicialização do mapa
玩家AI波次(PLAYER, WAVE)	Onda I.A. de Jogador (JOGADOR, ONDA)
玩家结盟(PLAYER, ALLIANCE)	Aliança de jogador (PLAYER, ALLIANCE)
聊天消息(PLAYER,TEXT)	Mensagem de bate-papo (PLAYER, TEXT)
剩余玩家(PLAYER, RESULT)	Jogador saiu (PLAYER, RESULT)
玩家属性(PLAYER,PROPERTY)	Propriedade de jogador (PLAYER, PROPERTY)
玩家跳过触发器(PLAYER, TRIGGER)	Jogador Pulou o Gatilho (JOGADOR, GATILHO)
计时器 (DURATION, 周期： PERIODIC)	Timer (DURATION, Periódico: PERIODIC)
触发器运行作弊	Ativar Trapaça de Corrida
触发器执行	Ativar Executar
杂项触发器执行	Ativar Executar Misc
单位技能自动施放变更(UNIT, ABILITY, CHANGE)	Mudar habilidade de lançamento automático de unidade (UNIDADE, HABILIDADE, MUDAR)
单位技能阶段(UNIT, ABILITY, STAGE)	Estágio de habilidade de unidade (UNIT, ABILITY, STAGE)
单位所获目标(UNIT, TARGET)	Alvo adquirido por unidade (UNIT, TARGET)
被攻击的单位(UNIT, TARGET, WEAPON)	Unidade atacada (UNIT, TARGET, WEAPON)
已改变的单位属性(UNIT, PLAYER, BEHAVIOR, POINTS)	Atributo de unidade alterado (UNIT, PLAYER, BEHAVIOR)
单位进入空闲状态(UNIT, IDLE)	Unidade torna-se ociosa (UNIT, IDLE)
单位装载 (UNIT,CARGO,STATE)	Carga da unidade (UNIT, CARGO, STATE)
单位更换了所有者 (UNIT, OLDPLAYER --> NEWPLAYER)	Unidade mudou de Dono (UNIT, OLDPLAYER --> NEWPLAYER)
被点击的单位 (UNIT, PLAYER)	Unidade clicada (UNIT, PLAYER)
单位行为吸收伤害 (UNIT, BEHAVIOR, AMOUNT, SOURCE)	Comportamento de unidade absorveu dano (UNIDADE, COMPORTAMENTO, QUANTIDADE, FONTE)
受伤/死亡单位(UNIT, AMOUNT, ITEM)	Unidade danificada/morta (UNIT, AMOUNT, ITEM)
高亮单位 (PLAYER, UNIT, STATE)	Unidade destacada (PLAYER, UNIT, STATE)
单位物品栏变更 (PLAYER, UNIT, TYPE, ITEM, TARGET)	Mudança de inventário de unidade (JOGADOR, UNIDADE, TIPO, ITEM, ALVO)
已命令单位 (UNIT, ORDER)	Unidade ordenada (UNIT, ORDER)
单位能量提升 (UNIT, POWERU)	Unidade energizada (UNIT, POWERUP)
单位进度 (UNIT, TYPE, STATE, OBJECT)	Andamento de unidade (UNIT, TYPE, STATE, OBJECT)
装备弹仓	Carregar arma
完成	Completo
{无}	{none}
重载单位	Retreinar carga
未知舞台	Estágio desconhecido
开始	Início
未知类型	Tipo desconhecido
单位属性改变(UNIT, PROPERTY)	Propriedade de unidade alterada (UNIT, PROPERTY)
单位范围 (UNIT, FROM, RANGE, STATE)	Alcance de unidade (UNIT, FROM, RANGE, STATE)
单位区域 (UNIT, REGION, STATE)	Região da unidade (UNIT, REGION, STATE)
已移除单位 (UNIT)	Unidade removida (UNIT)
单位已复活 (UNIT)	Unidade revivida (UNIT)
已选单位 (PLAYER, UNIT, STATE)	Unidade selecionada (PLAYER, UNIT, STATE)
单位已开始攻击(UNIT, TARGET, WEAPON)	Unidade iniciou ataque (UNIT, TARGET, WEAPON)
范围内单位目标 (UNIT)	Unidade alvo no alcance (UNIT)
单位获得经验 (UNIT, PLAYER, BEHAVIOR, XPDELTA, XPTOTAL, LEVEL)	Unidade ganhou experiência (UNIT, PLAYER, BEHAVIOR, XPDELTA, XPTOTAL, LEVEL)
未知事件	Evento desconhecido
运行FUNCTION(事件：EVENT)	Executando FUNÇÃO (Evento: EVENT))
Invalid Global Variable	Variável Global Inválida
无效的单位属性获取：PROPSTRING (PROPNUMBER)	Get de acessório de unidade inválido: PROPSTRING (PROPNUMBER)
无效的单位属性获取类型：PROPSTRING (PROPNUMBER)	Tipo de get acessório de unidade inválido: (PROPNUMBER)
无效的单位属性设置：PROPSTRING (PROPNUMBER)	Conjunto de acessório de unidade inválido: (PROPNUMBER)
添加/移除断点	Adicionar/Remover Pontos de Quebra
添加表	Adicionar Observar
跳转执行至此	Saltar Execução Aqui
继续执行	Continuar Execução
运行至此	Correr para Cá
进入并单步执行函数	Função Entrar
跳出并单步执行函数	Função Sair
越线步骤	Ultrapassar a Linha
禁用所有断点	Desativar Todos os Pontos de Quebra
禁用断点	Desativar Ponto de Quebra
启用所有断点	Ativar Todos os Pontos de Quebra
启用断点	Ativar Ponto de Quebra
启用/禁用断点	Habilitar/Desabilitar Pontos de Quebra
展开/折叠	Expandir/Demolir
清除	Limpar
复制	Copiar
显示错误	Exibir erros
显示事件	Exibir eventos
显示事件(库)	Exibir eventos (bibliotecas)
显示触发信息	Exibir ativadores
显示触发器(库)	Exibir ativadores (bibliotecas)
全选	Selecionar tudo
显示游戏时间	Exibir tempo de jogo
显示游戏循环	Exibir ciclo de jogo
没有时间标签	Sem carimbo de data e hora
显示实时时间	Exibir tempo real
显示用户输出	Exibir Saída de Usuário
显示变量	Exibir variáveis
移除所有断点	Remover Todos os Pontos de Quebra
移除断点	Remover Ponto de Quebra
移除表	Remover Observar
运行触发器	Executar ativador
10秒	10 segundos
30秒	30 segundos
5分钟	5 minutos
缩放至合适大小	Caber no tamanho
显示常量	Exibir constantes
显示外部信息	Exibir externo
显示固有函数	Exibir Nativos
显示子调用	Exibir SubChamadas
切换断点	Habilitar Ponto de Quebra
切换十六进制视图	Habilitar Visão Hex
查看ASM	Visualizar ASM
查看断点	Visualizar Ponto de Quebra
查看脚本	Visualizar script
查看选中内容	Visualizar seleção
中央视图面板:	Painel de Visão Central:
左侧视图面板:	Painel de Visão Esquerdo:
右侧视图面板:	Painel de Visão Direito:
军费	Créditos
课程得分	Curriculum Score
生命值设置	Desvantagem
矿物	Minérios
补给上限	Limite de suprimentos
基地:	Base:
函数:仅基地	Função: Somente Base
本地:	Nativo:
脚本:	Script:
无效参数	Invalid-Ref
有效参数	Valid-Ref
c: (X, Y), r: RADIUS	c: (X, Y), r: RADIUS
Complex (X、Y)	Complexo (X, Y)
c: (X, Y), w: WIDTH, h: HEIGHT	c: (X, Y), w: LARGURA, h: ALTURA
min: (MINX, MINY), max: (MAXX, MAXY)	mín: (MINX, MINY), máx: (MAXX, MAXY)
文档:	Arquivo:
线:	Linha:
调用堆栈太深，无法显示	Pilha de Chamada grande demais para exibir
无效的变量	Variável Inválida
全局::	Global ::
全局::未知	Global :: Desconhecida
全局Var	VarGlobal
无效的函数？	Função Inválida?
无效的位置？	Localização Inválida?
//无文档载入。	// Sem arquivo carregado.
//保存/加载或录像倒退后无法调试脚本	//Impossível depurar os scripts depois de salvar/carregar ou retroceder o replay.
不在断点上。	Não no Ponto de Quebra
不在当前调用栈上	Não na pilha de chamada atual
脚本代码：	Código de Script:
内存 - 代码：MEMCODE%，全局：MEMGLOB%	Memória - Código: MEMCODE%, Globais: MEMGLOB%
，本地：MEMLOC% (深度：DEPTH)	, Locais: MEMLOC% (Profundidade: DEPTH)
AI时间：TIME	Tempo de I.A.: TEMPO
游戏时间: TIME	Tempo de jogo: TEMPO
(已暂停)	(Pausado)
地址	Endereço
位置	Localização
条件	Condição
函数/全局	Função / Global
偏移	Deslocamento
值为引用	IsRef
StackPos	StackPos
函数分析	Perfil da função
队列	Fila
触发器分析	Perfil do ativador
脚本代码	Código de Script
触发器调试	Depuração de ativador
触发器库无法初始化：	Biblioteca de ativador não pode ser inicializada:
COUNT个单位	COUNT unidades
加速	Aceleração
能量	Energia
能量最大	Energia máx
能量%	Energia %
能量回复	Regeneração de energia
生命值回复	Regeneração de vida
最高速度	Velocidade máxima
当前速度	Velocidade atual
残余	Sucata
最大残余	Sucata - Máx
护盾最大值	Escudos máx
护盾%	Escudos %
护盾回复	Escudos - Regeneração
转换率	Taxa de giro
未知数据集文件	Banco desconhecido
无效存储！	Memória inválida!
未知玩家	Jogador desconhecido
未知属性	Propriedade desconhecida
未知区域	Região desconhecida
未知声音	Som desconhecido
未知线程	Linha de execução desconhecida
未知触发器	Ativador desconhecido
未知单位	Unidade desconhecida
ABIL (INDEX)	ABIL (INDEX)
targ:(X, Y), dist:DIST, aoa:AOA, rot:ROT	alvo:(X, Y), dist:DIST, aoa:AOA, rot:ROT
'VALUE'	'VALUE'
a:ALPHA、r:RED、g:GREEN、b:BLUE	a:ALPHA, r:RED, g:GREEN, b:BLUE
(空)	(vazio)
FALSE	FALSO
无效	inválido
(Y，X)	(X, Y)
玩家：PLAYER，区域[ REGION ]	Jogador: PLAYER, Região [ REGION ]
ELAPSED / DURATION	ELAPSED / DURATION
(expired)	(expirado)
(paused)	(pausado)
(+)	(+)
TRUE	verdadeiro
NAME(玩家 PLAYER) (ID TAG)	NOME (Jogador JOGADOR) (Id TAG)
req: REQUIRED, excl: EXCLUDED	req: REQUIRED, excl: EXCLUDED
数据集文件 (NAME; 玩家: PLAYER)	Banco (NOME; Jogador: JOGADOR)
Cinematic (ID)	Cinemática (ID)
对话 (ID)	Conversa (ID)
网络(玩家： PLAYERS)	Rede (jogador: PLAYERS)
头像 (ID)	Retrato (ID)
队列(位置： POS)	Fila (Posição: POS)
声音：SOUND	Som: SOUND
音轨	Trilha sonora
TIME	TIME
TIME (AI)	TIME (IA)
TIME (游戏)	TIME (jogo)
TIME (现实)	TIME (real)
通讯 (ID)	Transmissão (ID)
触发器执行(TRIGGER， 完成： DONE)	Execução de ativador (TRIGGER, pronto: DONE)
单位空闲： UNIT (Idle： IDLE)	Unidade ociosa: UNIT(Ociosa: IDLE)
单位组空闲 (Count： COUNT/TOTAL， Idle： IDLE)	Grupo de unidade ocioso (Contagem: COUNT/TOTAL, Ocioso: IDLE)
脚本编译警告：ERROR	Aviso de compilação de script: ERROR
1024x768 (4:3)	1024x768 (4:3)
1280x1024 (5:4)	1280x1024 (5:4)
1280x720 (16:9)	1280x720 (16:9)
1280x960 (4:3)	1280x960 (4:3)
1600x1200 (4:3)	1600x1200 (4:3)
1600x900 (16:9)	1600x900 (16:9)
1920x1080 (16:9)	1920x1080 (16:9)
1920x1200 (16:10)	1920x1200 (16:10)
2560x1440 (16:9)	2560x1440 (16:9)
3840x2160 (16:9)	3840x2160 (16:9)
3D	3D
480x360 (4:3)	480x360 (4:3)
640x360 (16:9)	640x360 (16:9)
640x480 (4:3)	640x480 (4:3)
640x512 (5:4)	640x512 (5:4)
800x600 (4:3)	800x600 (4:3)
960x540 (16:9)	960x540 (16:9)
960x768 (5:4)	960x768 (5:4)
返回主命令面板。	Voltar para os comandos principais.
高级AI指令	Ordens de I.A. avançada
额外AI友方信标/命令。	Comandos/sinalizadores adicionais de Aliados I.A.
<s val="@@StandardTooltipHeader">部队</s><n/>	<s val="@@StandardTooltipHeader">Exército</s><n/>
命令部队攻击或防御一个指定目标位置。如果你指定一个友方单位，AI部队将会跟随该单位并实施保护。	Ordena que um exército ataque ou defenda o local alvo. Se você escolher um alvo aliado, o exército I.A. seguirá a unidade e a defenderá.
投入全部兵力袭击<c val="ff6000">(部队战术)</c>	Ataque Geral <c val="ff6000">(Estratégia de Exército)</c>
派遣所有部队攻击一个地点。<n/>甚至意味着葬送部队。<n/><c val="ff6000">每次只能激活一项"部队战术"。</c>	Ataque intensivo a um local.<n/>Mesmo que isso implique levar unidades ao suicídio.<n/><c val="ff6000">Somente uma "Estratégia de Exército" pode estar ativa de cada vez.</c>
电脑控制	ComputerControl
AI将会按照其意愿进行攻击和防御。<n/>	I.A. atacará e defenderá segundo seus próprios critérios.<n/>
<s val="@@StandardTooltipHeader">取消</s><n/>	<s val="@@StandardTooltipHeader">Cancelar</s><n/>
<s val="@@StandardTooltipHeader">删除</s><n/>	<s val="@@StandardTooltipHeader">Apagar</s><n/>
删除所有此类信标。	Apaga todos os sinais deste tipo.
删除所有此类信标。<n/><c val="ff0000">没有放置此类信标。</c>	Apagar todos os sinais deste tipo.<n/><c val="ff0000">Nenhum sinal deste tipo foi colocado.</c>
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   放置信标<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Colocar sinalizador<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancelar
放置BEACON信标	Coloca o sinalizador SINALIZADOR
取消动作并返回主命令面板。	Cancela a ação e retorna aos comandos principais.
<s val="@@StandardTooltipHeader">建造选项</s></n>	<s val="@@StandardTooltipHeader">Opções de construção</s></n>
为AI选择建造选项。	Selecione opções de construção para a I.A.
为AI选择建造选项<n/><c val="ff0000">已禁用</c>	Selecione opções de construção para a I.A.<n/><c val="ff0000">Desabilitado</c>
所有AI玩家	Todos os jogadores I.A.
无效玩家？	Jogador inválido?
指挥中：PLAYER	Comandando: JOGADOR
占领	Tomar
派遣一个侦察单位来获得一片区域的永久视野和/或占领一座萨尔纳加瞭望塔。	Envia um batedor para ver permanentemente uma área e/ou tomar uma Torre Xel’Naga.
<s val="@@StandardTooltipHeader">清除所有信标</s><n/>	<s val="@@StandardTooltipHeader">Limpar todos os sinalizadores</s><n/>
清除所有信标并返回AI全自动模式。	Limpa todos os sinalizadores e devolve o controle total à I.A.
清除所有信标并返回AI全自动模式。<n/><c val="ff0000">无已放置信标，AI正处于全自动模式中。</c>	Limpa todos os sinalizadores e devolve o controle total à I.A.<n/><c val="ff0000">Nenhum sinalizador colocado. A I.A. está controlando as próprias forças.</c>
开启AI沟通 AICOMMKEY<n/><n/>直接快捷键：<n/>部队 ARMYKEY  侦察 SCOUTKEY<n/>侦测 DETECTKEY  扩张 EXPANDKEY	Abrir comunicações da A.I. AICOMMKEY<n/>-----------------------------------------------------------<n/>Teclas de atalho:<n/>Exército ARMYKEY       Explorar SCOUTKEY<n/>Detectar DETECTKEY  Expandir EXPANDKEY
盟友状态和选择<n/>当前此电脑盟友的状态。<n/>点击这里进入此盟友的信标模式。	Status e seleção do aliado<n/>Status atual deste aliado computador.<n/>Clicar aqui ativará o modo sinalizador para este aliado específico.
取消还未响应的电脑盟友发出的资源请求。	Cancelar solicitação de recurso pendente de aliados do computador.
离开信标模式并选择你的DROPOFF。再次按下将在所有DROPOFF中循环切换。你也可以手动选择任何单位来离开信标模式。	Sair do modo sinalizador e escolher uma de suas DESISTÊNCIAS. Pressionar novamente fará a seleção circular entre todas as DESISTÊNCIAS. Você pode também selecionar manualmente qualquer unidade para sair do modo sinalizador.
信标模式	ModoSinal
进入信标模式，你就能和你的电脑盟友产生互动，包括放置信标，让他们执行。	Entre no Modo Sinalizador onde você pode interagir com seus aliados do computador, incluindo colocar sinais para serem obedecidos.
请求资源：	Solicitação de recursos:
点击请求晶体矿，电脑盟友将尽快响应你。	Clique para solicitar minérios, aliados do computador recolherão o mais rápido possível.
未响应的晶体矿和瓦斯需求，电脑盟友会尽快响应此需求。	Minerais e vespeno adicionais requisitados. Os computadores aliados coletarão o mais rápido possível.
点击请求瓦斯，电脑盟友将尽快响应你。	Clique para solicitar vespeno, aliados do computador recolherão o mais rápido possível.
使用以上按钮来选中需要下达命令的AI。	Use os botões acima para dar ordens à I.A.
<s val="@@StandardTooltipHeader">防御</s>  <c val="ff6000">(部队战术)</c>	<s val="@@StandardTooltipHeader">Defender</s>  <c val="ff6000">(Estratégia de exército)</c>
防守一大片区域。<c val="ff6000">每次只能激活一项"部队战术"。</c>	Defende uma grande área geral.<n/><c val="ff6000">Somente uma "Estratégia de Exército" pode estar ativa de cada vez.</c>
<s val="@@StandardTooltipHeader">侦测</s><n/>	<s val="@@StandardTooltipHeader">Detectar</s><n/>
命令AI侦测指定目标位置。如果你指定一个友方单位，AI侦测单位将会跟随该单位。	Ordena que a I.A. faça detecção no local alvo. Se você escolher um alvo aliado, o detectora da I.A. seguirá a unidade.
<s val="@@StandardTooltipHeader">退出</s><n/>	<s val="@@StandardTooltipHeader">Sair</s><n/>
退出AI沟通。<n/><c val="ff6000">你也可以右键点击任意位置或选中任意单位来退出该模式。</c>	Sai da comunicação com I.A.<n/><c val="ff6000">Você também pode clicar com o botão direito no mundo ou selecionar qualquer unidade para sair deste modo.</c>
<s val="@@StandardTooltipHeader">扩张</s><n/>	<s val="@@StandardTooltipHeader">Expandir</s><n/>
命令AI尽快扩张指定目标位置。	Ordena a I.A. a expandir-se para o local alvo o mais rápido possível.
<s val="@@StandardTooltipHeader">前往</s><n/>	<s val="@@StandardTooltipHeader">Ir para</s><n/>
查看下一个此类信标。	Vê o próximo sinal deste tipo.
查看下一个此类信标。<n/><c val="ff0000">没有放置此类信标。</c>	Ver o próximo sinal deste tipo.<n/><c val="ff0000">Nenhum sinal deste tipo foi colocado.</c>
<s val="@@StandardTooltipHeader">骚扰</s><n/>  <c val="ff6000">(部队战术)</c>	<s val="@@StandardTooltipHeader">Enfrentar cautelosamente</s><n/>  <c val="ff6000">(Estratégia de exército)</c>
小心翼翼地攻击一个地点，在必要时撤退。<n/>这个模式也可以在需要防御某个区域时应用。<n/><c val="ff6000">每次只能激活一项"部队战术"。</c>	Ataca cautelosamente um local, fugindo quando necessário.<n/>Este modo também pode partir para defender outros locais.<n/><c val="ff6000">Somente uma "Estratégia de Exército" pode estar ativa de cada vez.</c>
<s val="@@StandardTooltipHeader">闲置</s><n/>  <c val="ff6000">(部队战术)</c>	<s val="@@StandardTooltipHeader">Ocioso</s><n/>  <c val="ff6000">(Estratégia de exército)</c>
命令AI在指定位置进行游荡，AI在别处需要时仍会帮助防守，但在此模式下不会发动进攻。<n/><c val="ff6000">每次只能激活一项"部队战术"。</c>	Ordena a I.A. a ficar neste local específico. A I.A. ajudará a defender onde for necessário, mas não atacará nesse modo.<n/><c val="ff6000">Somente uma "Estratégia de Exército" pode estar ativa de cada vez.</c>
<s val="@@StandardTooltipHeader">需要晶体矿</s><n/>	<s val="@@StandardTooltipHeader">Solicitar minérios</s><n/>
向任意AI提出晶体矿需求。	Solicitar minérios de qualquer I.A.
向任意AI提出晶体矿需求。<n/><c val="ff0000">资源交易仍不可用。</c>	Solicitar minérios de qualquer I.A.<n/><c val="ff0000">Troca de recursos ainda não está disponível.</c>
AI#	AI#
<s val="@@StandardTooltipHeader">建造集结</s><n/>	<s val="@@StandardTooltipHeader">Concentração de construção</s><n/>
为AI训练的新部队单位设定建造集结点。	Define um ponto de concentração de construção para novas unidades do exército da I.A.
<s val="@@StandardTooltipHeader">侦察</s><n/>	<s val="@@StandardTooltipHeader">Reconhecer</s><n/>
命令AI侦察一片区域或占领附近的萨尔纳加瞭望塔。	Ordena a I.A. a reconhecer a área geral ou tomar uma Torre Xel’Naga próxima.
<s val="@@StandardTooltipHeader">需要高能瓦斯</s><n/>	<s val="@@StandardTooltipHeader">Solicitar Vespeno</s><n/>
向任意AI提出高能瓦斯需求。	Solicitar Vespeno de qualquer I.A.
向任意AI提出高能瓦斯需求。<n/><c val="ff0000">资源交易仍不可用。</c>	Solicitar Vespeno de qualquer I.A.<n/><c val="ff0000">Troca de recursos ainda não está disponível.</c>
技能：	Habilidades:
作弊后成就已禁用。要重新开启成就，请开始新的游戏或继续保存过的游戏。	Foram desativadas conquistas devido ao uso de cheat. Para ativar novamente as conquistas, inicie um novo jogo ou carregue um jogo salvo.
获得成就'%achievement%'！	Conquista '%achievement%' destravada!
例如：jim@sc2.com或jim#1234	ex.: jim@sc2.com ou jim#1234
输入您好友的“暴雪游戏通行证电子邮箱地址”，对其发送一条“实名好友”请求。以“战网昵称#1234”的格式输入您好友的“战网昵称”以及“唯一的战网昵称代码”，对其发送一条“战网昵称好友”请求。	Envie uma solicitação de amizade com Real ID. Para isso, basta inserir o endereço de e-mail Blizzard do seu amigo. Envie uma solicitação de amizade com BattleTag, inserindo a BattleTag e o Código de BattleTag único no formato BattleTag#1234.
输入电子邮箱地址或战网昵称	Insira um endereço de e-mail ou BattleTag
发送请求	ENVIAR SOLICITAÇÃO
添加快捷键	Adicionar tecla de atalho
添加备选快捷键	Adicionar alternativa
启用强化队伍颜色纹理	Permitir texturas de cor de equipe extras
允许您对游戏地图或微缩地图上的某个位置进行标记，只有你的队友可以看到该标记。<n/><k val="QuickPing"/>放置标记。<n/><c val="ffffff">按住</c><k val="QuickPing"/>可查看更多选项。	Permite efetuar ping em um local no minimapa ou na tela do jogo que somente seus aliados verão. <n/><k val="QuickPing"/> para efetuar ping num local.<n/><c val="ffffff">Pressione</c> <k val="QuickPing"/> para ver mais opções.
所有文件。	Todos os arquivos.
忽略所有过滤条件，显示所有游戏录像。	Mostra os replays recentes em todos os filtros.
忽略所有过滤条件，显示所有游戏存档。	Mostra os jogos salvos em todos os filtros.
允许切换冲突	Permitir conflitos de alternância
<c val="ffffff">允许切换冲突：</c><n/>该模式允许可切换状态的技能共享相同的快捷键（如隐形和取消隐形）。	<c val="ffffff">Permitir conflitos de alternância:</c><n/>Este modo permite que os estados de habilidades alternadas compartilhem a mesma tecla de atalho (como Camuflar e Descamuflar).
允许窗口恢复	Permitir Restaurar Janela
StarcCaft\Brood War	StarcCaft\Brood War
