非晶态装甲云	Amorphe Deckungswolke
你需要先完成《虚空之遗》战役才能解锁终章。	Der Epilog steht nicht zur Verfügung, solange die Kampagne von Legacy of the Void noch nicht abgeschlossen wurde.
<s val="CampaignPanelLastMissionDescription">身为族人眼中的叛徒和异端，泽拉图花了整整六年时间寻找萨尔纳加回归事件背后的真相。在警告过人类和异虫以后，他仍未找到星灵在这一事关宇宙命运的宏图中所要扮演的角色。	<s val="CampaignPanelLastMissionDescription">Zeratul wurde von seinem Volk als Ketzer und Verräter gebrandmarkt. Er verbrachte die letzten sechs Jahre damit, die Wahrheit hinter der Rückkehr der Xel'Naga in Erfahrung zu bringen. Terranern und Zerg überbrachte er Warnungen, doch nun gilt es, herauszufinden, welche Rolle die Protoss in der Geschichte der Galaxie spielen werden.
正在变异	Mutiert
危险	Gefahr
正在研发	Forschung ...
晶体矿:%1	Mineralien: %1
瓦斯:%1	Vespin: %1
地嗪:%1	Terrazin: %1
自定: %1UI/RewardItem/Boost=强化剂加成	Benutzerdefiniert: %1UI/RewardItem/Boost=Stimpack Bonus
<img path="Assets\Textures\UI_Glues_Icons_Status_Available.dds" height="13" width="13" alignment="absolutemiddle"/>  空闲	<img path="Assets\Textures\UI_Glues_Icons_Status_Available.dds" height="13" width="13" alignment="absolutemiddle"/>  Online
<img path="Assets\Textures\UI_Glues_Icons_Status_Away.dds" height="13" width="13" alignment="absolutemiddle"/>  离开	<img path="Assets\Textures\UI_Glues_Icons_Status_Away.dds" height="13" width="13" alignment="absolutemiddle"/>  AFK
<img path="Assets\Textures\UI_Glues_Icons_Status_Busy.dds" height="13" width="13" alignment="absolutemiddle"/>  忙碌	<img path="Assets\Textures\UI_Glues_Icons_Status_Busy.dds" height="13" width="13" alignment="absolutemiddle"/>  DND
补给:%1	Versorgung: %1
正在训练	Fortschritt
正在升级	Beim Upgrade
生命:%1	Trefferpunkte: %1
护盾:%1	Schilde: %1
能量:%1	Energie: %1
<s val="CampaignPanelLastMissionDescription">在过去的四年中，自由战士吉姆·雷诺隐现于泰伦帝国的边缘星域，继续着推翻阿克图尔斯·蒙斯克暴政的征途。<n/><n/>但这一切即将改变。一股可怕的力量已经苏醒，迫使雷诺作出命运的抉择 — 是了结自己的仇怨，还是为人类飘摇的命运而战。</s>	<s val="CampaignPanelLastMissionDescription">Seit nunmehr vier Jahren durchstreift Freiheitskämpfer Jim Raynor die Grenzen des terranischen Raums auf seinem Kreuzzug, den tyrannischen Imperator Mengsk zu stürzen.<n/><n/>Doch die Dinge werden sich schon bald ändern. Eine schreckliche Macht ist wieder erwacht und stellt Raynor vor die folgenschwere Entscheidung, entweder seinen Rachefeldzug fortzusetzen oder für das Überleben der Menschheit zu kämpfen.</s>
星灵剧情	Protoss-Story
野外生物甲壳	Tierpanzer
硬化材料	Gehärtetes Material
星灵护板	Panzerung (Protoss)
人类建筑钢板	Gebäudepanzerung (Terraner)
异虫骨板	Chitinpanzer (Zerg)
强酸脊刺武器	Säurestacheln - Waffe
吸纳舱	Assimilator
目标	Ziele
攻击单位	Angreifer
自动机炮武器发射	Automatischer Geschützturm - Einsatz, Waffe
战列巡航舰对空武器	Schwerer Kreuzer - Luft
战列巡航舰对地武器	Schwerer Kreuzer - Boden
部队信标	Signal - Armee
攻击信标	Angriffssignal
自动AI信标	Automatisches K.I.-Signal
控场信标	Signal - Beanspruchen
自定义信标 #1	Benutzerdefiniertes Signal #1
自定义信标 #2	Benutzerdefiniertes Signal #2
自定义信标 #3	Benutzerdefiniertes Signal #3
自定义信标 #4	Benutzerdefiniertes Signal #4
防御信标	Verteidigungssignal
侦测信标	Signal - Aufdecken
扩展信标	Expansionssignal
骚扰信标	Signal - Störung
空闲信标	Signal - Untätig
侦察信标	Signal - Ausspähen
巢虫领主A武器	Brutlord A - Waffe
巢虫领主B武器	Brutlord B - Waffe
巢虫领主的茧	Brutlord-Kokon
巢虫领主武器	Brutlord - Waffe
异蝠	Chazbat
2000型Artosis机器人	Artosis Bot 2000
2000型Tasteless机器人	Tasteless Bot 2000
圆锥体	Kegel
污染武器	Kontaminieren - Waffe
奶牛	Kuh
动态菌毯阻挡物1x1	Dynamische Kriecher-Blockade 1x1
野外生物	Critter
野外生物静滞	Critter - Stationär
正方体	Würfel
控制芯核	Kybernetik-Kern
圆柱体	Zylinder
宣传牌	Werbetafel
喇叭灯	Megafon-Lichter
修理厂	Reparaturwerkstatt
标识	Schild
商店前方城市道具	Ladenschild
交通灯	Ampel
消化虫 菌毯喷溅 目标单位	Verdauer - Kriecher spucken, Zieleinheit
消化虫 菌毯喷溅 单位	Verdauer - Kriecher spucken, Einheit
十二面体	Dodekaeder
狗	Hund
Enemy Unit Pathing Blocker - 16x16	Gegnerische Einheit - Wegblockierung, 16x16
Enemy Unit Pathing Blocker - 1x1	Gegnerische Einheit - Wegblockierung, 1x1
Enemy Unit Pathing Blocker - 2x2	Gegnerische Einheit - Wegblockierung, 2x2
Enemy Unit Pathing Blocker - 4x4	Gegnerische Einheit - Wegblockierung, 4x4
Enemy Unit Pathing Blocker - 8x8	Gegnerische Einheit - Wegblockierung, 8x8
萃取房	Extraktor
锻炉	Schmiede
狂暴武器	Raserei - Waffe
首府塑像	Kapitolstatue
舔食兽	Trillick
帮助箭头	Hilfepfeil
高阶圣堂武士/执政官	Hoher Templer/Archon
二十面体	Ikosaeder
Yanguana	Yanguana
虫群作战体虫卵	Verseuchtes Schwarmei
被感染的人类卵放置	Verseuchte Terraner - Ei, Platzierung
感染者人类的卵	Verseucherterraner - Ei
感染者人类武器	Verseucherterraner - Waffe
Inhibitor Zone Generator	Hemmzonengenerator
Inhibitor Zone Large	Große Hemmzone
Inhibitor Zone Medium	Mittelgroße Hemmzone
Inhibitor Zone Small	Kleine Hemmzone
雌性卡拉兽	Karakweibchen
雄性卡拉兽	Karakmännchen
幼虫释放发射物	Larve - Einsatz, Rakete
地底巢穴	Tiefenhöhle
潜伏者虫茧	Schleicher-Kokon
矿骡	M.U.L.E.
玛·萨拉桥梁 斜线 BLUR	Mar Sara - Brücke, diagonal, BLUR
玛·萨拉桥梁 斜线 BRUL	Mar Sara - Brücke, diagonal, BRUL
帝国的荣耀	Ruhm der Liga
自由的馈赠	Das Geschenk der Freiheit
矿脉	Mineralienfeld
群体伤害对象	Multi-Kill-Objekt
神经寄生触须	Neuralparasitententakel
菌塔	Kriecherturm
八面体	Oktaeder
眼虫茧	Overseer-Kokon
动态路径障碍物 1x1	Dynamische Wegfindungsblockierung 1x1
动态路径障碍物 2x2	Dynamische Wegfindungsblockierung 2x2
凤凰对空武器	Phönix - Luft
定点防御靶机拦截	Verteidigungsdrohne - Einsatz
角锥体	Pyramide
腾跃虫	Raptor
破坏者腐蚀胆汁发射物	Verheerer - Ätzende Galle, Geschoss
破坏者武器发射物	Verheerer - Waffe, Geschoss
反应堆	Reaktor
红石星熔岩生物	Redstone-Lavatierchen
红石星熔岩生物(受伤)	Redstone-Lavatierchen (Verletzt)
叛军长箭飞弹	Autarke Kapillar-Rakete
叛军导弹塔	Autarker Raketenturm
斥力场(10)	Abwehrfeld (10)
斥力场(12)	Abwehrfeld (12)
斥力场(6)	Abwehrfeld (6)
斥力场(8)	Abwehrfeld (8)
秽型蟑螂	Säureschabe
蟑螂武器	Schabenwaffe
机械台	Roboterfabrik
圆角立方体	Abgerundeter Würfel
Scope Test	Rahmentest
形状	Shape
星星	Stern
苹果	Apfel
箭头指针	Pfeil
香蕉	Banane
棒球	Baseball
棒球棒	Baseballschläger
篮球	Basketball
碗	Schüssel
盒子	Kiste
胶囊	Capsule
胡萝卜	Karotte
现金	Geld
樱桃	Kirsche
新月	Mondsichel
立方体	Würfel
十面体	Dekaeder
菱形体	Karo
美元符号	Dollarzeichen
欧元符号	Eurozeichen
宝石	Edelsteine
高尔夫球棒	Golfschläger
高尔夫球	Golfball
葡萄	Traube
手	Hand
心脏	Herz
冰球	Eishockeypuck
冰球球棍	Eishockeyschläger
马蹄铁	Hufeisen
千斤顶	Dings
柠檬	Zitrone
O型	O
橘	Orange
花生	Erdnuss
梨	Birne
加号	Plus
英镑符号	Pfundzeichen
棱锥	Pyramide
彩虹	Regenbogen
圆角正方体	Abgerundeter Würfel
愁容	Trauriges Gesicht
三叶草	Kleeblatt
笑脸	Lachendes Gesicht
黑桃	Pik
球体	Sphere
草莓	Erdbeere
网球	Tennisball
四面体	Tetraeder
厚圆环体	Dicker Torus
薄圆环体	Dünner Torus
圆环体	Torus
宝箱	Schatztruhe
管	Röhre
西瓜	Wassermelone
胜利符号	Wonzeichen
X型	X
日元符号	Yenzeichen
玛·萨拉桥梁 水平	Mar Sara - Brücke, horizontal
玛·萨拉桥梁 垂直	Mar Sara - Brücke, vertikal
虹吸触须飞弹	Entzug - Tentakel, Rakete
分裂虫	Splitterling
星门	Raumportal
裂变虫	Schwarmling
科技实验室	Tech-Labor
圣堂武士文献馆	Templer-Archiv
雷神地对空	Thor - Luftabwehr
交通信号灯	Verkehrssignal
王虫茧	Overlord-Kokon
"老油条"萨姆	Crooked Sam
雷兽窟	Ultraliskenhöhle
攻击该障碍物可将其摧毁。	Angreifen, um das Hindernis zu zerstören
乌萨达幼兽	Ursadakkalb
雌性乌萨达兽	Ursadakweibchen
雄性乌萨达兽	Ursadakmännchen
2000型自动机器人	Automaton 2000
克哈铁狼	Die Wölfe von Korhal
为附近的单位提供视野	Gewährt in der Nähe befindlichen Einheiten Sicht
腹部坚韧	Starker Magen
合成代谢	Hormonsynthese
贝希摩斯反应堆	Behemoth-Reaktor
武器改装	Neuausrüstung mit Waffen
CollectionSkin	Sammlungsskin
CollectionSkinDeluxeProtoss	Protoss-Sammlungsskin (Deluxe)
CollectionSkinDeluxeShield	Schilde-Sammlungsskin (Deluxe)
耐久材料	Belastbare Materialien
莫比斯反应堆	Moebius-Reaktor
优势射程	Erhöhte Reichweite
病原腺体	Pathogene Drüsen
蠕动	Peristaltik
MarauderDeluxe	Marodeur (Deluxe)
精钢框架	Neostahlrahmen
对应面孵化	Geminibrütung
有机甲壳	Organischer Panzer
星灵空中单位护甲	Luftpanzerung (Protoss)
星灵空中单位护甲等级3	Level-3-Upgrade für Luftpanzerung (Protoss)
星灵空中单位武器	Luftwaffen (Protoss)
星灵空中单位武器等级3	Level-3-Upgrade für Luftwaffen (Protoss)
星灵地面单位护甲	Bodenpanzerung (Protoss)
星灵地面单位护甲等级3	Level-3-Upgrade für Bodenpanzerung (Protoss)
星灵地面单位武器	Bodenwaffen (Protoss)
星灵地面单位武器等级3	Level-3-Upgrade für Bodenwaffen (Protoss)
星灵护盾	Schilde (Protoss)
科维德反应堆	Corvid-Reaktor
氮气加速	Nitro-Packs
RoachDeluxe	Schabe (Deluxe)
攻城科技	Belagerungstechnik
StalkerDeluxe	Hetzer (Deluxe)
人类建筑护甲	Gebäudepanzerung (Terraner)
人类步兵护甲等级3	Level-3-Upgrade für Infanteriepanzerung (Terraner)
人类步兵武器	Infanteriewaffen (Terraner)
人类步兵武器等级3	Level-3-Upgrade für Infanteriewaffen (Terraner)
人类舰船钢板等级3	Level-3-Upgrade für Schiffspanzerung (Terraner)
人类舰船武器	Schiffswaffen (Terraner)
人类舰船武器等级3	Level-3-Upgrade für Schiffswaffen (Terraner)
人类战车钢板等级3	Level-3-Upgrade für Fahrzeugpanzerung (Terraner)
人类战车武器	Fahrzeugwaffen (Terraner)
人类战车武器等级3	Level-3-Upgrade für Fahrzeugwaffen (Terraner)
吞云推进器	Jotun-Booster
熔流旋叶	Luftstrom-Ruder
异虫飞行生物甲壳等级1	Level-1-Upgrade für Fliegerpanzer (Zerg)
异虫飞行生物甲壳等级2	Level-2-Upgrade für Fliegerpanzer (Zerg)
异虫飞行生物甲壳等级3	Level-3-Upgrade für Fliegerpanzer (Zerg)
异虫飞行生物武器	Fliegerangriffe (Zerg)
异虫飞行生物攻击等级1	Level-1-Upgrade für Fliegerangriffe (Zerg)
异虫飞行生物攻击等级3	Level-3-Upgrade für Fliegerangriffe (Zerg)
异虫地面单位甲壳等级1	Level-1-Upgrade für Bodenpanzer (Zerg)
异虫地面单位甲壳等级2	Level-2-Upgrade für Bodenpanzer (Zerg)
异虫地面单位甲壳等级3	Level-3-Upgrade für Bodenpanzer (Zerg)
异虫近战武器	Nahkampfangriffe (Zerg)
异虫近战攻击等级3	Level-3-Upgrade für Nahkampfangriffe (Zerg)
异虫喷射武器	Geschosse (Zerg)
异虫喷射攻击等级3	Level-3-Upgrade für Geschosse (Zerg)
腹囊	Bauchbeutel
肾上腺体	Adrenalindrüsen
代谢加速	Metabolismusschub
战争宝箱：2017暴雪嘉年华合集	Warchest: BlizzCon 2017 – Gesamtpaket
战争宝箱：2017暴雪嘉年华星灵许可证	Warchest: BlizzCon 2017 – Protoss-Pass
战争宝箱：2017暴雪嘉年华人类许可证	Warchest: BlizzCon 2017 – Terraner-Pass
战争宝箱：2017暴雪嘉年华异虫许可证	Warchest: BlizzCon 2017 – Zerg-Pass
战争宝箱：2018卡托维兹合集	Warchest: Katowice 2018 – Gesamtpaket
战争宝箱：2018卡托维兹星灵许可证	Warchest: Katowice 2018 – Protoss-Pass
战争宝箱：2018卡托维兹人类许可证	Warchest: Katowice 2018 – Terraner-Pass
战争宝箱：2018卡托维兹异虫许可证	Warchest: Katowice 2018 – Zerg-Pass
战争宝箱：2018暴雪嘉年华合集	Warchest: BlizzCon 2018 – Gesamtpaket
战争宝箱：2018暴雪嘉年华星灵许可证	Warchest: BlizzCon 2018 – Protoss-Pass
战争宝箱：2018暴雪嘉年华人类许可证	Warchest: BlizzCon 2018 – Terraner-Pass
战争宝箱：2018暴雪嘉年华异虫许可证	Warchest: BlizzCon 2018 – Zerg-Pass
战争宝箱：2019卡托维兹合集	Warchest: Katowice 2019 – Gesamtpaket
战争宝箱：2019卡托维兹星灵许可证	Warchest: Katowice 2019 – Protoss-Pass
战争宝箱：2019卡托维兹人类许可证	Warchest: Katowice 2019 – Terraner-Pass
战争宝箱：2019卡托维兹异虫许可证	Warchest: Katowice 2019 – Zerg-Pass
战争宝箱：2019暴雪嘉年华合集	Warchest: BlizzCon 2019 – Gesamtpaket
战争宝箱：2019暴雪嘉年华星灵许可证	Warchest: BlizzCon 2019 – Protoss-Pass
战争宝箱：2019暴雪嘉年华人类许可证	Warchest: BlizzCon 2019 – Terraner-Pass
战争宝箱：2019暴雪嘉年华异虫许可证	Warchest: BlizzCon 2019 – Zerg-Pass
战争宝箱6礼包	Warchest 6 - Gesamtpaket
战争宝箱6星灵许可证	Warchest 6 - Protoss-Pass
战争宝箱6人类许可证	Warchest 6 - Terraner-Pass
战争宝箱6异虫许可证	Warchest 6 - Zerg-Pass
攻击单位武器	Angriffswaffe
12毫米口径电磁炮	12mm Gaußkanone
巢虫侵袭	Brütling-Angriff
近战武器	Nahkampf
被感染的电磁枪	Verseuchtes Gaußgewehr
P-45型电磁手枪	P45-Gaußpistole
头冲	Rammen
骨针（近战）	Nadelstacheln (Nahkampf)
伊比克斯火炮	Ibik-Kanone
仅能对建筑使用。	Wird nur gegen Gebäude eingesetzt.
只能对建筑使用。	Wird nur gegen Gebäude eingesetzt.
只能对单位使用。	Wird nur gegen Einheiten verwendet.
必须放置在菌毯上。	Muss auf Kriecher platziert werden.
无法选中星灵单位。	Kann Protoss-Einheiten nicht anvisieren.
无法选中人类单位。	Kann Terraner-Einheiten nicht anvisieren.
无法选中异虫单位。	Kann Zerg-Einheiten nicht anvisieren.
无法找到SCV。	Es konnten keine WBFs gefunden werden.
必须以星灵单位为目标。	Muss Protoss-Einheiten anvisieren.
必须以人类单位为目标。	Muss Terraner-Einheiten anvisieren.
必须以异虫单位为目标。	Muss Zerg-Einheiten anvisieren.
内测或公测	Beta
亚洲	Asien
北美洲	Amerika
默认能力(CAbil)	Default Ability (CAbil)
默认能力(CAbilArmMagazine)	Default Ability (CAbilArmMagazine)
默认能力(CAbilAttack)	Default Ability (CAbilAttack)
CAbilAugment	CAbilAugment
默认能力(CAbilBattery)	Default Ability (CAbilBattery)
CAbilBeacon	CAbilBeacon
默认能力(CAbilBehavior)	Default Ability (CAbilBehavior)
默认能力(CAbilBuild)	Default Ability (CAbilBuild)
默认能力(CAbilBuildable)	Default Ability (CAbilBuildable)
默认能力(CAbilEffect)	Default Ability (CAbilEffect)
默认能力(CAbilEffectInstant)	Default Ability (CAbilEffectInstant)
默认能力(CAbilEffectTarget)	Default Ability (CAbilEffectTarget)
默认能力(CAbilHarvest)	Default Ability (CAbilHarvest)
默认能力(CAbilHeal)	Default Ability (CAbilHeal)
CAbilInteract	CAbilInteract
默认能力(CAbilInventory)	Default Ability (CAbilInventory)
CAbilLearn	CAbilLearn
默认能力(CAbilMerge)	Default Ability (CAbilMerge)
默认能力(CAbilMergeable)	Default Ability (CAbilMergeable)
默认能力(CAbilMorph)	Default Ability (CAbilMorph)
默认能力(CAbilMorphPlacement)	Default Ability (CAbilMorphPlacement)
默认能力(CAbilMove)	Default Ability (CAbilMove)
CAbilPawn	CAbilPawn
CAbilProgress	CAbilProgress
默认能力(CAbilQueue)	Default Ability (CAbilQueue)
默认能力(CAbilQueueable)	Default Ability (CAbilQueueable)
默认能力(CAbilRally)	Default Ability (CAbilRally)
CAbilRedirect	CAbilRedirect
默认能力(CAbilResearch)	Default Ability (CAbilResearch)
CAbilRevive	CAbilRevive
默认能力(CAbilSpecialize)	Default Ability (CAbilSpecialize)
默认能力(CAbilStop)	Default Ability (CAbilStop)
默认能力(CAbilTrain)	Default Ability (CAbilTrain)
默认能力(CAbilTransport)	Default Ability (CAbilTransport)
默认能力(CAbilWarpTrain)	Default Ability (CAbilWarpTrain)
默认能力(CAbilWarpable)	Default Ability (CAbilWarpable)
自我复活	Revive Self
在目标位置自我复活	Revive Self At Target
在菌毯上自我复活	Revive Self On Creep
自我复活并替代目标	Revive Self Replace Target
交战模式	Kampf
模拟战模式	Gefecht
战役成就	CAchievement
CAchievementTerm	CAchievementTerm
CAchievementTermAchievement	CAchievementTermAchievement
CAchievementTermGeneric	CAchievementTermGeneric
CAchievementTermTime	CAchievementTermTime
Actor died normally during creation.	Actor died normally during creation.
关闭演算体信息显示。	Actor info display off.
开启演算体信息显示。	Actor info display on.
关闭为“头像”显示演算体信息。	Actor info display for portraits off.
开启为“头像”显示演算体信息。	Actor info display for portraits on.
Actor name required.	Actor name required.
Cannot kill this scope from a cheat.	Cannot kill this scope from a cheat.
Cannot orphan this scope from a cheat.	Cannot orphan this scope from a cheat.
Could not create actor.	Could not create actor.
Could not create scope.	Could not create scope.
Could not resolve actor.	Could not resolve actor.
Could not return actor.	Could not return actor.
Could not return actor scope.	Could not return actor scope.
Expected 0 or 1 to toggle overlay lock.	Expected 0 or 1 to toggle overlay lock.
Expected 0 or 1 to toggle send auto-targeting.	Expected 0 or 1 to toggle send auto-targeting.
FX动画制作器	FX Animator
Has no parameters.	Has no parameters.
Invalid catalog.	Invalid catalog.
Invalid key.	Invalid key.
Invalid message.	Invalid message.
Invalid 'older than' age.	Invalid 'older than' age.
无演算体的模型	MODEL W/O ACTOR
No ::User actor.	No ::User actor.
No ::User actor scope.	No ::User actor scope.
Parameters required.	Parameters required.
Primary name required.	Primary name required.
RefName[%1] did not return a valid actor.	RefName[%1] did not return a valid actor.
游戏场景外不支持此项指令。	This command is not currently supported outside of the game scene.
Scope name required.	Scope name required.
独立模型	Standalone Model
Target name required.	Target name required.
Tracing disabled for %1.	Tracing disabled for %1.
Tracing enabled for %1.	Tracing enabled for %1.
Unknown actor class [%1].	Unknown actor class [%1].
Unknown command.	Unknown command.
::User actor set to %1.	::User actor set to %1.
::User scope set to %1.	::User scope set to %1.
x, y position required.	x, y position required.
The ActionDamage message must be sent in response to an Effect message so it can determine the target of the damage. Culprit: %1.	The ActionDamage message must be sent in response to an Effect message so it can determine the target of the damage. Culprit: %1.
is not a %1.	is not a %1.
This actor scope cannot directly be killed by user code.	This actor scope cannot directly be killed by user code.
This actor scope cannot directly be orphaned by user code.	This actor scope cannot directly be orphaned by user code.
Actor trace [A]: %1.%2	Actor trace [A]: %1.%2
Actor trace [M]: %1	Actor trace [M]: %1
Actor trace [S]: %1	Actor trace [S]: %1
AnimClearAllBut requires an animName.	AnimClearAllBut requires an animName.
Cannot use AnimContinue message on baseline anims.	Cannot use AnimContinue message on baseline anims.
AnimContinue requires an anim with a matching name (in this case %1) to be playing when sent, so it has an anim to continue!	AnimContinue requires an anim with a matching name (in this case %1) to be playing when sent, so it has an anim to continue!
AnimContinue requires a valid animation name that matches a running animation on the model.	AnimContinue requires a valid animation name that matches a running animation on the model.
Cannot find anim hook [%1].	Cannot find anim hook [%1].
No anim hooks to clear.	No anim hooks to clear.
Cannot use the name %1 since it is already in use by an anim hook.	Cannot use the name %1 since it is already in use by an anim hook.
No anim hooks.	No anim hooks.
The anim hook [%1] refreshed and acquired an actor that is not a CActorModel or one of its subclasses.  As a result, this anim hook has been cleared.	The anim hook [%1] refreshed and acquired an actor that is not a CActorModel or one of its subclasses.  As a result, this anim hook has been cleared.
Cannot hook an animation on the same actor.	Cannot hook an animation on the same actor.
Cannot hook an anim from an actor that is not a CActorModel or one of its subclasses.	Cannot hook an anim from an actor that is not a CActorModel or one of its subclasses.
The actor referenced by name %1 does not exist.	The actor referenced by name %1 does not exist.
Cannot set an anim hook without a hook name.	Cannot set an anim hook without a hook name.
Model %1; Could not load anims on model %2.	Model %1; Could not load anims on model %2.
%1 message: Cannot find anim name %2.	%1 message: Cannot find anim name %2.
Must assign a valid animation name when playing an anim. Message:  %1.	Must assign a valid animation name when playing an anim. Message:  %1.
%1 message: Cannot find anim time scale labeled %2.	%1 message: Cannot find anim time scale labeled %2.
init failed because owner actor is not a CActorModel: %1	init failed because owner actor is not a CActorModel: %1
The message cannot set the specified site ops. Culprit %1.	The message cannot set the specified site ops. Culprit %1.
The message created a CActor that was not of type CActorModel.  Culprit: %1.	The message created a CActor that was not of type CActorModel.  Culprit: %1.
The message requires attach methods in order to know how to attach the specified model and/or actor.  Culprit: %1.	The message requires attach methods in order to know how to attach the specified model and/or actor.  Culprit: %1.
AttachMethodPattern; too many attach points to track, ignoring some.	AttachMethodPattern; too many attach points to track, ignoring some.
AttachMethodProximity; too many attach points to sort, ignoring some.	AttachMethodProximity; too many attach points to sort, ignoring some.
ModelLink[%1] Model %2; Properties detected for attach point %3 which does not exist.	ModelLink[%1] Model %2; Properties detected for attach point %3 which does not exist.
Attach query failed. Requestor %1. Query %2.	Attach query failed. Requestor %1. Query %2.
Inheriting base model scale without inheriting scale is unsupported.	Inheriting base model scale without inheriting scale is unsupported.
Cannot simultaneously have both a Walk Outro and a Stand Intro with prop group [%1]	Cannot simultaneously have both a Walk Outro and a Stand Intro with prop group [%1]
Do not have a complete set of Stand,Start,Left and Stand,Start,Right anims with prop group [%1]	Do not have a complete set of Stand,Start,Left and Stand,Start,Right anims with prop group [%1]
If model has Stand,Start anim and Stand,Left and Stand,Right anims with prop group [%1] then it must also have Stand,Start,Left and Stand,Start,Right with that group.  A unit can turn while entering a stand, say if it is following a unit.  It gets near it, starts to Stand, but then needs to turn to keep facing what it is following.	If model has Stand,Start anim and Stand,Left and Stand,Right anims with prop group [%1] then it must also have Stand,Start,Left and Stand,Start,Right with that group.  A unit can turn while entering a stand, say if it is following a unit.  It gets near it, starts to Stand, but then needs to turn to keep facing what it is following.
Do not have a complete set of Stand,Left and Stand,Right anims with prop group [%1]	Do not have a complete set of Stand,Left and Stand,Right anims with prop group [%1]
Cannot have anim [%1] marked as looping.	Cannot have anim [%1] marked as looping.
Do not have a complete set of Walk,Start,Left and Walk,Start,Right anims with prop group [%1]	Do not have a complete set of Walk,Start,Left and Walk,Start,Right anims with prop group [%1]
If model has Walk,Start anim and Walk,Left and Walk,Right anims with prop group [%1] then it must also have Walk,Start,Left and Walk,Start,Right with that group.  Units can turn while they are starting a Walk, and it breaks the unit out of the Walk Start if it doesn't have the additional Walk Start Left/Right anims.	If model has Walk,Start anim and Walk,Left and Walk,Right anims with prop group [%1] then it must also have Walk,Start,Left and Walk,Start,Right with that group.  Units can turn while they are starting a Walk, and it breaks the unit out of the Walk Start if it doesn't have the additional Walk Start Left/Right anims.
Do not have a complete set of Walk,Left and Walk,Right anims with prop group [%1]	Do not have a complete set of Walk,Left and Walk,Right anims with prop group [%1]
Bearings update cycle detected when pushing bearings to %1 via %2.  Bailing to prevent infinite loop.	Bearings update cycle detected when pushing bearings to %1 via %2.  Bailing to prevent infinite loop.
Bearings update cycle detected when pushing bearings to this actor at beginning of percolation or sub-percolation.  Bailing to prevent infinite loop.	Bearings update cycle detected when pushing bearings to this actor at beginning of percolation or sub-percolation.  Bailing to prevent infinite loop.
%1 message failed because this actor is hard attached to another actor.  Hard attaches take precedence over all position and rotation changes.	%1 message failed because this actor is hard attached to another actor.  Hard attaches take precedence over all position and rotation changes.
%1 message failed because of an error in this actor's siteOp chain.	%1 message failed because of an error in this actor's siteOp chain.
Model %1 specified in body squib %2 is invalid.	Model %1 specified in body squib %2 is invalid.
Sound %1 specified in body squib %2 is invalid.	Sound %1 specified in body squib %2 is invalid.
Bounding sphere with size 0.	Bounding sphere with size 0.
Invalid configuration; this actor has a 0 duration and a 0 force magnitude, which would have no effect on the world.	Invalid configuration; this actor has a 0 duration and a 0 force magnitude, which would have no effect on the world.
CActorRef[%1] does not exist.	CActorRef[%1] does not exist.
Got NULL model when trying to set CModel[%1].	Got NULL model when trying to set CModel[%1].
Can only have one live CActorCreep at a time.	Can only have one live CActorCreep at a time.
Can only have one live CActorScene per scene.  This a system actor and should not be created from data.	Can only have one live CActorScene per scene.  This a system actor and should not be created from data.
Can only have one live CActorTerrain at a time.	Can only have one live CActorTerrain at a time.
CActorAction only supports shield flash types 'Full' or 'None', if no CActorSiteOpAttachVolume is specified in the relevant Impact or Damage SiteOps.	CActorAction only supports shield flash types 'Full' or 'None', if no CActorSiteOpAttachVolume is specified in the relevant Impact or Damage SiteOps.
Can only host local forces off CActorModels, since they need a model to drive in order for anything to happen.	Can only host local forces off CActorModels, since they need a model to drive in order for anything to happen.
Can only host local impulses off CActorModels, since they need a model to drive in order for anything to happen.	Can only host local impulses off CActorModels, since they need a model to drive in order for anything to happen.
Cannot find host impact source on this actor.	Cannot find host impact source on this actor.
Physics actor cannot find a receiver CActorModel on which to apply its local force or impulse.	Physics actor cannot find a receiver CActorModel on which to apply its local force or impulse.
Cannot add file alias %1 with slot %2 and file path %3.	Cannot add file alias %1 with slot %2 and file path %3.
Cannot add site ops on host %1.	Cannot add site ops on host %1.
Cannot be marked as SaveLoadSuppressed.	Cannot be marked as SaveLoadSuppressed.
Cannot clear baseline.	Cannot clear baseline.
Cannot clear cloned prop or prop item.  Clear the client set value higher up in the hierarchy that percolated the clone.	Cannot clear cloned prop or prop item.  Clear the client set value higher up in the hierarchy that percolated the clone.
Cannot clear a prop created and used internally by the system.	Cannot clear a prop created and used internally by the system.
Cannot find prop or prop item with label [%1].	Cannot find prop or prop item with label [%1].
Cannot clear prop type %1.  The prop is missing.	Cannot clear prop type %1.  The prop is missing.
Unspecified error clearing prop %1.	Unspecified error clearing prop %1.
There are no user set props of type %1 to clear.	There are no user set props of type %1 to clear.
Cannot copy actor.  Culprit: %1.	Cannot copy actor.  Culprit: %1.
Cannot create an actor in scopes other than the requestor's unless the requestor was created by an effect. Requestor: %1	Cannot create an actor in scopes other than the requestor's unless the requestor was created by an effect. Requestor: %1
Cannot create actor with actor catalog entry %1.	Cannot create actor with actor catalog entry %1.
Cannot create actor for attachment.  Culprit: %1.	Cannot create actor for attachment.  Culprit: %1.
