Amorphous Armorcloud	무정형 방어구름
Tempests are a recent addition to the Golden Armada, and have earned their place as one of the fleet’s most powerful warships. Their volatile disintegration weaponry is a force to be reckoned with.	폭풍함은 황금 함대에 최근 새롭게 추가된 병력으로, 그 즉시 함대의 가장 강력한 함선 지위를 차지했습니다. 폭발적인 분해 장치의 위력은 눈여겨봐야 할 겁니다.
After some experimentation, phase-smiths created customized tempests with high-sheen ornamental plating that could withstand the destructive energies of the vessel's kinetic matrix.	얼마간의 실험을 거친 후, 차원 장인들은 이 함선의 키네틱 매트릭스가 발생시키는 파괴적인 에너지를 버텨낼 수 있는 고광택 장식판으로 뒤덮인 폭풍함을 만들어 냈습니다.
The dampening effect of the Ihan-rii tempest's stone surface enhances its ability to focus the incredible power output of its kinetic matrix.	이한 리 폭풍함 석재 장갑의 완충 효과는 키네틱 매트릭스의 무시무시한 정격 출력 집중 능력을 향상시켜 줍니다.
This remotely piloted vessel is one of the signature achievements of the Purifier program, and its Cybros manufactured plating is among the most distinctive of its kind.	원격 조종되는 이 우주선은 정화자 프로그램의 상징적인 업적 중 하나입니다. 사이브로스에서 제작된 갑주 또한 동종 우주선 중에서 가장 돋보입니다.
Occasionally, the Daelaam impress the Tal'darim. The creation of the tempest was one such moment. Upon first seeing them in combat, the Highlord vowed to seize them for the death fleet.	가끔은 댈람이 탈다림을 놀라게 할 때도 있습니다. 폭풍함이 탄생한 것도 이런 사례 중 하나였습니다. 전장에서 처음으로 폭풍함을 마주한 군주는 이들을 나포하여 죽음의 함대에 포함시키겠다고 맹세했습니다.
The high templar hone their psionic abilities at the templar archives by accessing and studying the memories and experiences of their predecessors.	고위 기사는 기사단 기록보관소에서 선조의 기억과 경험을 읽고 연구하며 사이오닉 능력을 강화합니다.
In between battles, Tal'darim warriors ranked highly on the Chain of Ascension can visit the templar archives to relive their most heroic feats.	전투를 잠시 쉴 때면 승천의 사슬 위쪽에 자리잡은 탈다림 전사들은 기사단 기록보관소를 찾아 기사단의 가장 영웅적인 위업을 다시 경험하곤 합니다.
Ihan-rii templar archives contain the civilization's most closely guarded secrets, including religious texts and instructions for the gruesome semi-organic generation of animated stone.	이한 리 기사단 기록보관소에는 이 문명에서 가장 은밀하게 지킨 비밀이 보관되어 있습니다. 여기에는 살아 움직이는 돌로 구성된 끔찍한 반 유기체 생물을 위한 종교 문서와 지시문도 포함되어 있었습니다.
The ultimate expression of terran military might, the Thor is outfitted with enough artillery to take down an army of enemy combatants on its own.	테란의 군사력을 궁극적으로 표현하는 토르는 적 전투원 부대 하나를 홀로 처리할 수 있을 만큼 충분한 포탄을 장착하고 있습니다.
Improving on the Thor has become an informal competition amongst Dominion engineers. Top brass is content with allowing this trend to continue, as long as it results in more powerful siege walkers.	토르를 개선하는 일은 자치령 기술자들에게 비공식적인 경쟁이 되었습니다. 고위 간부들은 이를 통해 더욱 강력한 공성 기계가 만들어질 수만 있다면 이러한 분위기가 지속되기를 바랍니다.
A signature achievement in recent weapons engineering, the Dominion Special Forces thor boasts innumerable upgrades and the latest in neosteel plating advancements.	최신 무기 공학의 상징적인 업적이라고 부를 수 있는 자치령 특수 부대의 토르는 수많은 업그레이드를 거쳐 왔으며, 그 중 가장 최근에 적용된 것은 신소재 강철 장갑입니다.
Mira's crew has long desired a Thor of their own, but construction challenges routinely set them back. Any day now, they could find a way to assemble one that is fully functional...	미라의 선원들은 아주 오랫동안 그들만의 토르를 갖길 원했지만, 제작상의 어려움 때문에 번번히 고배를 마셨습니다. 하지만 이제 당장이라도 온전히 작동하는 토르를 조립할 방법을 찾을 수 있을 것입니다...
Tyrador thors are treated with a plutonium coating that deflects projectiles below a certain energy threshold. They also look great in parades.	티라도 토르는 플루토늄으로 코팅 처리되어 특정 에너지 한계점 이하의 투사체를 튕겨냅니다. 덤으로 퍼레이드에서 더 멋져 보이기도 합니다.
After years of fervent exploration, the Umojan Protectorate has finally come up with its answer to the Dominion's Thor, and its impressiveness is only matched by the number of Umojan symbols it sports.	수년 간의 열띤 연구 끝에, 우모자 보호령은 마침내 자치령의 토르를 상대할 답을 찾았습니다. 그 놀라운 위용보다 더 놀라운 건 온몸을 뒤덮은 우모자 상징물의 엄청난 개수뿐입니다.
The twilight council serves as a meeting place for representatives of the Daelaam to discuss the betterment of all protoss.	황혼 의회는 댈람의 대표들이 만나 모든 프로토스의 번영을 위해 협력하는 장소입니다.
Another stolen Khalai structure, the Tal'darim twilight council's architecture is more intimidating and somber, though the upgrades it bestows are identical.	또 하나의 도난당한 칼라이 구조물인 탈다림 황혼 의회의 건축 양식은 위압적이고 칙칙한 편이지만, 업그레이드는 기존과 다르지 않습니다.
Ihan-rii council elders have found the return to their homeworld, Arakyr, both familiar and unsettling. Much has changed in their long absence, including a decline in air quality and the extinction of several beloved species, both attributable to terran development.	이한 리의 의회 장로들은 마침내 돌아온 고향 행성 아라키르가 낯익으면서도 불안한 곳이라는 사실을 깨달았습니다. 그들이 오랫동안 떠나 있던 사이에 너무나도 많은 것이 달라졌는데, 대기의 질이 악화되고 그들이 아끼던 여러 생물종이 멸종하기도 했습니다. 물론 두 가지 모두 테란의 번성이 초래한 결과였습니다.
Ultralisks are legendary for their size and strength. Their armored carapaces are nearly impenetrable, and their gargantuan pincers can both crush and eviscerate their enemies with ease.	울트라리스크는 전설적인 몸집과 힘으로 유명합니다. 그들의 단단한 갑피는 거의 관통이 불가능하고, 무시무시한 집게는 적들을 쉽게 으스러트리고 조각냅니다.
Ultralisks are powerful and destructive enough as they are. When infused with the essence of Zerus's primal zerg, however, they become truly unstoppable killing machines.	울트라리스크는 원래 모습 그대로만으로도 강력하고 파괴적입니다. 하지만 제루스 원시 저그의 정수가 주입되면 그 누구도 저지할 수 없는 진정한 살인 병기가 됩니다.
This cavern is filled with dangerous biological deposits infused with high radiation. The chemical reactions created within are used to build the genetic code required for the ultralisk.	이 동굴에는 높은 수치의 방사능이 주입된 위험한 생물학적 부산물이 가득 차 있습니다. 이 내부에서 일어나는 화학 반응이 울트라리스크에 필요한 유전자 코드를 만들어 내는 데 꼭 필요합니다.
The Simulant Project ultralisk cavern houses its radioactive innards within a converted battlecruiser engine heatshield.	복제 프로젝트의 울트라리스크 동굴에서는 울트라리스크의 방사성 내장을 전투순양함의 엔진 방열판 안에 보관합니다.
This ultralisk cavern churns out three sets of gleaming forged-titanium blades every hour, an intimidating purpose only slightly undermined by the fact that--as a Cerberus vice president once wryly observed--the lights above its mouth look like goofy little eyes.	울트라리스크 동굴에서는 매시간 티타늄으로 벼려내 번쩍이는 칼날이 세 세트씩 쏟아집니다. 위압적인 광경이지만, 케르베로스의 부사장이 냉소적으로 언급했던 것처럼, 입 위쪽의 불빛이 작고 얼빠진 눈처럼 보이기 때문에 외관의 무시무시함이 조금 누그러지는 것 같습니다.
Early in the project, it was agreed that the team would never construct a replica of the ultralisk. When chaos later overtook the lab, it became clear that the agreement had been broken...	프로젝트 초기에는 울트라리스크 복제는 제작하지 않는 것으로 합의했습니다. 하지만 이후 혼돈의 물결이 연구소를 휩쓸었을 때, 이와 같은 합의가 지켜지지 않을 것임이 분명해졌습니다.
Primal ultralisks exhibit a high level of variety in their appearance, with some closely resembling the Swarm ultralisks, and others adapting different features better suited to life on Zerus.	원시 울트라리스크는 아주 다채로운 외형을 자랑합니다. 일부는 군단의 울트라리스크와 닮아 있기도 하지만, 또 일부는 제루스에서의 삶에 더 어울리는 새로운 특징을 드러내기도 합니다.
Cerberus sales teams always make sure to show prospective clients the remote-control ultralisk. Their heat-treated titanium blade implants are a beautiful sight to behold.	케르베로스 영업팀은 잠재 고객에게 항상 원격 조종 울트라리스크를 보여줍니다. 열처리된 티타늄 칼날 임플란트는 매우 아름다운 볼거리입니다.
Early ultralisks were slimmer and more agile than their modern-day counterparts, with swaths of durable muscle and sinew instead of bulky armor.	초기 울트라리스크는 육중한 장갑 대신 튼튼한 근육으로 뒤덮여 현대의 울트라리스크보다 호리호리하고 민첩했습니다.
Few other living creatures can match the sheer might of the ultralisks. Those birthed by the Leviathan Brood are terrifying visages of spines and blades--monsters worthy of legend.	살아 있는 생물 중에서 울트라리스크의 막대한 힘을 상대할 수 있는 건 많지 않습니다. 거대괴수 무리에서 탄생한 울트라리스크는 쐐기와 칼날로 이루어진 그 끔찍한 외형 덕분에 가히 전설이라 부를 가치가 있는 괴물이 되었습니다
Developed to bolster the Terran Dominion's anti-air forces, the Viking is a modern classic thanks to its two versatile combat modes.	테란 자치령 대공 능력을 강화하기 위해 개발된 바이킹은 다용도의 두 가지 모드에 힘입어 현대 고전으로 자리 잡았습니다.
Dominion researchers have added a new set of twin engines to complement the existing design of the viking, while increasing its firepower in both modes.	자치령 연구원들은 기존 바이킹의 설계를 보완하기 위해 이중 엔진을 새로 추가하는 동시에, 두 가지 모드에서의 화력도 강화했습니다.
Mira's mechanics have given their Vikings a number of special additions, including massive twin engines that produce an impressively intimidating roar when fully revved.	미라의 기술자들은 바이킹에 다양한 장비를 추가했습니다. 그 중 하나는 거대한 이중 엔진인데, 회전 속도를 올리면 아주 인상적으로 위협적인 소리를 내곤 합니다.
Under Emperor Valerian's orders, Castillo Industries has developed a breakthrough in Viking technology. Their prototype features a sleeker and more efficient construction.	발레리안 황제의 명령에 따라 카스티요 산업은 바이킹 기술의 돌파구를 찾아냈습니다. 그들의 시험생산형 제품은 더욱 날렵하고 효율적인 디자인을 자랑합니다.
At night, the stunning blue thrusters on this viking can be spotted from miles away, reassuring tourists that the Knights of Tyrador are watching over them.	밤이면 이 바이킹의 추진기에서 뿜어져 나오는 아름다운 파란 연기를 아주 멀리서도 확인할 수 있어, 티라도의 기사단이 그들을 보호하고 있다는 사실로 여행객들을 안심시켜 줍니다.
After a protracted negotiation, Castillo Industries has agreed to manufacture a new, heavily plated Viking model exclusively for the Umojan Protectorate.	오랫동안 계속된 협상 끝에, 카스티요 산업은 우모자 보호령만을 위한 새로운 중장갑 바이킹을 제작하는 것에 합의했습니다.
Originally a part of the primal zerg, the vipers' sequences were incorporated into the Swarm by Abathur himself. Now, they serve as a tool to manipulate the battlefield to their master's liking.	원래 원시 저그의 일종이었던 살모사의 유전자 염기서열을 아바투르가 직접 군단에 도입했습니다. 이제 살모사는 주인의 뜻에 따라 전장을 좌지우지하는 막강한 도구로 활약하고 있습니다.
As the Simulant Project neared its completion, the directors became increasingly concerned about what they had created—and at what cost. The project owners stopped answering questions around this point.	복제 프로젝트가 마무리되어 가는 도중, 지도부에서는 자신들이 만들어 낸 것과 그 과정에서 치른 대가를 두려워하기 시작했습니다. 그리고 이 시점부터 이 프로젝트의 관계자들은 질문에 대한 답변을 거부하기 시작했습니다.
The original viper specimens possess a number of uniquely vicious defenses, making it no surprise that they came to Abathur's attention as prime candidates for further evolution.	최초의 살모사 표본은 독특한 악성 방어 기제를 다수 보유하고 있었습니다. 그래서인지 쉽게 아바투르의 눈에 띄어 진화의 대상이 되었습니다.
Vipers with hammerhead cranial implants demonstrate dramatic increases in prehensile proboscis precision.	귀상어 두개골 임플란트를 장착한 살모사는 비약적으로 개선된 정밀 포착 능력을 드러내 줍니다.
As one of the original zerg broods, Leviathan vipers exhibit more defiler tendencies than the rest of the Swarm. While this has caused many abnormalities to surface, its potent toxins appear to be worth it.	원래의 저그 무리에서와는 달리, 거대괴수 무리의 살모사는 군단의 다른 생물들보다 파멸충의 특징을 더 많이 보여줍니다. 이로 인해 다양한 염색체 이상이 드러나기도 했지만, 독소가 더욱 강력해진 것만으로도 충분히 그럴 가치가 있다고 생각됩니다.
The result of combining Templar and Nerazim technology, void rays are devastating assault ships that demonstrate what is possible when the two factions unite for a common cause.	기사와 네라짐의 기술이 결합되어 탄생한 막강한 공격 함선, 공허 포격기는 양 진영이 하나의 목표 아래 단결하면 어떤 일이 가능한지 상징적으로 보여주고 있습니다.
The latest void rays have combined the classical refinement of ancient Templar construction with the shadowy coloration favored by the Nerazim.	최신의 공허 포격기는 세련된 고대 기사단의 전통적인 구조에 네라짐이 선호하는 어두운 색상을 첨가했습니다.
On Tyrador IX, a fleet of stone ships with shrieking void-energy beams appeared and blindsided the Cerberus zerg just as they overran New Canaan's defenses.	티라도 IX에서 케르베로스 저그가 뉴케이넌의 방어를 뚫자마자 석함 함대가 나타나 바람을 가르는 공허 에너지 광선으로 그들에게 기습 공격을 퍼부었습니다.
The Purifier void ray is a true feat in engineering, combining the research of three different protoss factions in a single elegant vessel.	정화자 공허 포격기는 실로 공학 기술의 정점이라 부를 수 있습니다. 세 가지 서로 다른 프로토스 진영의 기술을 조합하여 하나의 아름다운 함선이 완성되었습니다.
Bloodshard crystals are not easily collected. When the Tal'darim do not have enough of them to convert a void ray into a destroyer, they make use of the ship's existing armaments without hesitation.	혈석은 쉽게 수집할 수 있는 게 아닙니다. 탈다림은 공허 포격기를 파멸자로 변환하기에는 혈석이 부족한 경우, 주저하지 않고 이 함선의 기존 무장을 활용하는 방법을 찾습니다.
By acting as a conduit into the psionic matrix, warp prisms function as both mobile troop transport and emergency power source. Though they are fragile, no protoss fleet is complete without them.	사이오닉 분광장의 매개체인 차원 분광기는 이동식 병력 수송기이자 비상 동력원으로 활용될 수 있습니다. 내구력에는 한계가 있지만 어떤 프로토스 함선도 이들이 없다면 완전하지 않습니다.
Ancient Templar warp prisms featured a distinctive crystal lattice that would sometimes reflect the neural patterns of the warriors they transport.	고대 기사단의 차원 분광기에는 이송하는 전사들의 신경망 구조를 닮은 독특한 수정 격자가 탑재되어 있었습니다.
Unfurled, the Ihan-rii warp prism evokes a flower that once covered the hillsides of their homeworld, referred to by its current residents as "Tyrador IX."	이한 리 차원 분광기는 펼쳐지지 않았을 때, 현재 주민들에게 "티라도 IX"라 불리는 그들 고향의 산등성이를 한때 아름답게 뒤덮었던 꽃을 연상케 합니다.
Daelaam phase-smiths have broken new ground by adapting warp prisms to use Void energy. These variants, known as phase prisms, have already earned great popularity with Nerazim commanders.	댈람 차원장인은 차원 분광기가 공허 에너지를 사용할 수 있게 함으로써 기술의 신기원을 이뤘습니다. 위상 분광기로 알려진 이들 형태는 이미 네라진 사령관들에게 큰 인기를 얻고 있습니다.
Purifier warp prisms can automatically transfer an AI personality between different shells if needed, and warp prisms enable this to happen anywhere on the battlefield.	정화자 차원 분광기는 필요에 따라 인공지능 인격을 자동으로 다른 개체에 이전할 수 있습니다. 차원 분광기는 전장의 어디에서나 이런 조치가 가능하게 합니다.
Arming warp prisms with advanced weaponry is a point of contention among the fleet lords. Some prefer to use them to simply deploy their own warriors onto the battlefield.	차원 분광기를 최신 무기로 무장하는 일은 탈다림 군주들에게도 논쟁의 대상입니다. 일부는 차원 분광기를 그저 전사를 전장으로 실어 나르는 수단으로만 사용하기를 원하기 때문입니다.
Initially developed by Victor Kachinsky, the widow mine has been refined into a surprisingly lethal device that can fire defensive missiles against unsuspecting enemies.	빅터 카친스키가 처음 개발했던 땅거미 지뢰는 오랜 개량을 거쳐 이제는 무방비 상태의 적에게 방어 미사일을 발사하는 놀랍도록 치명적인 병기가 되었습니다.
Perplexed by occasional misfires in the past, technicians have added more protective plating to the widow mines to better contain accidents and protect against unintended injuries.	과거에 땅거미 지뢰가 간헐적으로 오폭 사고를 일으켰던 일을 아직도 기억하는 기술자들이 이 지뢰에 보호 장갑을 추가하여 사고를 방지하고 의도하지 않은 부상을 최소화할 수 있게 개선합니다.
After several rounds of heavily destructive experimentation, Mira's mercs redesigned their widow mines to accommodate additional weaponry and explosives.	극도로 파괴적인 실험을 몇 차례 거친 끝에, 미라의 용병들은 땅거미 지뢰를 재설계하여 추가 무기와 폭탄을 장착할 수  있게 변형했습니다.
Despite gory accidents that make the news from time to time, sleek and shiny widow mines remain a common pet in the upper-class households of Tyrador IX.	종종 뉴스에 등장하는 여러 유혈 사태에도 불구하고 윤이 나고 반짝이는 땅거미 지뢰는 티라도 IX 상류 사회에 보편화된 애완동물입니다.
Always fond of robotics, the Umojan engineers held an exclusive competition to craft the perfect widow mine and were thrilled to discover that the winner was still a student finishing her degree.	로봇공학에 관심이 많은 우모자 기술자들은 완벽한 땅거미 지뢰를 제작하기 위한 대회를 열었습니다. 놀랍게도 이 대회의 우승자는 졸업을 앞둔 학생이었습니다.
Peerless warriors on the battlefield, zealots undergo decades of intense training in order to perfect their combat skills. Their signature psi-blades are formed with their own psionic energy.	전장에서 비할 데 없는 전사인 광전사는 완벽한 전투 기술을 익히기 위해 수십 년 동안 극심한 훈련을 거듭합니다. 광전사를 상징하는 사이오닉 칼날은 스스로의 사이오닉 에너지로 만들어집니다.
Many zealots were quick to follow the high templar in celebrating the protoss' golden age, along with its artistic and cultural achievements. However, the movement has received no official recognition thus far.	많은 광전사들이 고위 기사의 뒤를 따라 프로토스의 황금기와 그 예술 및 문화적 업적을 기리고 있습니다. 하지만 그러한 움직임은 아직까지는 공식적으로 인정 받은 적이 없습니다.
Zealots of the Ihan-rii protoss believe the xel'naga will return one day to bless valiant warriors with eternal godhood.	이한 리 프로토스 광전사들은 언젠가 젤나가가 용맹한 전사들을 영원한 신성으로 축복하러 돌아올 것이라 믿습니다.
Though they do not possess unique personalities, the sentinels are programmed to be noble warriors equal to their zealot brethren.	고유한 개성은 없지만, 파수병에는 형제인 광전사와 동일하게 고귀한 전사로서 행동하는 프로그램이 탑재되었습니다.
To demonstrate their fearlessness, many zealots went without head armor during the Great War. This practice has since been discontinued.	자신들의 용맹함을 입증하기 위해 대전쟁 시기에 많은 광전사가 투구 없이 전장에 뛰어들었습니다. 이 관행은 이후로 단절되었습니다.
The lowest ranking links in the Chain of Ascension are also the ones most eager to prove themselves. A zealot of the Tal'darim is a dangerous foe to face.	승천의 사슬 최하단에 있는 고리는 자신을 돋보이게 하기 위해 가장 많이 노력하는 존재이기도 합니다. 그런 이유로, 탈다림의 광전사는 전장에서 무시무시한 적수가 되기도 합니다.
Though the Conclave no longer exists, the praetors who served as its military leaders are still loyal to the Daelaam. For as long as the protoss live, they will continue to fight with valor.	대의회는 이제 존재하지 않지만, 군 지휘자 역할을 수행하던 법무관들은 여전히 댈람에 충성을 다합니다. 프로토스가 살아 있는 한 그들은 계속해서 용맹하게 싸울 것입니다.
Savage and feral, zerglings are most dangerous when attacking in large groups that are controlled by a larger and more advanced strain of zerg.	흉포하고 야만적인 저글링은 더 크고, 더 진보한 저그 변종의 조종을 받아 무리를 지어 공격할 때 가장 위협적입니다.
Though they look and act just like zerglings, the simulants are purely mechanical reproductions that run wholly on electrical power sources, rather than absorbing the DNA of their enemies.	겉모습과 행동은 저글링과 동일하지만, 복제 저글링은 전력을 사용하여 작동하는 순수한 기계 복제품입니다. 적의 DNA를 흡수하지는 않습니다.
Some of the smaller primal zerglings have been known to resemble their counterparts in the Swarm, even to the point where they possess similar attack capabilities.	소형 원시 저글링 중 일부는 군단의 저글링을 많이 닮아 있습니다. 공격 능력까지 비슷하다고 여겨질 정도입니다.
Zergling nervous systems are so hyperactive that Cerberus engineers had to affix two antennas to control their movement properly.	저글링의 신경 시스템은 지나치게 활동적이어서 이동을 정상적으로 제어하기 위해 케르베로스 기술자들이 두 개의 더듬이를 부착해야 했습니다.
The reduction of the zergling genome has had unpredictable results. The growths present on Leviathan zerglings are not intentionally evolved, but a byproduct of their extremely simplified DNA.	저글링 게놈의 감소가 예측할 수 없는 결과를 가져왔습니다. 거대괴수 무리 저글링에게서 볼 수 있는 돌출부는 의도적으로 진화시킨 요소가 아니라, 극단적으로 단순화된 DNA의 부산물일 뿐입니다.
Few zerg have a shorter life expectancy than the zergling. Any mutation that appears to increase that life expectancy is considered worthy of observation and analysis.	저글링은 저그 중 가장 수명이 짧은 축에 속합니다. 수명을 연장시킬 수 있을 법한 모든 변이는 관찰하고 분석할 가치가 있습니다.
Archon Base	집정관 기본
Armory Base	무기고 기본
Assimilator Base	융화소 기본
Baneling Nest Base	맹독충 둥지 기본
Leviathan Brood	거대괴수 무리
Barracks Base	병영 기본
Brood Lord Base	무리 군주 기본
Bunker Base	벙커 기본
CarrierBase	우주모함 기본
Collection Skin Base	수집품 스킨 기본
Collection Skin Building	수집품 스킨 건물
Collection Skin Building No Placement	수집품 스킨 건물 배치 없음
Collection Skin Building Protoss	수집품 스킨 건물 프로토스
CollectionSkinDeluxe	CollectionSkinDeluxe
Collection Skin Protoss Air	수집품 스킨 프로토스 공중
Collection Skin Protoss Building Default	수집품 스킨 프로토스 건물 기본
Collection Skin Protoss Default	수집품 스킨 프로토스 기본
Collection Skin Protoss Warp In	수집품 스킨 프로토스 소환
Collection Skin Terran Building Default	수집품 스킨 테란 건물 기본
Collection Skin Terran Default	수집품 스킨 테란 기본
Collection Skin Zerg Building Default	수집품 스킨 저그 건물 기본
Collection Skin Zerg Default	수집품 스킨 저그 기본
Collection Skin Zerg Ground	수집품 스킨 저그 지상
ColossusBase	거신 기본
Command Center Base	사령부 기본
Corruptor Base	타락귀 기본
Creep Tumor Base	점막 종양 기본
Cybernetics Core Base	인공제어소 기본
CycloneBase	사이클론 기본
Dark Shrine Base	암흑 성소 기본
DarkTemplar00Base	DarkTemplar00Base
DarkTemplar01Base	DarkTemplar01Base
DarkTemplarBase	암흑 기사 기본
Engineering Bay Base	공학 연구소 기본
Evolution Chamber Base	진화장 기본
Extractor Base	추출장
Factory Base	군수공장 기본
Fleet Beacon Base	함대 신호소 기본
Forge Base	제련소 기본
Fusion Core Base	융합로 기본
Gateway Base	관문 기본
Ghost Academy Base	유령 사관학교 기본
Ghost Base	유령 기본
Hatchery Base	부화장 기본
Hellion Base	화염차 기본
Hydralisk Den Base	히드라리스크 굴 기본
HydraliskDenBase	히드라리스크 굴 기본
Infestation Pit Base	감염 구덩이 기본
Larva Base	애벌레 기본
Luker Den Base	가시지옥 굴 기본
Lurker Den Base	가시지옥 굴 기본
Upgraded	강화된
Marine Base	해병 기본
MedivacBase	의료선 기본
Missile Turret Base	미사일 포탑 기본
MothershipBase	모선 기본
Nexus Base	연결체 기본
Nydus Canal Base	땅굴관 기본
Nydus Network Base	땅굴망 기본
ObserverBase	관측선 기본
Overlord Base	대군주 기본
Overseer Base	감시군주 기본
Phoenix Base	불사조 기본
Photon Cannon Base	광자포 기본
Probe Base	탐사정 기본
Pylon Base	수정탑 기본
Reactor Base	반응로 기본
Refinery Base	정제소 기본
Roach Warren Base	바퀴 소굴 기본
Robotics Bay Base	로봇공학 지원소 기본
Robotics Facility Base	로봇공학 시설 기본
Robotics Support Bay Base	로봇공학 지원소 기본
SCEvent Anniversary	SC이벤트 기념일
Sensor Tower Base	감지탑 기본
Sentry Base	파수기 기본
Shield Battery Base	보호막 충전소 기본
Spawning Pool Base	산란못 기본
Spine Crawler Base	가시 촉수 기본
Spire Base	둥지탑 기본
Spore Crawler Base	포자 촉수 기본
Stalker Base	추적자 기본
Advanced	고급
StarCraft Event - Anniversary	스타크래프트 이벤트 - 생일
Stargate Base	우주관문 기본
Starport Base	우주공항 기본
Supply Depot Base	보급고 기본
Swarm Host Base	군단 숙주 기본
Symbiote_PremiumSkin_Aquatic	Symbiote_PremiumSkin_Aquatic
Tech Lab Base	기술실 기본
Templar Archive Base	기사단 기록보관소 기본
Templar Archives Base	기사단 기록보관소 기본
Thor Base	토르 기본
Twilight Council Base	황혼 의회 기본
Ultralisk Cavern Base	울트라리스크 동굴 기본
Viper Base	살모사 기본
VoidRayBase	공허 포격기 기본
WidowMineBase	땅거미 지뢰 기본
ZealotBase	광전사 기본
Skin: Golden Age Adept	스킨: 황금기 사도
Skin: Ihan-rii Adept	스킨: 이한 리 사도
Skin: Purifier Adept	스킨: 정화자 사도
Skin: Forged Adept	스킨: 벼려진 사도
Skin: Special Forces Armory	스킨: 특수 부대 무기고
Skin: Tyrador Armory	스킨: 티라도 무기고
Skin: Forged Assimilator	스킨: 벼려진 융화소
Skin: Ihan-rii Assimilator	스킨: 이한 리 융화소
Skin: Simulant Baneling	스킨: 복제 맹독충
Skin: Simulant Baneling Nest	스킨: 복제 맹독충 둥지
Skin: Cerberus Baneling Nest	스킨: 케르베로스 맹독충 둥지
Skin: Primal Baneling	스킨: 원시 맹독충
Skin: Cerberus Baneling	스킨: 케르베로스 맹독충
Skin: Leviathan Baneling	스킨: 거대괴수 맹독충
Skin: Special Forces Banshee	스킨: 특수 부대 밴시
Skin: Mira's Marauders Banshee	스킨: 미라의 약탈단 밴시
Skin: Tyrador Banshee	스킨: 티라도 밴시
Skin: Umojan Banshee	스킨: 우모자 밴시
Skin: Special Forces Barracks	스킨: 특수 부대 병영
Skin: Tyrador Barracks	스킨: 티라도 병영
Skin: Special Forces Battlecruiser	스킨: 특수 부대 전투순양함
Skin: Mira's Marauders Battlecruiser	스킨: 미라의 약탈단 전투순양함
Skin: Classic Battlecruiser	스킨: 클래식 전투순양함
Skin: Tyrador Battlecruiser	스킨: 티라도 전투순양함
Skin: Umojan Battlecruiser	스킨: 우모자 전투순양함
Blizcon18 Release	블리즈컨 2018 출시
Blizz Con2017 Drone Skin Pack	블리즈 컨2017 일벌레 스킨 팩
Blizz Con2017 Probe Skin Pack	블리즈 컨2017 탐사정 스킨 팩
Blizz Con2017 SCVSkin Pack	블리즈 컨2017 건설로봇 스킨 팩
Skin: Aquatic Brood Lord	스킨: 수생 무리 군주
Skin: Simulant Brood Lord	스킨: 복제 무리 군주
Skin: Primal Brood Lord	스킨: 원시 무리 군주
Skin: Cerberus Brood Lord	스킨: 케르베로스 무리 군주
Skin: Leviathan Brood Lord	스킨: 거대괴수 무리 군주
Skin: Special Forces Bunker	스킨: 특수 부대 벙커
Skin: Tyrador Bunker	스킨: 티라도 벙커
War Chest III Release	워 체스트 III 출시
C4 Release	C4 투척
C6 Release	C6 투척
Skin: Amon's Armada Carrier	스킨: 아몬의 함대 우주모함
Skin: Golden Age Carrier	스킨: 황금기 우주모함
Skin: Ihan-rii Carrier	스킨: 이한 리 우주모함
Skin: Purifier Carrier	스킨: 정화자 우주모함
Skin: Classic Carrier	스킨: 클래식 우주모함
Skin: Forged Carrier	스킨: 벼려진 우주모함
CollectionBase	CollectionBase
CollectionSkinPack	CollectionSkinPack
Skin: Golden Age Colossus	스킨: 황금기 거신
Skin: Ihan-rii Colossus	스킨: 이한 리 거신
Skin: Purifier Colossus	스킨: 정화자 거신
Skin: Forged Colossus	스킨: 벼려진 거신
Colossus Taldarim Skin Pack	거신 탈다림 스킨 팩
Skin: Special Forces Command Center	스킨: 특수 부대 사령부
Skin: Classic Command Center	스킨: 클래식 사령부
Skin: Tyrador Command Center	스킨: 티라도 사령부
Skin: Simulant Corruptor	스킨: 복제 타락귀
Skin: Primal Corruptor	스킨: 원시 타락귀
Skin: Cerberus Corruptor	스킨: 케르베로스 타락귀
Skin: Leviathan Corruptor	스킨: 거대괴수 타락귀
Skin: Forged Cybernetics Core	스킨: 벼려진 인공제어소
Skin: Ihan-rii Cybernetics Core	스킨: 이한 리 인공제어소
Skin: Special Forces Cyclone	스킨: 특수 부대 사이클론
Skin: Mira's Marauders Cyclone	스킨: 미라의 약탈단 사이클론
Skin: Tyrador Cyclone	스킨: 티라도 사이클론
Skin: Umojan Cyclone	스킨: 우모자 사이클론
Skin: Forged Dark Shrine	스킨: 벼려진 암흑 성소
Skin: Ihan-rii Dark Shrine	스킨: 이한 리 암흑 성소
Skin: Golden Age Dark Templar	스킨: 황금기 암흑 기사
Skin: Ihan-rii Dark Templar	스킨: 이한 리 암흑 기사
Skin: Purifier Dark Templar	스킨: 정화자 암흑 기사
Skin: Forged Dark Templar	스킨: 벼려진 암흑 기사
Default Skin Pack	기본 스킨 팩
Skin: Golden Age Disruptor	스킨: 황금기 분열기
Skin: Ihan-rii Disruptor	스킨: 이한 리 분열기
Skin: Purifier Disruptor	스킨: 정화자 분열기
Skin: Forged Disruptor	스킨: 벼려진 분열기
