Amorphous Armorcloud	無定型防護雲
The Shelak tribe has commissioned phoenixes that resemble the escort ships favored by early judicators. Though some see them as controversial symbols, others praise the beautiful craftsmanship.	席拉克部族使用的鳳凰戰機，與早期仲裁者偏好使用的護衛機相當類似。儘管有些人覺得那是充滿爭議的象徵，但也有其他人讚嘆其美麗的工藝。
Though the Ihan-rii phoenix's stone construction doesn't inhibit its maneuverability or top speed, it does make it a more formidable missile when crash-landing.	儘管伊翰利鳳凰戰機的石質構造，沒有賦予它更好的操縱性和更高的速度。但在迫降的時候，就能展現出這材質堅固的特性了。
When the Purifiers do not need the phasing technology of the mirages, they will deploy robotic phoenixes to defend their skies.	淨化者不需要使用幻影戰機的相位科技，他們會部署機械化的鳳凰戰機進行防空任務。
There is a time for overwhelming force, and a time to be swift and deadly. The Tal'darim recognize the value in the latter, which is why they maintain a fleet of phoenixes stolen from the Templar.	塔達力姆重視壓倒性的威力，但是他們也明白快速又致命的武器價值何在，因此他們有好好保養從聖堂武士那邊偷來的大批鳳凰戰機。
Protoss phase-smiths can outfit their defensive structures with powerful antimatter cannons and advanced detection measures. Experiments integrating photon cannons with warp technology widely ended in failure.	神族相位工匠可以把他們的防禦性建築加上強大的反物質加農砲，以及先進的偵測方式。但將躍傳科技整合進光子加農砲的實驗則大多失敗了
Despite their commitment to a rigid warrior code, the Tal'darim have no problem building photon cannons in secret to rain devastation on their enemies' mineral lines.	即使塔達利姆承諾要遵守嚴格的戰士教條，但這並不影響他們秘密建造光子加農砲，並在敵人的礦區降下毀滅之雨的行為。
The phase disruptor housing of the Ihan-rii photon cannon features a distinctive wing-shape inspired by a majestic avian creature that once ruled Tyrador IX's skies, at least until it was hunted to extinction by early terran settlers.	伊翰利光子加農砲配備的相位阻斷器，具有獨特的翼型特徵，其設計靈感來自於原先稱霸泰拉朵九號星天空的雄偉猛禽，這種生物後來被早期的人類移民撲殺殆盡。
The latest planetary fortresses have cannons so powerful that their anchors must be driven three times deeper to prevent them from skidding backward each time they fire.	最新的行星要塞配備了強大的火力，錨爪也因此必須要深入地下三倍的距離，才能避免每次開火時要塞都因此滑動。
Designed by the Khalai to lay the foundation for protoss settlements, probes are self-sufficient drones that can enable and initiate the warp-in of critical prefabricated structures.	探測機是卡萊工匠設計用來構築神族殖民地的核心無人機，在能量方面能夠自給自足，並且能夠啟動躍傳程序，把已經預先組建完成的重要建築傳送到指定地點。
These probes were salvaged from a destroyed protoss colony by members of a junker gang, who then retrofitted them with terran engines and accessories. If nothing else, their craftsmanship is unique.	有群專門撿拾可用資源的人，在被摧毀的神族殖民地中，回收這些探測機，然後再以人類的工程技術和零件來改裝。運用在它們身上的，可是一種獨特的技術。
A small number of probes have survived since the period following the Aeon of Strife, where even the simplest of protoss robotics had a refined and luxurious appearance.	有一些探測機活到了衝突紀元之後。在當時即使是最簡單的神族機械，也有精緻而奢華的外觀。
When not in use during long periods of deep-space hibernation, Ihan-rii probes fold into perfect cubes for compact storage.	伊翰利探測機在太空深處長期休眠時，會變形為立方體方便收納。
These probes are models of efficiency and diligence. They operate on enhanced protocols for full integration with the Purifier data web.	探測機是效率與勤勉的最佳模範。它們以增強的協定運作，與淨化者資料網路完整整合在一起。
Probes from the Great War era had longer stabilizer fins, but phase-smiths quickly learned that they could become a liability in the midst of a widescale, vicious battle.	來自大戰年代的探測機擁有更長的穩流飛翼。但相位工匠很快就發現，這樣的設計會在大規模的激烈戰鬥中產生麻煩。
Probes utilized by the Daelaam are calibrated to gather resources with as little ecological impact as possible. The Tal'darim have no use for such precautions.	達蘭利用探測機預先標定出資源，好降低採集時對生態環境造成的影響。不過塔達力姆才不管這些。
Forging a new psionic matrix has been vital to the Daelaam's reconstruction efforts. The khaydarin crystal within each pylon allows the protoss to tap into the matrix's energy.	對達蘭神族來說，重建家園的首要工作就是建立全新的幽能矩陣。每座水晶塔當中所含的凱達林水晶，讓神族能妥善運用矩陣的能量。
Each Tal'darim pylon crackles with enough psionic energy to power sixteen gateways.	每個塔達利姆水晶塔都充滿幽能，足以供應16個傳送門所需的能量。
Across areas of Tyrador IX recolonized by the Ihan-rii, proliferating fields of luminescent pylons produce an ethereal glow visible from orbit.	由伊翰利神族重新開拓的泰拉朵九號星各個區域，隨處都能看見水晶塔所散發出來的空靈光芒，即使在軌道上也清晰可見。
Kor-shakal was once the crown jewel of Aiur, a city so resplendent that it defied description. Even structures as simple as its pylons were adorned in shining decorations.	科夏寇曾經是艾爾的首善之都。這座城市雄偉壯麗，華美的程度難以言喻。就連水晶塔這最簡單的建築都有著璀璨的裝飾。
To safeguard the future of the Swarm, Kerrigan orchestrated the creation a new breed of queens. Capable of independent thought and analysis, they serve as the hive masters of an ever-evolving Swarm.	蟲后，是凱莉根為了守護蟲族的未來而創造出來的新種后蟲，具有獨立思考與分析的能力，在不斷進化的蟲族中擔任群落首領的角色。
The magnificent queen was the first completed production model to go missing. Loath to publicly reveal their activities, the Simulant Project managers investigated the matter as quietly as possible.	華麗的后蟲是完成量產的機型中第一個失蹤的。而擬態計畫的經理們並不想讓大眾發現他們的行蹤，只能盡可能低調地調查事件始末。
Primal packs are ruled by strength alone, therefore queens occupy a much different position within them versus more traditional broods, and are rarely present in great numbers.	原生族群中一切只看力量，所以相較於傳統的群落，后蟲在原生族群中的地位更加特殊，很少會大量出現。
Queens defend the Cerberus backline with forged titanium blades, jet-powered spine launchers, and matronly instincts even a neurological overhaul couldn't eliminate entirely.	后蟲把守著地獄犬的後方，它擁有鈦金屬鍛造刀和脊刺噴射發射器，還有連神經系統重建都無法消滅的雌性直覺。
Even the queens of the Leviathan Brood are incredibly vicious and hostile. Any creatures foolish enough to approach their clutch with hostile intent find themselves quickly impaled by many spines.	利維坦群落中，就連后蟲都兇殘無比。任何膽敢當面挑釁后蟲的愚蠢生物，很快就會被無數脊刺射穿全身。
Evolved from roaches after years of genetic modification, ravagers possess the ability to quickly generate massive quantities of corrosive bile and then expel them at their foes.	經過數年基因調整，從蟑螂進化而成的劫毀蟲，能夠迅速產生大量酸蝕體液，然後噴向敵人。
Calcification of zerg carapaces into a hardened shell makes for effective armor. Abathur considers the intimidation factor a welcome bonus.	蟲族甲殼鈣化之後會更加堅硬，成為更有效的裝甲。阿巴瑟非常喜愛這個帶有威嚇意味的外觀。
Simulant ravagers have been fitted with heat-absorbent panels instead of spikes around their plasma fire receptacles to prevent damage to the rest of the model.	劫毀蟲的擬態機甲在電漿火焰容器的周圍安裝了吸熱隔板，來取代原本的尖刺。如此一來，機甲的其他部分才不會受到損害。
Defiant and bloodthirsty, the primal ravagers will devour their own young if they are not strong enough to fight back. Given this level of aggression, it is uncertain how long their species will thrive.	原生劫毀蟲既難以掌控又嗜血，牠們會吞食不夠強壯，無法反擊的幼體。在這樣的侵略性之下，我們很難預期這個物種能夠興盛多久。
The plasma spines on the Cerberus ravager's back superheat the corrosive bile it fires. On Tyrador IX, these ravagers punched massive holes in the terran defense.	地獄犬劫毀蟲背部的電漿脊刺會將牠發射的酸蝕體液加熱至高溫狀態。在泰拉朵九號星上，這些劫毀蟲把人類防禦措施打出了一個大缺口。
Monstrous and towering, the fully evolved ravager is a terrifying sight to behold. The webbed nightmares deployed by the Leviathan Brood are only more so.	完全進化後的劫毀蟲，身形巨大，外型恐怖令人不敢直視。利維坦群落的劫毀蟲全身覆滿絲網、有如夢魘，恐怖程度更甚其他群落。
Invaluable for surveillance and defense, the raven can construct a turret, build a defense drone, or fire missiles at enemy forces. If this wasn't enough, it's also more cost effective than its predecessors.	渡鴉具備一流的偵測能力與防禦能力，可以建造砲塔、部署防禦無人機，甚至朝敵軍發射飛彈。如果這樣還不夠，跟你說，渡鴉的花費比前代機種還要便宜。
The pride of the Dominion Special Forces, this exquisitely designed craft is rumored to be able to detect Kel-Morian miners whispering to each other two kilometers underground.	這台可是自治聯盟特種部隊的引以為傲的空中單位。據說，就連位於地下兩公里的兩名凱爾莫瑞亞礦工在交談，它都能偵測到，可謂巧奪天工的設計。
Highly advanced surveillance craft aren't the most popular among mercenaries, but beneath the rust and cracking paint, these ravens are as good as any others in the Dominion.	傭兵們通常不太使用高科技的監視用空中單位，但在生鏽的外殼和脫落的烤漆之下，這些渡鴉表現得和自治聯盟的單位一樣好。
As the Cerberus zerg threatened to overwhelm Tyrador IX's defenders, a high-altitude raven detected a fleet of strange stone ships in the planet's gravity well.	正當地獄犬蟲族擊潰泰拉朵九號星的防衛者時，一架在高處的渡鴉，偵測到了一隊石製艦隊在這個星球的重力井當中。
The height of sophistication, these ravens are equipped with a little-understood artificial intelligence system that exceeds anything that Dominion engineers would ever approve.	這些渡鴉是精密科技的結晶，配備了我們所知不多的人工智慧系統，遠超過了自治聯盟工程師以往認可的水準。
While researching protoss containment fields, terran scientists made a breakthrough that allowed commanders to double their production capacity.	在研究神族控制過的地區時，人類科學家有了突破性的發展，讓指揮官有能力使生產能力提高到兩倍。
Cutting-edge reactors now rival the energy output of thor engines, with only marginally reduced reliability.	最先進的反應爐能量輸出足以和雷神引擎匹敵，而可靠性只略微降低。
Presidential suites in Tyrador IX's five-star resorts each come with their own military-grade reactor, in recognition of the complex recreational electronics and cybernetics the wealthiest guests tend to bring along.	在泰拉朵九號星五星級渡假勝地的總統套房，全都配有軍用級反應爐，以因應富有客人的複雜娛樂電子裝置和控制裝置需求。
Recruits who prove resistant to resocialization are trained as Reapers. Hyper-aggressive and prone to taking risks, these shock troopers seldom survive a full tour of duty.	不願意重新社會化的人，在通過訓練之後，就會成為死神。這群突擊兵具有高度攻擊性，能夠執行高風險任務，不過生存率相當低。
In the wake of recent reforms, reapers are no longer forced to use dangerous stimulants to increase their performance. The recruiting process now favors candidates who are naturally unpredictable.	在最近的一連串重組行動中，已經不再強迫死神使用危險的藥劑來提高作戰表現了。目前招募新人時，則是偏好天生不可預測性極高的人選。
There's never a shortage of reapers among Mira's Marauders. They tend to outdo themselves scrapping together their distinctive armor—particularly the mohawks.	米拉掠奪者手下從來不缺死神。他們喜歡用回收來的各式特殊護甲來凸顯自己，特別是那顆莫霍克頭。
On Tyrador IX, an invasion force of Cerberus zerg was spotted by a reaper taking the long way home to avoid a dust storm near New Canaan.	泰拉朵九號星上，有個死神為了躲開新迦南附近的沙塵暴決定繞路，卻正巧看見了地獄犬蟲族的入侵部隊。
Over the course of many years, the Umojan Protectorate was able to psychologically profile enough suitable candidates to create their own Reaper Corps with surprisingly good results.	多年以來，尤摩捷護衛軍都能挑選出擁有適合心理素質的人選，來打造他們自己的死神部隊，而結果也相當不錯。
The refinery is designed to extract raw vespene gas and package it into a handy cylinder, which is easily transportable by space construction vehicles.	瓦斯精煉廠的設計是用來提煉原始高能瓦斯，並將其包裝在圓筒中，方便太空工程車運輸。
The special forces refinery harvests vespene just as fast as the regulation model, but produces 75% less noise.	特種部隊的精煉廠提煉高能瓦斯的速度和一般的機型一樣快，但噪音降低了75%。
Despite diligent maintenance, Tyrador IX's refineries have reported lower-than-average vespene yields since the Cerberus attack, as if the underground reservoirs they tap have been diverted.	根據泰拉朵九號星瓦斯精煉廠的報告，在遭受地獄犬攻擊後，雖然他們費盡心血進行維修，但是高能瓦斯的產量仍低於平均水準，彷彿儲存在地底的瓦斯全都轉向流到其他地方去了。
Roaches were hand-selected by the Queen of Blades for assimilation into the Swarm. Their impressive tissue regeneration and acidic venom make them resilient as well as deadly.	刀鋒女皇當初精心挑選蟑螂這種生物，將牠們納入蟲群。牠們具有可觀的組織再生能力並且能噴出酸性毒液，使牠們不僅生存力高，也非常致命。
Under Zagara's orders, Abathur has continued to manipulate the zerg genome in search of perfection. The roach's innate regenerative abilities make it the ideal candidate for such a pursuit.	在札迦拉的命令之下，阿巴瑟繼續改良蟲族的基因組，要讓蟲族成為完美的生物。蟑螂與生俱來的再生能力，使牠們成為這種研究的理想對象。
These machines have been outfitted with a sophisticated self-repair system to replicate the roach's incredible healing ability, while also combatting structural damage from its acid reserves.	這些機械安裝了精緻的自我修理系統來複製蟑螂強大的治療能力，同時還能對抗內部儲存的強酸所帶來的構造損害。
Roaches were among the first to be absorbed into primal packs on Zerus, where they developed the capability to mutate into primal igniters and primal guardians.	蟑螂是最先被吸收進澤瑞斯原生族群的物種之一。牠們發展出突變成原生火蟑螂和原生守護者的能力。
Cerberus scientists bulwarked the roach's already-impressive armor with a carbon fiber nanoweave. Forged titanium blades were added to aid its offensive capabilities as well.	地獄犬科學家使用奈米碳纖維材質來強化蟑螂那原本就很堅韌的裝甲。而為了強化牠的攻擊力，又加裝了鑄造的鈦金屬刀。
Generating roaches and ravagers requires humid, dark conditions. The roach warren is a perfectly constructed biological organ that replicates this environment precisely.	生產蟑螂和劫毀蟲需要潮濕陰暗的環境。以有機生物質建造的蟑螂繁殖場，正好可以精確地複製出這種環境。
Significant polymer-alloy innovations were necessary to develop a housing for the Simulant roach warren that would withstand the turmoil of its internal acid generation.	蟑螂繁殖場需要這種先進的聚合合金做為包覆材料，才能抵擋其內部產生的強酸腐蝕性。
Cerberus adaptations of zerg structures like the roach warren produce self-replicating blueprints for remote control equipment to be installed synchronous with larval development.	像蟑螂繁殖場這種經過地獄犬改造的蟲族建築，會產生具有自我複製能力的藍圖，以此讓幼蟲成長時，能夠同步安裝遠端控制裝置。
Much like the zantar slugs they are derived from, roaches display an incredible potential for adaptation. Vespene exposure has been known to cause those of Leviathan Brood to grow incredibly aggressive.	從贊塔蛞蝓衍生出來的蟑螂，展現出驚人的適應潛能。利維坦群落的蟑螂長期暴露在高能瓦斯中，因此更具攻擊性。
The robotics bay serves as the primary research and development facility of the khalai's foremost phase-smiths.	機械研究所是重要的卡萊相位工匠最主要的研發設施。
Terrazine fumes leak from the dark, ominous claw that is the Tal'darim robotics bay.	黑暗且不祥的機械爪飄出了一陣陣的態化氫煙霧，這就是塔達力姆機械研究所。
The segmented assembly arms of the Ihan-rii robotics bay move with flexibility and speed that belie their stone composition.	伊翰利機械研究所的分段組裝手臂能靈活地快速移動，讓人忘記這些是以石頭構成的。
Phase-smiths require expansive facilities to warp in enormous war automatons, such as the colossus.	相位工匠需要昂貴的設施來躍傳巨大的自走戰爭單位，譬如說巨像。
An armored housing and heavy-duty, reinforced anchors give the Tal'darim robotics facility an intimidating profile.	厚實的裝甲外殼，加上強化的重型錨爪，讓塔達利姆機械製造廠有著嚇人的外貌。
The Ihan-rii have been evasive when questioned about the frenzied activity of their newly constructed robotics facilities, which churn out heavily armed units at all hours of the day and night.	當伊翰利被問及近期大量建造的機械製造廠，他們不願正面回應。這些設施不分日夜、無時無刻都在製造重型武裝單位。
The T-280 SCV is a staple of construction and repair across all terran worlds. A versatile and reliable workhorse, the Space Construction Vehicle is an invaluable industrial tool.	在人類星球，建築和維修工作都交由T280太空工程車來執行。由於其多功能性質與極為可靠的工作能力，讓太空工程車成為工業方面的貴重工具。
Even junker gangs have to collect minerals and vespene gas, though they try to do so in an intimidating style.	就算是專門回收可用物資的人，也需要採集晶礦或高能瓦斯。只是他們喜歡擺出威嚇他人的姿態。
Due to the unique demands of covert missions, even the SCVs must be outfitted with all of the latest upgrades, including a stronger utility clamp and new laser extraction claw.	由於秘密任務的獨特需求，就連太空工程車也都換上最新式的裝備，像是出力更強的夾子，以及新式雷射開採鉗。
Tired of low pay and long hours in the Dominion, some SCV pilots choose to go the mercenary route. It's safe to say that most of them never look back.	有一部分太空工程車駕駛受不了自治聯盟的低薪高工時，選擇往傭兵的方向發展。而顯然大多數人都很滿意這個選擇。
T-280 SCVs dating back before the Brood War featured a different, less bulky appearance with smaller utility clamps and, purportedly, secret cup holders.	在群落戰爭期間，T280太空工程車外觀相當不同，不僅不那麼笨重，工作夾比較小，而且據說還有隱藏式的杯架。
When selecting armor for their planetary defense force, the Knights of Tyrador chose a platinum-iridium alloy to maximize gleam and scratchproofing.	泰拉朵騎士為他們的行星防禦部隊選擇護甲時，使用了鉑銥合金來盡量凸顯光澤，並且抵抗刮傷。
Simple, sturdy, and reliable, these SCVs feature laser drills that make perfectly clean cuts on even the densest minerals.	簡單、堅固、實用。這些太空工程車配備了雷射鑽洞機，即使是最緻密的礦物，也能輕鬆劃開一道完美的刻痕。
Using a combination of electromagnetic and thermal technology alongside Doppler analysis and seismic sensors, the multispectrum output of these towers causes them to be easily detectable by enemies.	感應塔結合電磁學和熱學科技，加上都卜勒分析以及地震感知器，讓人員可以透過最終輸出的多重光譜分析資料，輕易地偵測到敵人。
After a false alarm triggered by an overlarge moth led to the vaporization of a Mar Sara trading post, the new line of sensor towers had its perceptive power dialed back slightly.	由於一隻大蛾觸發了錯誤警報，導致一座瑪而‧薩拉貿易站因此氣化，因此，新一批的感應塔將感知能力稍微調低了一些。
Soon after the Cerberus zerg attacked, Tyrador sensor towers began detecting strange seismic patterns, but these were attributed to widespread Ihan-rii construction efforts.	在地獄犬蟲族攻擊沒多久，泰拉朵感應塔開始偵測到奇怪的震波模式，可是這些震動是起因於伊翰利神族的大規模建設工作。
Robotic combat drones outfitted with force field generators and holo-projectors, sentries were developed in order to support and protect the dwindling numbers of protoss warriors.	哨衛是一種戰鬥無人機，配有力場產生器，以及全像投影裝置，在戰場上提供支援，保護數量日益減少的神族戰士。
Sentries themselves have no clear predecessors within protoss robotics, but imaginative phase-smiths have redesigned them to complement other vessels with longer histories.	在神族機械中並沒有明顯與哨衛對應的早期版本，不過充滿想像力的相位工匠重新設計了哨衛，讓它與其他有長遠歷史的機械有一致的風格。
Long ago, the Ihan-rii protoss harnessed volatile xel'naga artifacts known as "nebula wells" to power their sentries. Few of these artifacts remain.	很久以前，伊翰利神族曾經駕馭了一種強大的薩爾納加神器，名為「星雲之井」，並用來提供哨衛能量。但如今這種神器所剩無幾。
Though Purifier armies often prefer energizers, some sentries are present within their ranks. These drones have been integrated into the Purifier data web rather than relying on psionic energy.	儘管淨化者大軍通常偏好使用強化者，但還是有哨衛會出現在他們的行列之中。這些無人駕駛的機械已經整合到淨化者的資料網路中，不需要仰賴幽能。
While most sentries seized by the Tal'darim are refitted into havocs, some are left mostly unchanged. This results in a varied array of robotic support and a certain degree of misdirection.	落入塔達力姆手中的哨衛，大多被改裝成浩劫者了，僅有少數維持原本樣貌。因此產生多種不同的機械支援單位，卻也造成部隊編制上的困擾。
Shield batteries were largely abandoned in the wake of the Brood War due to advancements in shield regeneration. After improvements were made to its throughput and capacity, some factions reintegrated the technology.	由於護盾恢復科技的進展，護盾充能器在群落戰爭期間遭到大量棄用...。但在改善生產率以及容量之後，某些陣營開始重新運用這項科技。
Though the Tal'darim have access to shield batteries, they typically prefer to invest their resources in more aggressive pursuits.	儘管塔達利姆可以使用護盾充能器，但他們基本上還是會將資源投資在更具侵略性的目標上。
To justify their construction of a vast shield battery defense network and a powerful standing army, the Ihan-rii cite "defense against unruly wildlife."	伊翰利神族為了將自己建設大量護盾充能器防禦網路和強大常備軍的行為合理化，他們提出的理由是「為防禦不受控制的野生生物攻擊行為」。
A modern replacement for the aging Arclite model, Crucio siege tanks are both versatile and heavy hitting. Battlefield commanders swear by them for both offense and defense.	機動性較強的庫希歐攻城坦克是弧光攻城坦克的後繼機，在泛用性和威力方面都更為優秀。戰地指揮官說這型坦克攻守皆備。
Though the Crucio has long been popular among the Dominion commanders, it was not without room for improvement. Reinforced plating and heftier cannons make this version even more formidable.	雖然庫希歐攻城坦克是廣大自治聯盟指揮官愛用的單位，不過這種坦克已經沒有改良空間了。強化裝甲和威力強大的加農砲讓這型坦克的作戰效率更加傑出。
These beastly tanks are so heavily modified that they hardly resemble their original Crucio models. They fare much better than their predecessors when it comes to impromptu demolition matches.	這些可怕的坦克經過大量改造，已經和原本的庫希歐攻城坦克完全不一樣了。它們在有突發的破壞需求時，表現得比原始型號好多了。
Terran mercenaries can always find ways to customize their vehicles, whether it's adding speed through engine optimization, versatility in control configurations, or cosmetic changes to intimidate enemies.	人類傭兵不斷在調整他們的機械載具，例如讓引擎最佳化來提高速度，加強控制介面的多功能性，或是以外觀塗裝來威嚇敵人。
Dignitaries above a certain rank are greeted upon their arrival in Tyrador with a ten-round salute from a company of spotless platinum-alloy siege tanks.	高層重要人士來訪泰拉朵時，一隊外觀完美無瑕的鉑合金攻城坦克會連發十響禮炮，迎接他們到來。
Umojan Imperio tanks are a recent invention that has already rivaled their Dominion counterparts in early combat tests—which was precisely their goal.	尤摩捷帝國坦克是最近才開發出來的產品，但它在早期的戰鬥測試中已經打敗了自治聯盟的對應單位，而這正是他們的目的。
The spawning pool's large chambers have grown to house the genetic mutations for organisms other than the zergling, including a flightless variant of the queen.	孵化池的大型腔室是用來存放異化蟲之外的突變種品系的，包括無法飛行的后蟲。
Polymer-titanium composites allow the Simulant spawning pool to flex and conform to the volatile ooze it contains.	聚合物鈦金屬複合材料讓擬態機甲孵化池擁有可彎曲性，並且使其能夠儲存孵化池所需的揮發性黏液。
Cybernetic enhancements keep Cerberus spawning pools in temperature and pH ranges considerably more precise than their pure-biological antecedents.	相較原本的純生物控制機制，機械控制強化器能夠更加精準地讓地獄犬孵化池的溫度和酸鹼度維持在一定範圍內。
Following the Brood War, the swarm generated spine crawlers to better protect itself from ground threats. They are capable of repositioning around the battlefield to gain area control.	在群落戰爭之後，蟲群製造出了脊刺爬行蟲，可以協助蟲群對抗來自地面的威脅。它們可以在戰場上移動位置，取得控制區域的優勢。
A spearpoint terminating in a monomolecular tip allows the Simulant spine crawler to penetrate even the thickest terran armor.	擬態機甲脊刺爬行蟲擁有單分子尺度的脊刺尖端，讓脊刺爬行蟲有辦法刺穿最厚的人類裝甲。
Cerberus has tasked thousands of remote-control spine crawlers with expanding the lava tube networks that criss-cross Tyrador IX's crust.	地獄犬安排了數千隻遠端控制的脊刺爬行蟲深入泰拉朵九號星地殼中，以擴展錯綜複雜的熔岩通道網路。
The towering nests of the mantis screamers formed the basis for the zerg spire. The stalks that form their foundation are made of flexible muscle.	尖嘯螳螂高聳的巢穴是蟲族螺旋塔的基礎，其底部是由具彈性的肌肉組織構成。
A reservoir of propellant gases for Simulant mutalisks and corruptors keeps the spire bobbing against its restraint cables.	供應擬態機甲飛螳和腐化飛蟲的推進氣體庫存，讓螺旋塔不斷與它的限制用纜線拉扯擺動。
Mutalisks from subterranean Cerberus spires exhibit echolocative hunting behavior absorbed from Tyrador gigabats, previously the planet's scariest cave-dwelling creature.	地底的地獄犬螺旋塔所孵化出的飛螳，從泰拉朵巨蝠學會利用回聲定位進行狩獵的能力，一舉取代巨蝠，成為這顆星球最恐怖的穴居生物。
Spore colonies were not enough to prevent the Overmind's elimination. In order to protect their species, zerg evolved their air defense, creating the more flexible spore crawler.	光是孢子殖穴還不足以保障主宰的生存，為了保護自己的物種，蟲族進化出了空中防禦，製造出適用更多場合的孢子爬行蟲。
The first terran pilot to discover that the Simulant spore crawler's fake ammunition had been replaced by a nano-facsimile of the real thing was awarded a generous pension and gold-plated replacement legs.	第一位發現擬態機甲孢子爬行蟲的假彈藥被替換成奈米仿真物質的人類飛行員，獲得了一大筆退休金，和一副純金打造的義肢。
Cerberus spore crawlers amass in caverns near Tyrador IX's surface like great fields of pulsing, spiny stalagmites.	地獄犬孢子爬行蟲聚集在泰拉朵九號星地表的洞窟中，看起來就像是一大片脈動的多刺石筍。
Created by the Nerazim, stalkers are machines that are infused with the shadow essences of their warriors. The ability to teleport makes them both swift and unpredictable.	追獵者是由尼拉辛姆所創，並且在當中注入了原本戰士的暗影原質。他們的瞬移本事，使他們行動迅速又難以捉摸。
The Nerazim's stalker technology has benefited from Khalai engineering. The protoss are now experimenting with integrating dragoon chassis reinforcements into the battle strider frame.	尼拉辛姆的追獵者科技受惠於卡萊工程科學，神族現在正試著將龍騎士機甲的強化部件整合到追獵者的框架當中。
Khalai phase-smiths have attempted to recreate Nerazim's stalkers in the elegant style of the ancient Templar. Unfortunately, their results elicited more offense than admiration.	卡萊相位工匠試圖以古代聖堂武士的風格，重新打造出尼拉辛姆的追獵者。可惜最終招來了許多批評，而非景仰。
These stalkers are inscribed with sacred runes meant to safeguard their animated stone armor against the heretic enemies of the Ihan-rii.	追獵者身上雕銘著神聖的符文，可以用來保護他們的可動石質裝甲，抵抗伊翰利神族敵人的攻擊。
The Purifiers have further refined stalker programming to draw from a complex log of battle interactions, allowing them to perform well even though they are fully automated.	進化者進一步改善了追獵者的程式，讓它有能力全自動地從複雜的互動戰鬥紀錄中取得資料，進而改善表現。
Not all Tal'darim seek ascension. Those who wish only to sharpen their combat skills and serve their Highlord often choose to become stalkers, in order to better hunt and kill their foes.	並不是每個塔達力姆神族都希望成為飛升者。那些只想琢磨自己的戰鬥技巧，好好為大領主效勞的人，往往會化身追獵者，專心狩獵敵人。
The process of warping in capital ships requires such a vast amount of energy that the excess light emission can be witnessed from vast distances.	躍傳主力艦的過程需要耗用大量能量，導致過程中放射出的大量光線，在極遠的距離外就能觀測得到。
The elongated structure of the Tal'darim stargate helps newly summoned ships accelerate out of the bay and directly into battle.	塔達利姆星際之門延長的建築結構可以協助剛召喚來的船艦加速離開，直接投入戰鬥。
Though the Ihan-rii claim to be satisfied with partial inhabitation of their ancestral homeworld, their stargates have begun to produce interstellar capital ships, which would suggest somewhat more imperial motives.	雖然伊翰利宣稱他們很滿意居住在古老家園的生活，不過他們的星際之門卻開始製造可穿梭星際的主力艦種，暗示著某種追求權力的動機。
The Dominion Marine Corps combat handbook makes very clear that air superiority is vital to terran dominance in the Koprulu sector and beyond.	自治聯盟陸戰隊作戰手冊中明白指出，空軍優勢是人類在克普魯以及其他星區取得主導地位的關鍵。
After each mission is complete, the special forces starport carries its crew and cargo into orbit, where it functions as a fully operational space station.	每次任務完成之後，特種部隊星際港會將成員與貨物運送到星軌上，就和一座功能齊全的太空站一樣。
Proliferating extraplanetary threats have led the Knights of Tyrador to accelerate their starport production schedules, but the Ihan-rii seem to be amassing air units just as quickly.	為了因應大量激增的外星威脅，泰拉朵騎士加速進行星際港生產計畫，可是伊翰利似乎也同時跟進，加快擴增空軍規模的腳步。
Every CO worth their salt knows the importance of a supply line. Without a depot fully stocked with food and ammo, warfare is simply impossible.	稱職的指揮官一定相當明白補給線的重要性。少了堆滿糧食與彈藥的補給站，根本不可能打仗。
On hotter planets, this supply depot's supercharged ventilation system makes it a popular spot for off-duty marines to crack open a few cold ones.	在比較炎熱的行星上，這種補給站的超強通風系統讓下哨的陸戰隊們紛紛到這裡來享受清涼飲料。
The unicorn sigil atop each Knights of Tyrador supply depot is hand-polished twice daily, usually by the freshest and lowest-ranking recruits.	泰拉朵騎士補給站頂部的獨角獸印記，每天會以手工打磨兩次，通常是由新人或是最低階的士兵來做。
After the tragic loss of its heir apparent, Angel Shipping is back in business. The company's shipments are guaranteed to arrive on the frontline ahead of schedule and under budget.	安捷爾物流在經過失去繼承人的這場悲劇之後，再度恢復了營運。這家公司保證會以優惠的價格，並在預定時間內將貨物運抵前線。
The Swarm excels at proliferation, especially the hideous Swarm Host. By rapidly birthing multitudes of locusts, a single Swarm Host can overwhelm an enemy army.	蟲族的增殖能力相當強，其中以百生獸最為優秀。憑藉著快速孵化一群又一群蝗蟲，讓百生獸具有以一擋百的戰力。
Engineers began to fall ill while working on the swarm host mechanics. However, the safety systems did not report a problem, and production continued undisturbed—fatalities aside.	在研究百生獸機械運作機制時，工程師開始一個個生病倒下，但安全系統卻沒有回報任何問題，生產也沒有受到任何干擾，除了幾個致命的案例以外。
These creatures have developed as an offshoot of the primal hosts, who were the progenitors of all swarm hosts. Now, through a surprising twist of fate, the strains have merged once more.	原生百生獸是所有百生獸的祖先，百生獸僅僅只是其中一個旁支物種。但在命運的擺弄之下，這兩個品系再度合而為一。
The Cerberus swarm host contains an internal microfactory that equips each locust with remote-control headgear.	地獄犬百生獸內部有微型產線，讓每隻蝗蟲都配有可遠端遙控的頭部裝置。
